cik10,covers_first_eligible_decision,first_eligible_decision,first_price_date,issuer_name_match,issuer_name_score,last_eligible_decision,last_price_date,price_file,price_rows,provider_end_date,provider_exchange,provider_name,provider_start_date,sec_company_name,status,terminal,tiingo_symbol,cache_source,strict_issuer_name_score,strict_issuer_name_match,covers_last_eligible_decision,audit_status
0000061398,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2024-10-01 00:00:00+00:00,2024-10-08,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/TELL/prices.csv.gz,444,2024-10-08,NYSE MKT,Tellurian Inc,1995-08-18,TELLURIAN INC. /DE/,identity_and_start_validated,True,TELL,broad_v2,1.0,True,True,validated_history_through_last_decision
0000066756,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2026-04-01 00:00:00+00:00,2026-04-10,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/ALE/prices.csv.gz,781,2026-08-21,NYSE,Allete Inc,1973-05-03,ALLETE INC,identity_and_start_validated,True,ALE,broad_v2,1.0,True,True,validated_history_through_last_decision
0000072333,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2025-04-01 00:00:00+00:00,2025-04-11,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/JWN/prices.csv.gz,571,2025-05-20,NYSE,Nordstrom Inc,1986-07-09,NORDSTROM INC,identity_and_start_validated,True,JWN,broad_v2,1.0,True,True,validated_history_through_last_decision
0000077159,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2023-04-01 00:00:00+00:00,2023-04-11,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/ROCC/prices.csv.gz,68,2023-06-20,NASDAQ,Ranger Oil Corp - Class A,2016-11-15,RANGER OIL CORP,identity_and_start_validated,True,ROCC,broad_v2,1.0,True,True,validated_history_through_last_decision
0000077877,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2024-10-01 00:00:00+00:00,2023-09-05,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/PDCE/prices.csv.gz,2875,2023-09-05,NASDAQ,PDC Energy Inc,1990-03-26,"PDC ENERGY, INC.",identity_and_start_validated,True,PDCE,legacy_authenticated_v1,1.0,True,False,validated_sec_confirmed_early_delisting
0000091928,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2023-01-01 00:00:00+00:00,2023-01-11,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/SJI/prices.csv.gz,7,2023-01-31,NYSE,South Jersey Industries Inc,1987-12-30,SOUTH JERSEY INDUSTRIES INC,identity_and_start_validated,True,SJI,broad_v2,1.0,True,True,validated_history_through_last_decision
0000101778,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2026-01-01 00:00:00+00:00,2024-11-22,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/MRO/prices.csv.gz,3183,2024-11-22,NYSE,Marathon Oil Corporation,1970-01-02,MARATHON OIL CORP,identity_and_start_validated,True,MRO,legacy_authenticated_v1,1.0,True,False,validated_sec_confirmed_early_delisting
0000315858,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2024-01-01 00:00:00+00:00,2024-01-11,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/BVH/prices.csv.gz,258,2024-01-16,NYSE,Bluegreen Vacations Holding Corporation - Class A,2016-01-04,BLUEGREEN VACATIONS HOLDING CORP,identity_and_start_validated,True,BVH,broad_v2,1.0,True,True,validated_history_through_last_decision
0000316253,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2024-07-01 00:00:00+00:00,2024-07-11,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/ENZ/prices.csv.gz,382,2025-04-17,OTCQX,Enzo Biochem Inc,1980-06-12,ENZO BIOCHEM INC,identity_and_start_validated,True,ENZ,broad_v2,1.0,True,True,validated_history_through_last_decision
0000350868,True,2017-07-01 00:00:00+00:00,2017-07-03,True,1.0,2025-10-01 00:00:00+00:00,2024-11-01,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/ITI/prices.csv.gz,1847,2024-11-01,NASDAQ,Iteris Inc,1994-01-04,"ITERIS, INC.",identity_and_start_validated,True,ITI,legacy_authenticated_v1,1.0,True,False,validated_sec_confirmed_early_delisting
0000351817,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2024-07-01 00:00:00+00:00,2024-07-11,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/SBOW/prices.csv.gz,382,2024-07-30,NYSE,SilverBow Resources Inc,2016-05-03,"SILVERBOW RESOURCES, INC.",identity_and_start_validated,True,SBOW,broad_v2,1.0,True,True,validated_history_through_last_decision
