candidate,sleeve,gate,lookback_weeks,allocation,outer_cost_bps,window,cagr,sharpe,drawdown,total_return,active_share,average_valuation_weight
sales_yield__top10__floor25m__static__lb4__w0.05__50bps,sales_yield__top10__floor25m,static,4,0.05,50,full_recent,0.42073829392580375,1.648168911121196,-0.22119078190523922,2.559566259952339,1.0,0.049999999999999996
sales_yield__top10__floor25m__static__lb4__w0.05__50bps,sales_yield__top10__floor25m,static,4,0.05,50,trailing_2y,0.6013898675678866,1.9016879233736639,-0.22119078190523922,1.5877766429456752,1.0,0.049999999999999996
sales_yield__top10__floor25m__static__lb4__w0.05__50bps,sales_yield__top10__floor25m,static,4,0.05,50,trailing_1y,1.0600396488310437,2.674271481599835,-0.10608486212411927,1.0888711318004751,1.0,0.049999999999999996
sales_yield__top10__floor25m__static__lb4__w0.05__50bps,sales_yield__top10__floor25m,static,4,0.05,50,ytd,1.0959704497302263,2.4792957824942103,-0.10608486212411938,0.5767958935879514,1.0,0.049999999999999996
sales_yield__top10__floor25m__static__lb4__w0.05__100bps,sales_yield__top10__floor25m,static,4,0.05,100,full_recent,0.4206440600928272,1.6479443394966846,-0.22119078190523955,2.5587127537368555,1.0,0.049999999999999996
sales_yield__top10__floor25m__static__lb4__w0.05__100bps,sales_yield__top10__floor25m,static,4,0.05,100,trailing_2y,0.6013898675678866,1.9016879233736639,-0.22119078190523922,1.5877766429456752,1.0,0.049999999999999996
sales_yield__top10__floor25m__static__lb4__w0.05__100bps,sales_yield__top10__floor25m,static,4,0.05,100,trailing_1y,1.0600396488310437,2.674271481599835,-0.10608486212411927,1.0888711318004751,1.0,0.049999999999999996
sales_yield__top10__floor25m__static__lb4__w0.05__100bps,sales_yield__top10__floor25m,static,4,0.05,100,ytd,1.0959704497302263,2.4792957824942103,-0.10608486212411938,0.5767958935879514,1.0,0.049999999999999996
sales_yield__top10__floor25m__static__lb4__w0.05__200bps,sales_yield__top10__floor25m,static,4,0.05,200,full_recent,0.42045554336767355,1.6474935240403368,-0.22119078190523933,2.557005741305881,1.0,0.049999999999999996
sales_yield__top10__floor25m__static__lb4__w0.05__200bps,sales_yield__top10__floor25m,static,4,0.05,200,trailing_2y,0.6013898675678866,1.9016879233736639,-0.22119078190523922,1.5877766429456752,1.0,0.049999999999999996
sales_yield__top10__floor25m__static__lb4__w0.05__200bps,sales_yield__top10__floor25m,static,4,0.05,200,trailing_1y,1.0600396488310437,2.674271481599835,-0.10608486212411927,1.0888711318004751,1.0,0.049999999999999996
sales_yield__top10__floor25m__static__lb4__w0.05__200bps,sales_yield__top10__floor25m,static,4,0.05,200,ytd,1.0959704497302263,2.4792957824942103,-0.10608486212411938,0.5767958935879514,1.0,0.049999999999999996
sales_yield__top10__floor25m__static__lb4__w0.10__50bps,sales_yield__top10__floor25m,static,4,0.1,50,full_recent,0.43175187104918744,1.6608138501193659,-0.22840966604481405,2.6603439723091316,1.0,0.09999999999999999
sales_yield__top10__floor25m__static__lb4__w0.10__50bps,sales_yield__top10__floor25m,static,4,0.1,50,trailing_2y,0.605247104614546,1.8824317359974334,-0.22840966604481394,1.6003782163977158,1.0,0.09999999999999999
sales_yield__top10__floor25m__static__lb4__w0.10__50bps,sales_yield__top10__floor25m,static,4,0.1,50,trailing_1y,1.06812482662035,2.6412302362780893,-0.11139494539910277,1.0972274416910497,1.0,0.09999999999999999
sales_yield__top10__floor25m__static__lb4__w0.10__50bps,sales_yield__top10__floor25m,static,4,0.1,50,ytd,1.0957841364368965,2.4235192174980122,-0.11139494539910266,0.5767096378040528,1.0,0.09999999999999999
sales_yield__top10__floor25m__static__lb4__w0.10__100bps,sales_yield__top10__floor25m,static,4,0.1,100,full_recent,0.43156242555631286,1.6603806222443283,-0.22840966604481394,2.6585932479455474,1.0,0.09999999999999999
sales_yield__top10__floor25m__static__lb4__w0.10__100bps,sales_yield__top10__floor25m,static,4,0.1,100,trailing_2y,0.605247104614546,1.8824317359974334,-0.22840966604481394,1.6003782163977158,1.0,0.09999999999999999
sales_yield__top10__floor25m__static__lb4__w0.10__100bps,sales_yield__top10__floor25m,static,4,0.1,100,trailing_1y,1.06812482662035,2.6412302362780893,-0.11139494539910277,1.0972274416910497,1.0,0.09999999999999999
sales_yield__top10__floor25m__static__lb4__w0.10__100bps,sales_yield__top10__floor25m,static,4,0.1,100,ytd,1.0957841364368965,2.4235192174980122,-0.11139494539910266,0.5767096378040528,1.0,0.09999999999999999
sales_yield__top10__floor25m__static__lb4__w0.10__200bps,sales_yield__top10__floor25m,static,4,0.1,200,full_recent,0.4311833377434695,1.6595076196806664,-0.22840966604481394,2.6550917992183782,1.0,0.09999999999999999
sales_yield__top10__floor25m__static__lb4__w0.10__200bps,sales_yield__top10__floor25m,static,4,0.1,200,trailing_2y,0.605247104614546,1.8824317359974334,-0.22840966604481394,1.6003782163977158,1.0,0.09999999999999999
sales_yield__top10__floor25m__static__lb4__w0.10__200bps,sales_yield__top10__floor25m,static,4,0.1,200,trailing_1y,1.06812482662035,2.6412302362780893,-0.11139494539910277,1.0972274416910497,1.0,0.09999999999999999
sales_yield__top10__floor25m__static__lb4__w0.10__200bps,sales_yield__top10__floor25m,static,4,0.1,200,ytd,1.0957841364368965,2.4235192174980122,-0.11139494539910266,0.5767096378040528,1.0,0.09999999999999999
sales_yield__top10__floor25m__static__lb4__w0.15__50bps,sales_yield__top10__floor25m,static,4,0.15,50,full_recent,0.44238120849915097,1.663229966613804,-0.23560312858514398,2.7595475844619375,1.0,0.14999999999999997
sales_yield__top10__floor25m__static__lb4__w0.15__50bps,sales_yield__top10__floor25m,static,4,0.15,50,trailing_2y,0.6085374945825173,1.8549543379048672,-0.23560312858514398,1.6111523258440066,1.0,0.14999999999999997
sales_yield__top10__floor25m__static__lb4__w0.15__50bps,sales_yield__top10__floor25m,static,4,0.15,50,trailing_1y,1.0752609673104048,2.5950660302411386,-0.1166976728435537,1.1046034110832905,1.0,0.14999999999999997
sales_yield__top10__floor25m__static__lb4__w0.15__50bps,sales_yield__top10__floor25m,static,4,0.15,50,ytd,1.0944947097503919,2.3594862016916234,-0.11669767284355359,0.576112602712018,1.0,0.14999999999999997
sales_yield__top10__floor25m__static__lb4__w0.15__100bps,sales_yield__top10__floor25m,static,4,0.15,100,full_recent,0.442095657029574,1.6626038626414166,-0.23560312858514398,2.7568574003721817,1.0,0.14999999999999997
sales_yield__top10__floor25m__static__lb4__w0.15__100bps,sales_yield__top10__floor25m,static,4,0.15,100,trailing_2y,0.6085374945825173,1.8549543379048672,-0.23560312858514398,1.6111523258440066,1.0,0.14999999999999997
sales_yield__top10__floor25m__static__lb4__w0.15__100bps,sales_yield__top10__floor25m,static,4,0.15,100,trailing_1y,1.0752609673104048,2.5950660302411386,-0.1166976728435537,1.1046034110832905,1.0,0.14999999999999997
sales_yield__top10__floor25m__static__lb4__w0.15__100bps,sales_yield__top10__floor25m,static,4,0.15,100,ytd,1.0944947097503919,2.3594862016916234,-0.11669767284355359,0.576112602712018,1.0,0.14999999999999997
sales_yield__top10__floor25m__static__lb4__w0.15__200bps,sales_yield__top10__floor25m,static,4,0.15,200,full_recent,0.4415241100368841,1.6613374863370092,-0.23560312858514432,2.751477032192666,1.0,0.14999999999999997
