candidate,sleeve,gate,lookback_weeks,allocation,outer_cost_bps,window,cagr,sharpe,drawdown,total_return,active_share,average_valuation_weight
sales_yield__top10__floor25m__static__lb4__w0.15__200bps,sales_yield__top10__floor25m,static,4,0.15,200,trailing_2y,0.6085374945825173,1.8549543379048672,-0.23560312858514398,1.6111523258440066,1.0,0.14999999999999997
sales_yield__top10__floor25m__static__lb4__w0.15__200bps,sales_yield__top10__floor25m,static,4,0.15,200,trailing_1y,1.0752609673104048,2.5950660302411386,-0.1166976728435537,1.1046034110832905,1.0,0.14999999999999997
sales_yield__top10__floor25m__static__lb4__w0.15__200bps,sales_yield__top10__floor25m,static,4,0.15,200,ytd,1.0944947097503919,2.3594862016916234,-0.11669767284355359,0.576112602712018,1.0,0.14999999999999997
sales_yield__top10__floor25m__static__lb4__w0.20__50bps,sales_yield__top10__floor25m,static,4,0.2,50,full_recent,0.45261936823645055,1.6565371606378545,-0.24277089790985407,2.856925349118475,1.0,0.19999999999999998
sales_yield__top10__floor25m__static__lb4__w0.20__50bps,sales_yield__top10__floor25m,static,4,0.2,50,trailing_2y,0.6112608319454862,1.820686591887645,-0.24277089790985407,1.620086676076932,1.0,0.19999999999999998
sales_yield__top10__floor25m__static__lb4__w0.20__50bps,sales_yield__top10__floor25m,static,4,0.2,50,trailing_1y,1.081446354871694,2.538420581200332,-0.12273493217470088,1.1109970694823499,1.0,0.19999999999999998
sales_yield__top10__floor25m__static__lb4__w0.20__50bps,sales_yield__top10__floor25m,static,4,0.2,50,ytd,1.0921150681149348,2.2896371422582518,-0.12273493217470088,0.5750104009640542,1.0,0.19999999999999998
sales_yield__top10__floor25m__static__lb4__w0.20__100bps,sales_yield__top10__floor25m,static,4,0.2,100,full_recent,0.4522369009647198,1.655733001478955,-0.24277089790985384,2.853255158250313,1.0,0.19999999999999998
sales_yield__top10__floor25m__static__lb4__w0.20__100bps,sales_yield__top10__floor25m,static,4,0.2,100,trailing_2y,0.6112608319454862,1.820686591887645,-0.24277089790985407,1.620086676076932,1.0,0.19999999999999998
sales_yield__top10__floor25m__static__lb4__w0.20__100bps,sales_yield__top10__floor25m,static,4,0.2,100,trailing_1y,1.081446354871694,2.538420581200332,-0.12273493217470088,1.1109970694823499,1.0,0.19999999999999998
sales_yield__top10__floor25m__static__lb4__w0.20__100bps,sales_yield__top10__floor25m,static,4,0.2,100,ytd,1.0921150681149348,2.2896371422582518,-0.12273493217470088,0.5750104009640542,1.0,0.19999999999999998
sales_yield__top10__floor25m__static__lb4__w0.20__200bps,sales_yield__top10__floor25m,static,4,0.2,200,full_recent,0.4514711751141389,1.6541008247246245,-0.24277089790985407,2.845914776513985,1.0,0.19999999999999998
sales_yield__top10__floor25m__static__lb4__w0.20__200bps,sales_yield__top10__floor25m,static,4,0.2,200,trailing_2y,0.6112608319454862,1.820686591887645,-0.24277089790985407,1.620086676076932,1.0,0.19999999999999998
sales_yield__top10__floor25m__static__lb4__w0.20__200bps,sales_yield__top10__floor25m,static,4,0.2,200,trailing_1y,1.081446354871694,2.538420581200332,-0.12273493217470088,1.1109970694823499,1.0,0.19999999999999998
sales_yield__top10__floor25m__static__lb4__w0.20__200bps,sales_yield__top10__floor25m,static,4,0.2,200,ytd,1.0921150681149348,2.2896371422582518,-0.12273493217470088,0.5750104009640542,1.0,0.19999999999999998
sales_yield__top10__floor25m__static__lb4__w0.30__50bps,sales_yield__top10__floor25m,static,4,0.3,50,full_recent,0.4718957534062913,1.6215193025691463,-0.2570282838307896,3.0452010583487343,1.0,0.29999999999999993
sales_yield__top10__floor25m__static__lb4__w0.30__50bps,sales_yield__top10__floor25m,static,4,0.3,50,trailing_2y,0.6150078292562005,1.7376842271290698,-0.25702828383078946,1.632404487094615,1.0,0.29999999999999993
sales_yield__top10__floor25m__static__lb4__w0.30__50bps,sales_yield__top10__floor25m,static,4,0.3,50,trailing_1y,1.0909632229885515,2.404234086692891,-0.13605282849089928,1.1208350973723542,1.0,0.29999999999999993
sales_yield__top10__floor25m__static__lb4__w0.30__50bps,sales_yield__top10__floor25m,static,4,0.3,50,ytd,1.0841426160828216,2.140981599607088,-0.13605282849089928,0.5713142039131243,1.0,0.29999999999999993
sales_yield__top10__floor25m__static__lb4__w0.30__100bps,sales_yield__top10__floor25m,static,4,0.3,100,full_recent,0.4713173673205333,1.6203981569362094,-0.2570282838307896,3.039457087533366,1.0,0.29999999999999993
sales_yield__top10__floor25m__static__lb4__w0.30__100bps,sales_yield__top10__floor25m,static,4,0.3,100,trailing_2y,0.6150078292562005,1.7376842271290698,-0.25702828383078946,1.632404487094615,1.0,0.29999999999999993
sales_yield__top10__floor25m__static__lb4__w0.30__100bps,sales_yield__top10__floor25m,static,4,0.3,100,trailing_1y,1.0909632229885515,2.404234086692891,-0.13605282849089928,1.1208350973723542,1.0,0.29999999999999993
sales_yield__top10__floor25m__static__lb4__w0.30__100bps,sales_yield__top10__floor25m,static,4,0.3,100,ytd,1.0841426160828216,2.140981599607088,-0.13605282849089928,0.5713142039131243,1.0,0.29999999999999993
sales_yield__top10__floor25m__static__lb4__w0.30__200bps,sales_yield__top10__floor25m,static,4,0.3,200,full_recent,0.4701588078868124,1.618109437923571,-0.2570282838307896,3.0279691459026328,1.0,0.29999999999999993
sales_yield__top10__floor25m__static__lb4__w0.30__200bps,sales_yield__top10__floor25m,static,4,0.3,200,trailing_2y,0.6150078292562005,1.7376842271290698,-0.25702828383078946,1.632404487094615,1.0,0.29999999999999993
sales_yield__top10__floor25m__static__lb4__w0.30__200bps,sales_yield__top10__floor25m,static,4,0.3,200,trailing_1y,1.0909632229885515,2.404234086692891,-0.13605282849089928,1.1208350973723542,1.0,0.29999999999999993
sales_yield__top10__floor25m__static__lb4__w0.30__200bps,sales_yield__top10__floor25m,static,4,0.3,200,ytd,1.0841426160828216,2.140981599607088,-0.13605282849089928,0.5713142039131243,1.0,0.29999999999999993
sales_yield__top10__floor25m__static__lb4__w0.40__50bps,sales_yield__top10__floor25m,static,4,0.4,50,full_recent,0.48953101664171705,1.5674004369425811,-0.2720264993803334,3.223190619866023,1.0,0.39999999999999997
sales_yield__top10__floor25m__static__lb4__w0.40__50bps,sales_yield__top10__floor25m,static,4,0.4,50,trailing_2y,0.6164956314917562,1.6442335270772046,-0.2720264993803335,1.6373035497837733,1.0,0.39999999999999997
sales_yield__top10__floor25m__static__lb4__w0.40__50bps,sales_yield__top10__floor25m,static,4,0.4,50,trailing_1y,1.0966824475781718,2.2572244106121304,-0.14925539070514937,1.1267477395418641,1.0,0.39999999999999997
sales_yield__top10__floor25m__static__lb4__w0.40__50bps,sales_yield__top10__floor25m,static,4,0.4,50,ytd,1.0719929204370224,1.991104411799205,-0.14925539070514937,0.5656708725363491,1.0,0.39999999999999997
sales_yield__top10__floor25m__static__lb4__w0.40__100bps,sales_yield__top10__floor25m,static,4,0.4,100,full_recent,0.4887545064120409,1.5660062687317817,-0.2720264993803334,3.215236415640714,1.0,0.39999999999999997
sales_yield__top10__floor25m__static__lb4__w0.40__100bps,sales_yield__top10__floor25m,static,4,0.4,100,trailing_2y,0.6164956314917562,1.6442335270772046,-0.2720264993803335,1.6373035497837733,1.0,0.39999999999999997
sales_yield__top10__floor25m__static__lb4__w0.40__100bps,sales_yield__top10__floor25m,static,4,0.4,100,trailing_1y,1.0966824475781718,2.2572244106121304,-0.14925539070514937,1.1267477395418641,1.0,0.39999999999999997
sales_yield__top10__floor25m__static__lb4__w0.40__100bps,sales_yield__top10__floor25m,static,4,0.4,100,ytd,1.0719929204370224,1.991104411799205,-0.14925539070514937,0.5656708725363491,1.0,0.39999999999999997
sales_yield__top10__floor25m__static__lb4__w0.40__200bps,sales_yield__top10__floor25m,static,4,0.4,200,full_recent,0.4871983003409246,1.563148920471015,-0.2720264993803333,3.199328007190103,1.0,0.39999999999999997
sales_yield__top10__floor25m__static__lb4__w0.40__200bps,sales_yield__top10__floor25m,static,4,0.4,200,trailing_2y,0.6164956314917562,1.6442335270772046,-0.2720264993803335,1.6373035497837733,1.0,0.39999999999999997
sales_yield__top10__floor25m__static__lb4__w0.40__200bps,sales_yield__top10__floor25m,static,4,0.4,200,trailing_1y,1.0966824475781718,2.2572244106121304,-0.14925539070514937,1.1267477395418641,1.0,0.39999999999999997
sales_yield__top10__floor25m__static__lb4__w0.40__200bps,sales_yield__top10__floor25m,static,4,0.4,200,ytd,1.0719929204370224,1.991104411799205,-0.14925539070514937,0.5656708725363491,1.0,0.39999999999999997
sales_yield__top10__floor25m__static__lb4__w0.50__50bps,sales_yield__top10__floor25m,static,4,0.5,50,full_recent,0.5054797507449851,1.504053800880406,-0.2880135076381918,3.388975603301927,1.0,0.5
sales_yield__top10__floor25m__static__lb4__w0.50__50bps,sales_yield__top10__floor25m,static,4,0.5,50,trailing_2y,0.6157390250189025,1.5484898423755218,-0.2880135076381921,1.6348116074459726,1.0,0.5
sales_yield__top10__floor25m__static__lb4__w0.50__50bps,sales_yield__top10__floor25m,static,4,0.5,50,trailing_1y,1.098627302480899,2.11034461847462,-0.1623429237250139,1.1287584379064617,1.0,0.5
sales_yield__top10__floor25m__static__lb4__w0.50__50bps,sales_yield__top10__floor25m,static,4,0.5,50,ytd,1.0558090634883612,1.8482023959311533,-0.16234292372501402,0.5581339321299117,1.0,0.5
sales_yield__top10__floor25m__static__lb4__w0.50__100bps,sales_yield__top10__floor25m,static,4,0.5,100,full_recent,0.5045036119066049,1.5024234251592599,-0.2880135076381918,3.378695769747609,1.0,0.5
sales_yield__top10__floor25m__static__lb4__w0.50__100bps,sales_yield__top10__floor25m,static,4,0.5,100,trailing_2y,0.6157390250189025,1.5484898423755218,-0.2880135076381921,1.6348116074459726,1.0,0.5
sales_yield__top10__floor25m__static__lb4__w0.50__100bps,sales_yield__top10__floor25m,static,4,0.5,100,trailing_1y,1.098627302480899,2.11034461847462,-0.1623429237250139,1.1287584379064617,1.0,0.5
sales_yield__top10__floor25m__static__lb4__w0.50__100bps,sales_yield__top10__floor25m,static,4,0.5,100,ytd,1.0558090634883612,1.8482023959311533,-0.16234292372501402,0.5581339321299117,1.0,0.5
sales_yield__top10__floor25m__static__lb4__w0.50__200bps,sales_yield__top10__floor25m,static,4,0.5,200,full_recent,0.5025463498422573,1.4990741647534482,-0.2880135076381918,3.3581361026389827,1.0,0.5
sales_yield__top10__floor25m__static__lb4__w0.50__200bps,sales_yield__top10__floor25m,static,4,0.5,200,trailing_2y,0.6157390250189025,1.5484898423755218,-0.2880135076381921,1.6348116074459726,1.0,0.5
sales_yield__top10__floor25m__static__lb4__w0.50__200bps,sales_yield__top10__floor25m,static,4,0.5,200,trailing_1y,1.098627302480899,2.11034461847462,-0.1623429237250139,1.1287584379064617,1.0,0.5
sales_yield__top10__floor25m__static__lb4__w0.50__200bps,sales_yield__top10__floor25m,static,4,0.5,200,ytd,1.0558090634883612,1.8482023959311533,-0.16234292372501402,0.5581339321299117,1.0,0.5
sales_yield__top10__floor25m__relative__lb4__w0.05__50bps,sales_yield__top10__floor25m,relative,4,0.05,50,full_recent,0.40457863148270357,1.600472713358918,-0.21682535561287686,2.4153541554081177,0.48404255319148937,0.02420212765957447
sales_yield__top10__floor25m__relative__lb4__w0.05__50bps,sales_yield__top10__floor25m,relative,4,0.05,50,trailing_2y,0.5799674130481938,1.857516340161261,-0.21682535561287686,1.5183518993898883,0.48404255319148937,0.02420212765957447
sales_yield__top10__floor25m__relative__lb4__w0.05__50bps,sales_yield__top10__floor25m,relative,4,0.05,50,trailing_1y,1.0069757220116031,2.601143898762315,-0.10417799184999588,1.0340435005647337,0.48404255319148937,0.02420212765957447
sales_yield__top10__floor25m__relative__lb4__w0.05__50bps,sales_yield__top10__floor25m,relative,4,0.05,50,ytd,1.0625694267684058,2.4550151024649125,-0.10417799184999577,0.5612850479386222,0.48404255319148937,0.02420212765957447
sales_yield__top10__floor25m__relative__lb4__w0.05__100bps,sales_yield__top10__floor25m,relative,4,0.05,100,full_recent,0.3993666871242745,1.5839745788623527,-0.21780985619654636,2.3697572173835493,0.48404255319148937,0.02420212765957447
sales_yield__top10__floor25m__relative__lb4__w0.05__100bps,sales_yield__top10__floor25m,relative,4,0.05,100,trailing_2y,0.5743456562834799,1.8439132417988848,-0.2178098561965467,1.5002910531448381,0.48404255319148937,0.02420212765957447
sales_yield__top10__floor25m__relative__lb4__w0.05__100bps,sales_yield__top10__floor25m,relative,4,0.05,100,trailing_1y,1.0001675460328734,2.5888261898343305,-0.10464122567572554,1.0270110411439344,0.48404255319148937,0.02420212765957447
sales_yield__top10__floor25m__relative__lb4__w0.05__100bps,sales_yield__top10__floor25m,relative,4,0.05,100,ytd,1.0543102503028021,2.4420883659584596,-0.10464122567572565,0.5574347713550396,0.48404255319148937,0.02420212765957447
sales_yield__top10__floor25m__relative__lb4__w0.05__200bps,sales_yield__top10__floor25m,relative,4,0.05,200,full_recent,0.38899688613720795,1.550932388913718,-0.21977588738409293,2.2803484910958547,0.48404255319148937,0.02420212765957447
sales_yield__top10__floor25m__relative__lb4__w0.05__200bps,sales_yield__top10__floor25m,relative,4,0.05,200,trailing_2y,0.5631579263066047,1.8166616560057882,-0.21977588738409282,1.4645437862853887,0.48404255319148937,0.02420212765957447
sales_yield__top10__floor25m__relative__lb4__w0.05__200bps,sales_yield__top10__floor25m,relative,4,0.05,200,trailing_1y,0.9866153822202939,2.5641370375482064,-0.105567333966478,1.013013796643682,0.48404255319148937,0.02420212765957447
sales_yield__top10__floor25m__relative__lb4__w0.05__200bps,sales_yield__top10__floor25m,relative,4,0.05,200,ytd,1.0378849131801555,2.416185393458879,-0.10556733396647788,0.549759840119004,0.48404255319148937,0.02420212765957447
sales_yield__top10__floor25m__relative__lb4__w0.10__50bps,sales_yield__top10__floor25m,relative,4,0.1,50,full_recent,0.39952082871116557,1.5699071521360386,-0.21970527440669418,2.371099376386945,0.48404255319148937,0.04840425531914894
sales_yield__top10__floor25m__relative__lb4__w0.10__50bps,sales_yield__top10__floor25m,relative,4,0.1,50,trailing_2y,0.5627997633109261,1.7984941582284741,-0.2197052744066943,1.4634036687209115,0.48404255319148937,0.04840425531914894
sales_yield__top10__floor25m__relative__lb4__w0.10__50bps,sales_yield__top10__floor25m,relative,4,0.1,50,trailing_1y,0.9633004336339388,2.5015447477434978,-0.10758465336940182,0.9889374412600445,0.48404255319148937,0.04840425531914894
sales_yield__top10__floor25m__relative__lb4__w0.10__50bps,sales_yield__top10__floor25m,relative,4,0.1,50,ytd,1.029765465982258,2.376271226154331,-0.10758465336940193,0.5459571486721879,0.48404255319148937,0.04840425531914894
sales_yield__top10__floor25m__relative__lb4__w0.10__100bps,sales_yield__top10__floor25m,relative,4,0.1,100,full_recent,0.38914874471056615,1.5372104737087364,-0.22166642703403605,2.281645295936754,0.48404255319148937,0.04840425531914894
sales_yield__top10__floor25m__relative__lb4__w0.10__100bps,sales_yield__top10__floor25m,relative,4,0.1,100,trailing_2y,0.5516913554350926,1.7715507110569644,-0.22166642703403594,1.4281751755644447,0.48404255319148937,0.04840425531914894
sales_yield__top10__floor25m__relative__lb4__w0.10__100bps,sales_yield__top10__floor25m,relative,4,0.1,100,trailing_1y,0.9499970934874362,2.4771966927787465,-0.10850899986046414,0.9752021073264532,0.48404255319148937,0.04840425531914894
sales_yield__top10__floor25m__relative__lb4__w0.10__100bps,sales_yield__top10__floor25m,relative,4,0.1,100,ytd,1.0135402166881904,2.350827307376322,-0.10850899986046425,0.5383405832000092,0.48404255319148937,0.04840425531914894
sales_yield__top10__floor25m__relative__lb4__w0.10__200bps,sales_yield__top10__floor25m,relative,4,0.1,200,full_recent,0.3686193789739254,1.471658306293879,-0.22557690337859682,2.1096701372109856,0.48404255319148937,0.04840425531914894
sales_yield__top10__floor25m__relative__lb4__w0.10__200bps,sales_yield__top10__floor25m,relative,4,0.1,200,trailing_2y,0.5296945646557492,1.71750204772117,-0.2255769033785967,1.3591716350017404,0.48404255319148937,0.04840425531914894
sales_yield__top10__floor25m__relative__lb4__w0.10__200bps,sales_yield__top10__floor25m,relative,4,0.1,200,trailing_1y,0.923640766399044,2.428300373507697,-0.1103562561853797,0.9479952553301971,0.48404255319148937,0.04840425531914894
sales_yield__top10__floor25m__relative__lb4__w0.10__200bps,sales_yield__top10__floor25m,relative,4,0.1,200,ytd,0.9814541559146925,2.2997516829778326,-0.11035625618537992,0.5232086673750442,0.48404255319148937,0.04840425531914894
sales_yield__top10__floor25m__relative__lb4__w0.15__50bps,sales_yield__top10__floor25m,relative,4,0.15,50,full_recent,0.39417961994073414,1.5337256696279007,-0.22258647856261082,2.3248167665719697,0.48404255319148937,0.07260638297872339
sales_yield__top10__floor25m__relative__lb4__w0.15__50bps,sales_yield__top10__floor25m,relative,4,0.15,50,trailing_2y,0.5454751197006114,1.7353508118316283,-0.22258647856261093,1.4085731668332127,0.48404255319148937,0.07260638297872339
sales_yield__top10__floor25m__relative__lb4__w0.15__50bps,sales_yield__top10__floor25m,relative,4,0.15,50,trailing_1y,0.9200052305573438,2.394741187433861,-0.11098750392148693,0.9442429602668101,0.48404255319148937,0.07260638297872339
sales_yield__top10__floor25m__relative__lb4__w0.15__50bps,sales_yield__top10__floor25m,relative,4,0.15,50,ytd,0.9966718133987806,2.28984562116866,-0.11098750392148682,0.5303970333900383,0.48404255319148937,0.07260638297872339
sales_yield__top10__floor25m__relative__lb4__w0.15__100bps,sales_yield__top10__floor25m,relative,4,0.15,100,full_recent,0.3787020153113443,1.4853323152938436,-0.22551643952045775,2.1932959937035337,0.48404255319148937,0.07260638297872339
sales_yield__top10__floor25m__relative__lb4__w0.15__100bps,sales_yield__top10__floor25m,relative,4,0.15,100,trailing_2y,0.5290161713135535,1.695456394037473,-0.22551643952045808,1.3570594877957536,0.48404255319148937,0.07260638297872339
sales_yield__top10__floor25m__relative__lb4__w0.15__100bps,sales_yield__top10__floor25m,relative,4,0.15,100,trailing_1y,0.9005142695876625,2.3587766752887287,-0.11237084339339953,0.9241283618776444,0.48404255319148937,0.07260638297872339
sales_yield__top10__floor25m__relative__lb4__w0.15__100bps,sales_yield__top10__floor25m,relative,4,0.15,100,ytd,0.9727747229139856,2.2524261737729887,-0.11237084339339964,0.5190992544003412,0.48404255319148937,0.07260638297872339
sales_yield__top10__floor25m__relative__lb4__w0.15__200bps,sales_yield__top10__floor25m,relative,4,0.15,200,full_recent,0.34822655683795545,1.3882447844339165,-0.23134986103525468,1.9453893406630272,0.48404255319148937,0.07260638297872339
sales_yield__top10__floor25m__relative__lb4__w0.15__200bps,sales_yield__top10__floor25m,relative,4,0.15,200,trailing_2y,0.49658633644651173,1.6153485556994758,-0.2313498610352548,1.25720442819097,0.48404255319148937,0.07260638297872339
sales_yield__top10__floor25m__relative__lb4__w0.15__200bps,sales_yield__top10__floor25m,relative,4,0.15,200,trailing_1y,0.8620814649743771,2.2864334088434144,-0.11513429162888844,0.8844775128056219,0.48404255319148937,0.07260638297872339
sales_yield__top10__floor25m__relative__lb4__w0.15__200bps,sales_yield__top10__floor25m,relative,4,0.15,200,ytd,0.9257834473418649,2.1771914756453574,-0.11513429162888866,0.49672856023477463,0.48404255319148937,0.07260638297872339
sales_yield__top10__floor25m__relative__lb4__w0.20__50bps,sales_yield__top10__floor25m,relative,4,0.2,50,full_recent,0.38856039894730565,1.4928627086290858,-0.2254689398306048,2.276623148265987,0.48404255319148937,0.09680851063829787
sales_yield__top10__floor25m__relative__lb4__w0.20__50bps,sales_yield__top10__floor25m,relative,4,0.2,50,trailing_2y,0.5280048856793789,1.669055444517946,-0.2254689398306049,1.3539126681576792,0.48404255319148937,0.09680851063829787
sales_yield__top10__floor25m__relative__lb4__w0.20__50bps,sales_yield__top10__floor25m,relative,4,0.2,50,trailing_1y,0.877111591671407,2.2825244230168966,-0.11438653835178092,0.8999821306554912,0.48404255319148937,0.09680851063829787
sales_yield__top10__floor25m__relative__lb4__w0.20__50bps,sales_yield__top10__floor25m,relative,4,0.2,50,ytd,0.9633289686271542,2.197636205409338,-0.11438653835178081,0.5146191047016335,0.48404255319148937,0.09680851063829787
sales_yield__top10__floor25m__relative__lb4__w0.20__100bps,sales_yield__top10__floor25m,relative,4,0.2,100,full_recent,0.36803461801154547,1.4294444071986308,-0.2293598703306875,2.1048692461552316,0.48404255319148937,0.09680851063829787
sales_yield__top10__floor25m__relative__lb4__w0.20__100bps,sales_yield__top10__floor25m,relative,4,0.2,100,trailing_2y,0.5063323621548532,1.6167060652609486,-0.22935987033068728,1.286984215625111,0.48404255319148937,0.09680851063829787
