candidate,sleeve,gate,lookback_weeks,allocation,outer_cost_bps,window,cagr,sharpe,drawdown,total_return,active_share,average_valuation_weight,full_cagr,full_sharpe,full_drawdown,recent_delta,full_delta,beats_both
sales_yield__top10__floor25m__exclude_split_affected__static__lb13__w0.50__50bps,sales_yield__top10__floor25m__exclude_split_affected,static,13,0.5,50,trailing_1y,1.1169436864213576,2.137853578511202,-0.1623429237250137,1.147696680246764,1.0,0.5,0.4381348791617814,1.3718432489532755,-0.28801350763819167,0.06593548511041103,0.028787202000116974,True
sales_yield__top10__floor25m__exclude_split_affected__static__lb26__w0.50__50bps,sales_yield__top10__floor25m__exclude_split_affected,static,26,0.5,50,trailing_1y,1.1169436864213576,2.137853578511202,-0.1623429237250137,1.147696680246764,1.0,0.5,0.4381348791617814,1.3718432489532755,-0.28801350763819167,0.06593548511041103,0.028787202000116974,True
sales_yield__top10__floor25m__exclude_split_affected__static__lb8__w0.50__50bps,sales_yield__top10__floor25m__exclude_split_affected,static,8,0.5,50,trailing_1y,1.1169436864213576,2.137853578511202,-0.1623429237250137,1.147696680246764,1.0,0.5,0.4381348791617814,1.3718432489532755,-0.28801350763819167,0.06593548511041103,0.028787202000116974,True
sales_yield__top10__floor25m__exclude_split_affected__static__lb11__w0.50__50bps,sales_yield__top10__floor25m__exclude_split_affected,static,11,0.5,50,trailing_1y,1.1169436864213576,2.137853578511202,-0.1623429237250137,1.147696680246764,1.0,0.5,0.4381348791617814,1.3718432489532755,-0.28801350763819167,0.06593548511041103,0.028787202000116974,True
sales_yield__top10__floor25m__exclude_split_affected__static__lb4__w0.50__50bps,sales_yield__top10__floor25m__exclude_split_affected,static,4,0.5,50,trailing_1y,1.1169436864213576,2.137853578511202,-0.1623429237250137,1.147696680246764,1.0,0.5,0.4381348791617814,1.3718432489532755,-0.28801350763819167,0.06593548511041103,0.028787202000116974,True
sales_yield__top10__floor25m__exclude_split_affected__static__lb11__w0.40__50bps,sales_yield__top10__floor25m__exclude_split_affected,static,11,0.4,50,trailing_1y,1.1112093633985567,2.2809713682528536,-0.14925539070514926,1.1417673314534422,1.0,0.39999999999999997,0.43577768841212317,1.4530776505191205,-0.27202649938033363,0.06020116208761017,0.02643001125045874,True
sales_yield__top10__floor25m__exclude_split_affected__static__lb13__w0.40__50bps,sales_yield__top10__floor25m__exclude_split_affected,static,13,0.4,50,trailing_1y,1.1112093633985567,2.2809713682528536,-0.14925539070514926,1.1417673314534422,1.0,0.39999999999999997,0.43577768841212317,1.4530776505191205,-0.27202649938033363,0.06020116208761017,0.02643001125045874,True
sales_yield__top10__floor25m__exclude_split_affected__static__lb4__w0.40__50bps,sales_yield__top10__floor25m__exclude_split_affected,static,4,0.4,50,trailing_1y,1.1112093633985567,2.2809713682528536,-0.14925539070514926,1.1417673314534422,1.0,0.39999999999999997,0.43577768841212317,1.4530776505191205,-0.27202649938033363,0.06020116208761017,0.02643001125045874,True
sales_yield__top10__floor25m__exclude_split_affected__static__lb26__w0.40__50bps,sales_yield__top10__floor25m__exclude_split_affected,static,26,0.4,50,trailing_1y,1.1112093633985567,2.2809713682528536,-0.14925539070514926,1.1417673314534422,1.0,0.39999999999999997,0.43577768841212317,1.4530776505191205,-0.27202649938033363,0.06020116208761017,0.02643001125045874,True
sales_yield__top10__floor25m__exclude_split_affected__static__lb8__w0.40__50bps,sales_yield__top10__floor25m__exclude_split_affected,static,8,0.4,50,trailing_1y,1.1112093633985567,2.2809713682528536,-0.14925539070514926,1.1417673314534422,1.0,0.39999999999999997,0.43577768841212317,1.4530776505191205,-0.27202649938033363,0.06020116208761017,0.02643001125045874,True
