decision_date,ticker,research_weight,research_score,price_score,fundamental_rank,feature_count,fundamental_snapshot_date,fundamental_available_at
2023-01-02,ITMG,0.0815172937238768,0.37221052631578944,0.36315789473684207,0.3933333333333333,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-01-02,MAPI,0.07056095288353313,0.3276578947368421,0.3223684210526316,0.33999999999999997,3.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-01-02,ADRO,0.0826973355640223,0.32310526315789473,0.28157894736842104,0.42000000000000004,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-01-02,AMRT,0.06557435001268334,0.30086842105263156,0.3355263157894737,0.21999999999999997,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-01-02,MEDC,0.04897291232152712,0.28955263157894734,0.29078947368421054,0.2866666666666666,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-01-02,BMRI,0.1,0.26731578947368423,0.3447368421052632,0.08666666666666667,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-01-02,BBRI,0.1,0.25699999999999995,0.24999999999999997,0.2733333333333333,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-01-02,DSNG,0.08531419790077242,0.24018421052631578,0.18026315789473685,0.38,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-01-02,TOWR,0.1,0.2266578947368421,0.17236842105263162,0.3533333333333334,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-01-02,BBNI,0.1,0.21539473684210528,0.29342105263157897,0.033333333333333326,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-01-02,LPPF,0.06536295759358503,0.21013157894736845,0.11447368421052632,0.43333333333333335,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-01-02,KLBF,0.1,0.20676315789473682,0.30394736842105263,-0.020000000000000018,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-01-02,CASH_IDR,0.0,,,,,,
2023-02-01,ITMG,0.08720991491815992,0.3505405405405405,0.3270270270270271,0.4054054054054054,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-02-01,MAPI,0.06380464289874346,0.3322972972972973,0.26621621621621616,0.4864864864864865,3.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-02-01,AMRT,0.07275528639058258,0.3214864864864865,0.32027027027027033,0.32432432432432434,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-02-01,ADRO,0.08051125534133714,0.30635135135135133,0.2581081081081081,0.41891891891891897,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-02-01,MEDC,0.052246268836187354,0.28378378378378377,0.28378378378378377,0.28378378378378377,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-02-01,BMRI,0.1,0.2644594594594594,0.3256756756756757,0.1216216216216216,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-02-01,BBRI,0.1,0.2518918918918919,0.23243243243243245,0.29729729729729726,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-02-01,MDKA,0.0870481342831181,0.23864864864864863,0.17297297297297295,0.3918918918918919,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-02-01,ESSA,0.058698945049348444,0.23094594594594595,0.1445945945945946,0.43243243243243246,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-02-01,KLBF,0.1,0.21270270270270267,0.327027027027027,-0.05405405405405406,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-02-01,MYOR,0.0977255522825231,0.2048648648648648,0.28108108108108104,0.027027027027026973,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-02-01,TOWR,0.1,0.1927027027027027,0.11891891891891893,0.3648648648648649,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-02-01,CASH_IDR,0.0,,,,,,
2023-03-01,MAPI,0.05781994488150823,0.35121621621621624,0.29324324324324325,0.4864864864864865,3.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-03-01,AMRT,0.07051908781106674,0.34797297297297297,0.3581081081081081,0.32432432432432434,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-03-01,MEDC,0.05521854342959288,0.30648648648648646,0.31621621621621626,0.28378378378378377,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-03-01,BMRI,0.1,0.26729729729729734,0.3297297297297298,0.1216216216216216,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-03-01,MDKA,0.07583828594133278,0.2528378378378378,0.19324324324324324,0.3918918918918919,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-03-01,ITMG,0.08015804372885489,0.25027027027027027,0.18378378378378377,0.4054054054054054,4.0,2022-12-31,2022-12-31 17:00:00+00:00
2023-03-01,BBRI,0.1,0.2358108108108108,0.20945945945945943,0.29729729729729726,4.0,2022-12-31,2022-12-31 17:00:00+00:00
