portfolio,horizon,neutral_breadth_on_n,neutral_breadth_off_n,neutral_breadth_on_fwd,neutral_breadth_off_fwd,lift,diagnostic_label
spy,4,80,39,0.01003,0.00944,0.0006,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
spy,13,72,39,0.03494,0.02033,0.01462,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
qqq,4,80,39,0.00836,0.01338,-0.00502,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
qqq,13,72,39,0.03156,0.02644,0.00513,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ggg1,4,80,39,0.00853,0.01013,-0.0016,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ggg1,13,72,39,0.02837,0.0247,0.00366,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
phase4b_best,4,80,39,0.00969,0.00966,3e-05,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
phase4b_best,13,72,39,0.03168,0.02501,0.00667,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
bench_60_40,4,80,39,0.00445,0.00703,-0.00258,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
bench_60_40,13,72,39,0.01471,0.01336,0.00134,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
