feature,lag1w_feature,causal_ok,use_lag1w_for_trading,diagnostic_label
pct_members_above_50d_ma,pct_members_above_50d_ma_lag1w,True,True,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
pct_members_above_100d_ma,pct_members_above_100d_ma_lag1w,True,True,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
pct_members_above_200d_ma,pct_members_above_200d_ma_lag1w,True,True,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
pct_members_positive_4w_return,pct_members_positive_4w_return_lag1w,True,True,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
pct_members_positive_13w_return,pct_members_positive_13w_return_lag1w,True,True,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
pct_members_positive_26w_return,pct_members_positive_26w_return_lag1w,True,True,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
pct_members_with_13w_high,pct_members_with_13w_high_lag1w,True,True,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
pct_members_with_52w_high,pct_members_with_52w_high_lag1w,True,True,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
pct_members_in_drawdown_less_than_10pct,pct_members_in_drawdown_less_than_10pct_lag1w,True,True,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
equal_weight_current_constituent_return,equal_weight_current_constituent_return_lag1w,True,True,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
median_member_13w_return,median_member_13w_return_lag1w,True,True,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
breadth_thrust_4w,breadth_thrust_4w_lag1w,True,True,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
breadth_thrust_8w,breadth_thrust_8w_lag1w,True,True,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
broad_bull_diagnostic_flag,broad_bull_diagnostic_flag_lag1w,True,True,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
narrow_bull_diagnostic_warning,narrow_bull_diagnostic_warning_lag1w,True,True,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_risk_on_diagnostic,neutral_risk_on_diagnostic_lag1w,True,True,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
