portfolio,horizon,recovery_breadth_confirmed_n,recovery_breadth_off_n,fake_recovery_n,recovery_confirmed_fwd,recovery_off_fwd,fake_recovery_fwd,lift_confirmed_vs_off,diagnostic_label
spy,4,18,16,2,0.02095,0.01191,,0.00904,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
spy,13,18,16,2,0.05957,0.07333,,-0.01377,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
qqq,4,18,16,2,0.02831,0.02101,,0.0073,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
qqq,13,18,16,2,0.07714,0.10351,,-0.02636,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ggg1,4,18,16,2,0.00816,0.00991,,-0.00175,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ggg1,13,18,16,2,0.0482,0.0496,,-0.0014,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
phase4b_best,4,18,16,2,0.00764,0.01003,,-0.00239,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
phase4b_best,13,18,16,2,0.05122,0.05144,,-0.00022,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
bench_60_40,4,18,16,2,0.01065,0.00829,,0.00236,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
bench_60_40,13,18,16,2,0.03568,0.04461,,-0.00892,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
