universe,tickers_fetched,fetch_date,diagnostic_label
S&P 500,503,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
Nasdaq-100,101,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
combined_unique,516,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
