source_seq,side,kind,exch_ts,local_ts,px,qty
1,sell,trade,1676419205111000000,1676419207212385000,22177.90,0.300
2,sell,trade,1676419205111000000,1676419207212480000,22177.90,0.119
3,buy,depth,1676419205108000000,1676419207212527000,2218.80,0.603
4,buy,depth,1676419205108000000,1676419207212527000,5000.00,2.641
5,buy,depth,1676419205108000000,1676419207212527000,22160.60,0.008
6,buy,depth,1676419205108000000,1676419207212527000,22172.30,0.551
7,buy,depth,1676419205108000000,1676419207212527000,22173.40,0.073
8,buy,depth,1676419205108000000,1676419207212527000,22174.50,0.006
9,buy,depth,1676419205108000000,1676419207212527000,22176.80,0.157
10,buy,depth,1676419205108000000,1676419207212527000,22177.90,0.425
11,buy,depth,1676419205108000000,1676419207212527000,22181.20,0.260
12,buy,depth,1676419205108000000,1676419207212527000,22182.30,3.918
13,buy,depth,1676419205108000000,1676419207212527000,22182.90,0.000
14,buy,depth,1676419205108000000,1676419207212527000,22183.40,0.014
15,buy,depth,1676419205108000000,1676419207212527000,22203.00,0.000
16,sell,depth,1676419205108000000,1676419207212527000,22171.70,0.000
17,sell,depth,1676419205108000000,1676419207212527000,22187.30,0.000
18,sell,depth,1676419205108000000,1676419207212527000,22194.30,0.270
19,sell,depth,1676419205108000000,1676419207212527000,22194.70,0.423
20,sell,depth,1676419205108000000,1676419207212527000,22195.20,2.075
21,sell,depth,1676419205108000000,1676419207212527000,22209.60,4.506
22,sell,trade,1676419205116000000,1676419207212584000,22177.90,0.001
23,sell,trade,1676419205116000000,1676419207212621000,22177.90,0.005
