cik10,company_name,sec_terminal_date,completion_accession,completion_items,nearby_25_nse,notice_accessions,later_periodic_filing,terminal_reason
0000047518,"HILL-ROM HOLDINGS, INC.",2021-12-13,0001193125-21-355520,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-21-001745,False,completion_8k
0001615346,LANDMARK INFRASTRUCTURE PARTNERS LP,2021-12-22,0001193125-21-364704,1.02|2.01|3.01|3.03|5.01|5.02|9.01,True,0001354457-21-001489,False,completion_8k
0000855612,ZIX CORP,2021-12-23,0001193125-21-365769,1.02|2.01|3.01|3.03|5.01|5.02|5.03|7.01|9.01,True,0001354457-21-001499,False,completion_8k
0001399529,DICERNA PHARMACEUTICALS INC,2021-12-28,0001193125-21-367447,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-21-001513,False,completion_8k
0001490892,CORESITE REALTY CORP,2021-12-28,0001104659-21-153948,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-21-001828,False,completion_8k
0000802681,BRYN MAWR BANK CORP,2022-01-03,0001552781-22-000017,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000002,False,completion_8k
0000019411,MAGELLAN HEALTH INC,2022-01-04,0001140361-22-000514,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000004,False,completion_8k
0001171825,CIT GROUP INC,2022-01-04,0001140361-22-000350,2.01|3.01|3.03|5.01|5.02|8.01|9.01,True,0000876661-22-000021|0000876661-22-000019,False,completion_8k
0001260968,MARLIN BUSINESS SERVICES CORP,2022-01-20,0001193125-22-013036,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000053,False,completion_8k
0001390162,HOWARD BANCORP INC,2022-01-24,0001193125-22-015556,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000060,False,completion_8k
0001580608,SANTANDER CONSUMER USA HOLDINGS INC.,2022-01-31,0001193125-22-022414,2.01|3.01|3.03|5.03|9.01,True,0000876661-22-000106,False,completion_8k
0001070154,STERLING BANCORP,2022-02-01,0001567619-22-002151,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-22-000122|0000876661-22-000121,False,completion_8k
0001171662,TRIPLE-S MANAGEMENT CORP,2022-02-01,0000950103-22-001743,2.01|3.01|3.03|5.01|5.02|8.01|9.01,True,0000876661-22-000118,False,completion_8k
0001613665,"GREAT WESTERN BANCORP, INC.",2022-02-01,0000950103-22-001728,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-22-000124,False,completion_8k
