decision_time,cik10,ticker,assets,assets__period_end,assets__available_at,capital_expenditure,capital_expenditure__period_end,capital_expenditure__available_at,cash,cash__period_end,cash__available_at,diluted_shares,diluted_shares__period_end,diluted_shares__available_at,equity,equity__period_end,equity__available_at,gross_profit,gross_profit__period_end,gross_profit__available_at,net_income,net_income__period_end,net_income__available_at,operating_cash_flow,operating_cash_flow__period_end,operating_cash_flow__available_at,operating_income,operating_income__period_end,operating_income__available_at,shares_outstanding,shares_outstanding__period_end,shares_outstanding__available_at,stock_compensation,stock_compensation__period_end,stock_compensation__available_at,cash_to_assets,equity_to_assets,debt_to_assets,debt_current,debt_current__period_end,debt_current__available_at,debt_noncurrent,debt_noncurrent__period_end,debt_noncurrent__available_at,diluted_shares__prior_year,diluted_shares__yoy_growth,gross_profit__prior_year,gross_profit__yoy_growth,liabilities,liabilities__period_end,liabilities__available_at,net_income__prior_year,net_income__yoy_growth,operating_cash_flow__prior_year,operating_cash_flow__yoy_growth,revenue,revenue__period_end,revenue__available_at,revenue__prior_year,revenue__yoy_growth,share_repurchases,share_repurchases__period_end,share_repurchases__available_at,share_repurchases__prior_year,share_repurchases__yoy_growth,stock_compensation__prior_year,stock_compensation__yoy_growth,gross_margin,net_margin,operating_cash_flow_margin,capital_expenditure_to_revenue,repurchases_to_revenue,stock_compensation_to_revenue,free_cash_flow_margin,liabilities_to_assets,capital_expenditure__prior_year,capital_expenditure__yoy_growth,operating_income__prior_year,operating_income__yoy_growth,operating_margin
2012-03-31 00:00:00+00:00,320193,AAPL,138681000000.0,2011-12-31,2012-01-25 21:42:11+00:00,,,,10310000000.0,2011-12-31,2012-01-25 21:42:11+00:00,931041000.0,2011-12-31,2012-01-25 21:42:11+00:00,90054000000.0,2011-12-31,2012-01-25 21:42:11+00:00,20703000000.0,2011-12-31,2012-01-25 21:42:11+00:00,13064000000.0,2011-12-31,2012-01-25 21:42:11+00:00,17554000000.0,2011-12-31,2012-01-25 21:42:11+00:00,17340000000.0,2011-12-31,2012-01-25 21:42:11+00:00,932370000.0,2012-01-13,2012-01-25 21:42:11+00:00,420000000.0,2011-12-31,2012-01-25 21:42:11+00:00,0.0743432770170391,0.6493607631903433,0.0,,,,,,,919294000.0,0.012778284205053003,10298000000.0,1.0103903670615653,48627000000.0,2011-12-31,2012-01-25 21:42:11+00:00,6004000000.0,1.1758827448367755,9773000000.0,0.7961731300521846,46333000000.0,2011-12-31,2012-01-25 21:42:11+00:00,26741000000.0,0.732657716614936,,,,,,299000000.0,0.4046822742474916,0.4468305527377895,0.28195886301340295,0.3788660350074461,,,0.009064813415923856,,0.3506392368096567,,,7827000000.0,1.2154082023763895,0.37424729674314205
2012-03-31 00:00:00+00:00,2488,AMD,4954000000.0,2011-12-31,2012-02-24 00:04:58+00:00,38000000.0,2011-04-02,2011-05-10 21:24:39+00:00,869000000.0,2011-12-31,2012-02-24 00:04:58+00:00,732000000.0,2011-12-31,2012-02-24 00:04:58+00:00,1590000000.0,2011-12-31,2012-02-24 00:04:58+00:00,773000000.0,2011-12-31,2012-02-24 00:04:58+00:00,-177000000.0,2011-12-31,2012-02-24 00:04:58+00:00,-168000000.0,2011-04-02,2011-05-10 21:24:39+00:00,71000000.0,2011-12-31,2012-02-24 00:04:58+00:00,698485070.0,2012-02-17,2012-02-24 00:04:58+00:00,27000000.0,2011-04-02,2011-05-10 21:24:39+00:00,0.17541380702462656,0.320952765442067,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31 00:00:00+00:00,1163165,COP,153230000000.0,2011-12-31,2012-02-21 22:28:08+00:00,,,,5780000000.0,2011-12-31,2012-02-21 22:28:08+00:00,1357710000.0,2011-09-30,2011-11-01 20:56:50+00:00,65734000000.0,2011-12-31,2012-02-21 22:28:08+00:00,,,,2631000000.0,2011-09-30,2011-11-01 20:56:50+00:00,1947000000.0,2011-03-31,2011-05-03 19:33:02+00:00,,,,1279692596.0,2012-01-31,2012-02-21 22:28:08+00:00,,,,0.03772107289695229,0.4289891013509104,0.0,,,,,,,1481522000.0,-0.08357081433822788,,,87496000000.0,2011-12-31,2012-02-21 22:28:08+00:00,3069000000.0,-0.14271749755620722,3040000000.0,-0.3595394736842106,62784000000.0,2011-09-30,2011-11-01 20:56:50+00:00,47208000000.0,0.32994407727503816,1636000000.0,2011-03-31,2011-05-03 19:33:02+00:00,,,,,,0.04190558103975535,0.031011085626911315,,0.026057594291539244,,,0.5710108986490896,,,,,
2012-03-31 00:00:00+00:00,1108524,CRM,4164154000.0,2012-01-31,2012-03-09 22:17:10+00:00,34678000.0,2011-10-31,2011-11-29 22:10:32+00:00,607284000.0,2012-01-31,2012-03-09 22:17:10+00:00,135847000.0,2011-10-31,2011-11-29 22:10:32+00:00,1587360000.0,2012-01-31,2012-03-09 22:17:10+00:00,495568000.0,2012-01-31,2012-03-09 22:17:10+00:00,-4078000.0,2012-01-31,2012-03-09 22:17:10+00:00,128709000.0,2011-10-31,2011-11-29 22:10:32+00:00,-6377000.0,2012-01-31,2012-03-09 22:17:10+00:00,137036541.0,2012-01-31,2012-03-09 22:17:10+00:00,57006000.0,2011-10-31,2011-11-29 22:10:32+00:00,0.14583610500476207,0.38119627660264244,0.0,,,,,,,130888000.0,0.03788735407371191,364556000.0,0.3593741427928767,2498053000.0,2012-01-31,2012-03-09 22:17:10+00:00,10913000.0,-1.3736827636763493,74040000.0,0.7383711507293356,631913000.0,2012-01-31,2012-03-09 22:17:10+00:00,456867000.0,0.38314432865582315,,,,,,25632000.0,1.2240168539325844,0.784234538615284,-0.006453420011932023,0.20368151944967108,0.05487780754629197,,0.09021178548312822,0.1488037119033791,0.5998944803674408,20790000.0,0.668013468013468,-391000.0,15.309462915601024,-0.010091579062307628
2012-03-31 00:00:00+00:00,858877,CSCO,89259000000.0,2012-01-28,2012-02-21 12:44:58+00:00,265000000.0,2011-10-29,2011-11-22 12:01:49+00:00,8561000000.0,2012-01-28,2012-02-21 12:44:58+00:00,5368000000.0,2012-01-28,2012-02-21 12:44:58+00:00,49265000000.0,2012-01-28,2012-02-21 12:44:58+00:00,7065000000.0,2012-01-28,2012-02-21 12:44:58+00:00,2182000000.0,2012-01-28,2012-02-21 12:44:58+00:00,2333000000.0,2011-10-29,2011-11-22 12:01:49+00:00,2734000000.0,2012-01-28,2012-02-21 12:44:58+00:00,5385938187.0,2012-02-14,2012-02-21 12:44:58+00:00,341000000.0,2011-10-29,2011-11-22 12:01:49+00:00,0.09591189683953438,0.5519331383950078,0.18938146293370978,605000000.0,2012-01-28,2012-02-21 12:44:58+00:00,16299000000.0,2012-01-28,2012-02-21 12:44:58+00:00,5531000000.0,-0.029470258542758976,6261000000.0,0.12841399137517961,39994000000.0,2012-01-28,2012-02-21 12:44:58+00:00,1521000000.0,0.43458251150558835,1667000000.0,0.39952009598080385,11527000000.0,2012-01-28,2012-02-21 12:44:58+00:00,10407000000.0,0.1076198712405112,1881000000.0,2011-10-29,2011-11-22 12:01:49+00:00,2701000000.0,-0.30359126249537205,407000000.0,-0.16216216216216217,0.6129088227639455,0.1892946994014054,0.2023943784158931,0.022989502906220177,0.16318209421358548,0.029582718834041816,0.17940487550967293,0.4480668616049922,326000000.0,-0.18711656441717794,1684000000.0,0.6235154394299287,0.23718226771926781
2012-03-31 00:00:00+00:00,93410,CVX,209474000000.0,2011-12-31,2012-02-23 18:51:37+00:00,,,,15864000000.0,2011-12-31,2012-02-23 18:51:37+00:00,1984643000.0,2011-09-30,2011-11-03 15:17:58+00:00,122181000000.0,2011-12-31,2012-02-23 18:51:37+00:00,,,,7857000000.0,2011-09-30,2011-11-03 15:17:58+00:00,9814000000.0,2011-03-31,2011-05-05 15:48:58+00:00,,,,1976966530.0,2012-02-13,2012-02-23 18:51:37+00:00,,,,0.07573254914691083,0.5832752513438422,0.04631123671672857,17000000.0,2011-12-31,2012-02-23 18:51:37+00:00,9684000000.0,2011-12-31,2012-02-23 18:51:37+00:00,1997721000.0,-0.006546459690817685,,,87293000000.0,2011-12-31,2012-02-23 18:51:37+00:00,3792000000.0,1.071993670886076,7517000000.0,0.3055740321936944,64432000000.0,2011-09-30,2011-11-03 15:17:58+00:00,49718000000.0,0.29594915322418447,756000000.0,2011-03-31,2011-05-05 15:48:58+00:00,,,,,,0.12194251303700025,0.15231561956791656,,0.011733300223491432,,,0.41672474865615783,,,,,
2012-03-31 00:00:00+00:00,821189,EOG,24838797000.0,2011-12-31,2012-02-24 21:20:46+00:00,,,,615726000.0,2011-12-31,2012-02-24 21:20:46+00:00,266053.0,2011-09-30,2011-11-01 21:25:36+00:00,12640904000.0,2011-12-31,2012-02-24 21:20:46+00:00,,,,540878000.0,2011-09-30,2011-11-01 21:25:36+00:00,957488000.0,2011-03-31,2011-05-05 22:40:16+00:00,950030000.0,2011-09-30,2011-11-01 21:25:36+00:00,269085607.0,2012-02-17,2012-02-24 21:20:46+00:00,27430000.0,2011-03-31,2011-05-05 22:40:16+00:00,0.024788881683762705,0.5089177225450975,0.2016670131005137,0.0,2011-12-31,2012-02-24 21:20:46+00:00,5009166000.0,2011-12-31,2012-02-24 21:20:46+00:00,251015000.0,-0.9989400912296078,,,,,,-70906000.0,-8.628099173553718,620287000.0,0.5436209367599192,2885744000.0,2011-09-30,2011-11-01 21:25:36+00:00,1582075000.0,0.8240247775863976,14981000.0,2011-03-31,2011-05-05 22:40:16+00:00,5347000.0,1.8017579951374603,22494000.0,0.21943629412287713,,0.18743104031404034,0.33179935572940633,,0.00519138218774777,0.009505347667707184,,,,,-11695000.0,-82.23386062419837,0.3292149268958023
2012-03-31 00:00:00+00:00,51143,IBM,116433000000.0,2011-12-31,2012-02-28 19:52:20+00:00,915000000.0,2011-03-31,2011-04-26 17:07:53+00:00,11922000000.0,2011-12-31,2012-02-28 19:52:20+00:00,1188600000.0,2011-09-30,2011-10-25 17:01:40+00:00,20236000000.0,2011-12-31,2012-02-28 19:52:20+00:00,12173000000.0,2011-09-30,2011-10-25 17:01:40+00:00,3839000000.0,2011-09-30,2011-10-25 17:01:40+00:00,3792000000.0,2011-03-31,2011-04-26 17:07:53+00:00,,,,1158661712.0,2012-01-31,2012-02-28 19:52:20+00:00,170000000.0,2011-03-31,2011-04-26 17:07:53+00:00,0.10239365128442968,0.17379952418987743,0.23329296677058908,4306000000.0,2011-12-31,2012-02-28 19:52:20+00:00,22857000000.0,2011-12-31,2012-02-28 19:52:20+00:00,1255200000.0,-0.053059273422562114,11001000000.0,0.10653576947550225,96197000000.0,2011-12-31,2012-02-28 19:52:20+00:00,3589000000.0,0.0696572861521314,4437000000.0,-0.145368492224476,26157000000.0,2011-09-30,2011-10-25 17:01:40+00:00,24271000000.0,0.07770590416546486,4045000000.0,2011-03-31,2011-04-26 17:07:53+00:00,4017000000.0,0.006970375902414672,169000000.0,0.00591715976331364,0.46538211568604965,0.1467675956722866,0.1449707535267806,0.034981075811446265,0.15464311656535534,0.006499216270979088,0.10998967771533433,0.8262004758101226,,,,,
2012-03-31 00:00:00+00:00,1506307,KMI,30717000000.0,2011-12-31,2012-02-23 01:57:23+00:00,,,,2100000.0,2011-12-31,2012-02-23 01:57:23+00:00,,,,8567600000.0,2011-12-31,2012-02-23 01:57:23+00:00,,,,84200000.0,2011-09-30,2011-11-02 14:56:53+00:00,,,,415500000.0,2011-09-30,2011-11-02 14:56:53+00:00,,,,,,,6.836605137220432e-05,0.27892046749357036,0.5084220464238044,1260800000.0,2011-12-31,2012-02-23 01:57:23+00:00,14356400000.0,2011-12-31,2012-02-23 01:57:23+00:00,,,,,22149400000.0,2011-12-31,2012-02-23 01:57:23+00:00,,,,,2206000000.0,2011-09-30,2011-11-02 14:56:53+00:00,,,,,,,,,,,0.03816863100634633,,,,,,0.7210795325064296,,,,,0.1883499546690843
2012-03-31 00:00:00+00:00,1510295,MPC,25745000000.0,2011-12-31,2012-02-29 20:01:51+00:00,,,,3079000000.0,2011-12-31,2012-02-29 20:01:51+00:00,,,,9505000000.0,2011-12-31,2012-02-29 20:01:51+00:00,,,,-75000000.0,2011-12-31,2012-02-29 20:01:51+00:00,,,,1852000000.0,2011-09-30,2011-11-09 18:57:07+00:00,347614133.0,2012-02-15,2012-02-29 20:01:51+00:00,,,,0.11959603806564381,0.36919790250534085,0.1284521266265294,15000000.0,2011-12-31,2012-02-29 20:01:51+00:00,3292000000.0,2011-12-31,2012-02-29 20:01:51+00:00,,,,,16240000000.0,2011-12-31,2012-02-29 20:01:51+00:00,,,,,19420000000.0,2011-12-31,2012-02-29 20:01:51+00:00,,,,,,,,,,,-0.0038619979402677654,,,,,,0.6308020974946592,,,,,0.09536560247167868
