ticker,form,rows
AAPL,10-K,1050
AAPL,10-K/A,39
AAPL,10-Q,2344
AAPL,8-K,124
AMD,10-K,1121
AMD,10-K/A,1
AMD,10-Q,2038
AVGO,10-K,508
AVGO,10-Q,1310
AVGO,8-K,82
COP,10-K,668
COP,10-Q,2041
COP,8-K,80
CRM,10-K,1154
CRM,10-Q,2504
CRM,8-K,72
CSCO,10-K,997
CSCO,10-Q,2561
CSCO,8-K,73
CVX,10-K,706
CVX,10-Q,2189
CVX,10-Q/A,33
CVX,8-K,30
EOG,10-K,1020
EOG,10-Q,1929
EOG,10-Q/A,29
IBM,10-K,804
IBM,10-Q,2292
IBM,8-K,44
KMI,10-K,675
KMI,10-Q,2076
KMI,10-Q/A,34
KMI,8-K,32
MPC,10-K,975
MPC,10-Q,1940
MSFT,10-K,1151
MSFT,10-Q,2554
MSFT,10-Q/A,50
MSFT,8-K,195
NVDA,10-K,987
NVDA,10-Q,2099
ORCL,10-K,779
ORCL,10-Q,1896
ORCL,10-Q/A,29
OXY,10-K,742
OXY,10-K/A,43
OXY,10-Q,2042
PSX,10-K,649
PSX,10-Q,1567
QCOM,10-K,1094
QCOM,10-K/A,39
QCOM,10-Q,2196
SLB,10-K,739
SLB,10-Q,2075
WMB,10-K,698
WMB,10-K/A,70
WMB,10-Q,2023
WMB,10-Q/A,86
WMB,8-K,311
XOM,10-Q,47
