decision_time,companies
2012-03-31 00:00:00+00:00,17
2012-06-30 00:00:00+00:00,18
2012-09-29 00:00:00+00:00,18
2012-12-29 00:00:00+00:00,18
2013-03-30 00:00:00+00:00,18
2013-06-29 00:00:00+00:00,18
2013-09-28 00:00:00+00:00,18
2013-12-28 00:00:00+00:00,18
2014-03-29 00:00:00+00:00,18
2014-06-28 00:00:00+00:00,18
2014-09-27 00:00:00+00:00,18
2014-12-27 00:00:00+00:00,18
2015-03-28 00:00:00+00:00,18
2015-06-27 00:00:00+00:00,18
2015-09-26 00:00:00+00:00,18
2015-12-26 00:00:00+00:00,18
2016-03-26 00:00:00+00:00,18
2016-06-25 00:00:00+00:00,18
2016-10-01 00:00:00+00:00,18
2016-12-31 00:00:00+00:00,18
2017-04-01 00:00:00+00:00,18
2017-07-01 00:00:00+00:00,18
2017-09-30 00:00:00+00:00,18
2017-12-30 00:00:00+00:00,18
2018-03-31 00:00:00+00:00,18
2018-06-30 00:00:00+00:00,19
2018-09-29 00:00:00+00:00,19
2018-12-29 00:00:00+00:00,19
2019-03-30 00:00:00+00:00,19
2019-06-29 00:00:00+00:00,19
2019-09-28 00:00:00+00:00,19
2019-12-28 00:00:00+00:00,19
2020-03-28 00:00:00+00:00,19
2020-06-27 00:00:00+00:00,19
2020-09-26 00:00:00+00:00,19
2020-12-26 00:00:00+00:00,19
2021-03-27 00:00:00+00:00,19
2021-06-26 00:00:00+00:00,19
2021-09-25 00:00:00+00:00,19
2022-01-01 00:00:00+00:00,19
2022-03-26 00:00:00+00:00,19
2022-06-25 00:00:00+00:00,19
2022-10-01 00:00:00+00:00,19
2022-12-31 00:00:00+00:00,19
2023-04-01 00:00:00+00:00,19
2023-07-01 00:00:00+00:00,19
2023-09-30 00:00:00+00:00,19
2023-12-30 00:00:00+00:00,19
2024-03-30 00:00:00+00:00,19
2024-06-29 00:00:00+00:00,19
2024-09-28 00:00:00+00:00,19
2024-12-28 00:00:00+00:00,19
2025-03-29 00:00:00+00:00,19
2025-06-28 00:00:00+00:00,19
2025-09-27 00:00:00+00:00,19
2025-12-27 00:00:00+00:00,19
2026-03-28 00:00:00+00:00,19
2026-06-27 00:00:00+00:00,19
