decision_at,members,usable,unresolved,usable_coverage
2012-04-01 00:00:00+00:00,629,411,190,0.6534181240063593
2012-07-01 00:00:00+00:00,645,419,198,0.6496124031007752
2012-10-01 00:00:00+00:00,653,425,200,0.6508422664624809
2013-01-01 00:00:00+00:00,655,427,200,0.6519083969465649
2013-04-01 00:00:00+00:00,690,452,209,0.6550724637681159
2013-07-01 00:00:00+00:00,688,455,203,0.6613372093023255
2013-10-01 00:00:00+00:00,682,457,195,0.6700879765395894
2014-01-01 00:00:00+00:00,671,453,188,0.6751117734724292
2014-04-01 00:00:00+00:00,675,465,181,0.6888888888888889
2014-07-01 00:00:00+00:00,678,469,179,0.6917404129793511
2014-10-01 00:00:00+00:00,679,473,176,0.6966126656848306
2015-01-01 00:00:00+00:00,676,475,171,0.7026627218934911
2015-04-01 00:00:00+00:00,690,490,170,0.7101449275362319
2015-07-01 00:00:00+00:00,697,501,166,0.7187948350071736
2015-10-01 00:00:00+00:00,690,499,161,0.7231884057971014
2016-01-01 00:00:00+00:00,692,499,162,0.7210982658959537
2016-04-01 00:00:00+00:00,715,529,151,0.7398601398601399
2016-07-01 00:00:00+00:00,713,531,148,0.7447405329593267
2016-10-01 00:00:00+00:00,700,523,143,0.7471428571428571
2017-01-01 00:00:00+00:00,694,526,133,0.7579250720461095
2017-04-01 00:00:00+00:00,671,522,116,0.7779433681073026
2017-07-01 00:00:00+00:00,662,525,104,0.7930513595166163
2017-10-01 00:00:00+00:00,642,517,93,0.8052959501557633
2018-01-01 00:00:00+00:00,627,505,90,0.8054226475279107
2018-04-01 00:00:00+00:00,615,500,81,0.8130081300813008
2018-07-01 00:00:00+00:00,612,499,78,0.815359477124183
2018-10-01 00:00:00+00:00,603,496,73,0.8225538971807629
2019-01-01 00:00:00+00:00,600,497,68,0.8283333333333334
2019-04-01 00:00:00+00:00,625,522,66,0.8352
2019-07-01 00:00:00+00:00,616,517,61,0.8392857142857143
2019-10-01 00:00:00+00:00,603,508,57,0.8424543946932007
2020-01-01 00:00:00+00:00,601,509,53,0.8469217970049917
2020-04-01 00:00:00+00:00,611,526,44,0.8608837970540099
2020-07-01 00:00:00+00:00,614,534,40,0.8697068403908795
2020-10-01 00:00:00+00:00,609,535,34,0.8784893267651889
2021-01-01 00:00:00+00:00,599,529,31,0.8831385642737897
2021-04-01 00:00:00+00:00,584,530,17,0.9075342465753424
2021-07-01 00:00:00+00:00,575,524,13,0.9113043478260869
2021-10-01 00:00:00+00:00,562,515,9,0.9163701067615658
2022-01-01 00:00:00+00:00,557,509,9,0.9138240574506283
2022-04-01 00:00:00+00:00,546,502,6,0.9194139194139194
2022-07-01 00:00:00+00:00,545,503,5,0.9229357798165138
2022-10-01 00:00:00+00:00,543,501,4,0.9226519337016574
2023-01-01 00:00:00+00:00,535,495,3,0.9252336448598131
2023-04-01 00:00:00+00:00,606,563,3,0.929042904290429
2023-07-01 00:00:00+00:00,612,568,3,0.9281045751633987
2023-10-01 00:00:00+00:00,608,565,3,0.9292763157894737
2024-01-01 00:00:00+00:00,595,553,3,0.9294117647058824
2024-04-01 00:00:00+00:00,590,548,2,0.9288135593220339
2024-07-01 00:00:00+00:00,589,547,2,0.9286926994906621
2024-10-01 00:00:00+00:00,582,540,2,0.9278350515463918
2025-01-01 00:00:00+00:00,570,528,2,0.9263157894736842
2025-04-01 00:00:00+00:00,567,527,0,0.9294532627865961
2025-07-01 00:00:00+00:00,563,523,0,0.9289520426287744
2025-10-01 00:00:00+00:00,556,517,0,0.9298561151079137
2026-01-01 00:00:00+00:00,546,507,0,0.9285714285714286
2026-04-01 00:00:00+00:00,540,503,0,0.9314814814814815
2026-07-01 00:00:00+00:00,536,499,0,0.9309701492537313
