symbol,left_cik10,right_cik10,overlap_start,overlap_end
AMPY,0001521847,0001533924,2014-04-01 00:00:00+00:00,2020-10-01 00:00:00+00:00
ARRS,0001141107,0001645494,2016-04-01 00:00:00+00:00,2017-01-01 00:00:00+00:00
CLB,0001000229,0001958086,2023-10-01 00:00:00+00:00,2024-07-01 00:00:00+00:00
CLMT,0001340122,0002013745,2024-10-01 00:00:00+00:00,2025-07-01 00:00:00+00:00
COHR,0000820318,0000021510,2012-04-01 00:00:00+00:00,2023-07-01 00:00:00+00:00
DWSN,0000799165,0000351231,2012-04-01 00:00:00+00:00,2016-04-01 00:00:00+00:00
HESM,0001619739,0001789832,2020-04-01 00:00:00+00:00,2021-01-01 00:00:00+00:00
MIC,0001289790,0001845290,2022-01-01 00:00:00+00:00,2022-10-01 00:00:00+00:00
MRVL,0001058057,0001835632,2021-07-01 00:00:00+00:00,2022-04-01 00:00:00+00:00
STR,0001703785,0001949543,2023-04-01 00:00:00+00:00,2024-01-01 00:00:00+00:00
SUNE,0000022701,0000945436,2012-04-01 00:00:00+00:00,2017-01-01 00:00:00+00:00
VNOM,0001602065,0002074176,2026-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00
