decision_at,sector,members,any_symbol,usable_single_symbol,unresolved,ambiguous_or_collision,any_symbol_coverage,usable_single_symbol_coverage
2020-04-01 00:00:00+00:00,technology,448,425,401,23,47,0.9486607142857143,0.8950892857142857
2020-07-01 00:00:00+00:00,energy,163,143,126,20,37,0.8773006134969326,0.7730061349693251
2020-07-01 00:00:00+00:00,technology,451,431,408,20,43,0.9556541019955654,0.9046563192904656
2020-10-01 00:00:00+00:00,energy,163,143,126,20,37,0.8773006134969326,0.7730061349693251
2020-10-01 00:00:00+00:00,technology,446,432,409,14,37,0.968609865470852,0.9170403587443946
2021-01-01 00:00:00+00:00,energy,159,140,124,19,35,0.8805031446540881,0.779874213836478
2021-01-01 00:00:00+00:00,technology,440,428,405,12,35,0.9727272727272728,0.9204545454545454
2021-04-01 00:00:00+00:00,energy,137,130,116,7,21,0.948905109489051,0.8467153284671532
2021-04-01 00:00:00+00:00,technology,447,437,414,10,33,0.9776286353467561,0.9261744966442953
2021-07-01 00:00:00+00:00,energy,136,131,117,5,19,0.9632352941176471,0.8602941176470589
2021-07-01 00:00:00+00:00,technology,439,431,407,8,32,0.9817767653758542,0.9271070615034168
2021-10-01 00:00:00+00:00,energy,136,131,117,5,19,0.9632352941176471,0.8602941176470589
2021-10-01 00:00:00+00:00,technology,426,422,398,4,28,0.9906103286384976,0.9342723004694836
2022-01-01 00:00:00+00:00,energy,135,130,115,5,20,0.9629629629629629,0.8518518518518519
2022-01-01 00:00:00+00:00,technology,422,418,394,4,28,0.990521327014218,0.933649289099526
2022-04-01 00:00:00+00:00,energy,107,104,91,3,16,0.9719626168224299,0.8504672897196262
2022-04-01 00:00:00+00:00,technology,439,436,411,3,28,0.9931662870159453,0.9362186788154897
2022-07-01 00:00:00+00:00,energy,107,105,92,2,15,0.9813084112149533,0.8598130841121495
2022-07-01 00:00:00+00:00,technology,438,435,411,3,27,0.9931506849315068,0.9383561643835616
2022-10-01 00:00:00+00:00,energy,109,107,93,2,16,0.981651376146789,0.8532110091743119
2022-10-01 00:00:00+00:00,technology,434,432,408,2,26,0.9953917050691244,0.9400921658986175
2023-01-01 00:00:00+00:00,energy,108,106,92,2,16,0.9814814814814815,0.8518518518518519
2023-01-01 00:00:00+00:00,technology,427,426,403,1,24,0.9976580796252927,0.9437939110070258
2023-04-01 00:00:00+00:00,energy,116,114,100,2,16,0.9827586206896551,0.8620689655172413
2023-04-01 00:00:00+00:00,technology,490,489,463,1,27,0.9979591836734694,0.9448979591836735
2023-07-01 00:00:00+00:00,energy,116,114,100,2,16,0.9827586206896551,0.8620689655172413
2023-07-01 00:00:00+00:00,technology,496,495,468,1,28,0.9979838709677419,0.9435483870967742
2023-10-01 00:00:00+00:00,energy,115,113,99,2,16,0.9826086956521739,0.8608695652173913
2023-10-01 00:00:00+00:00,technology,493,492,466,1,27,0.9979716024340771,0.9452332657200812
2024-01-01 00:00:00+00:00,energy,113,111,97,2,16,0.9823008849557522,0.8584070796460177
2024-01-01 00:00:00+00:00,technology,482,481,456,1,26,0.9979253112033195,0.946058091286307
2024-04-01 00:00:00+00:00,energy,114,113,100,1,14,0.9912280701754386,0.8771929824561403
2024-04-01 00:00:00+00:00,technology,476,475,448,1,28,0.9978991596638656,0.9411764705882353
2024-07-01 00:00:00+00:00,energy,114,113,100,1,14,0.9912280701754386,0.8771929824561403
2024-07-01 00:00:00+00:00,technology,475,474,447,1,28,0.9978947368421053,0.9410526315789474
2024-10-01 00:00:00+00:00,energy,113,112,99,1,14,0.9911504424778761,0.8761061946902655
2024-10-01 00:00:00+00:00,technology,469,468,441,1,28,0.997867803837953,0.9402985074626866
2025-01-01 00:00:00+00:00,energy,110,109,96,1,14,0.990909090909091,0.8727272727272727
2025-01-01 00:00:00+00:00,technology,460,459,432,1,28,0.9978260869565218,0.9391304347826087
2025-04-01 00:00:00+00:00,energy,113,113,100,0,13,1.0,0.8849557522123894
2025-04-01 00:00:00+00:00,technology,454,454,427,0,27,1.0,0.9405286343612335
2025-07-01 00:00:00+00:00,energy,111,111,98,0,13,1.0,0.8828828828828829
2025-07-01 00:00:00+00:00,technology,452,452,425,0,27,1.0,0.9402654867256637
2025-10-01 00:00:00+00:00,energy,107,107,95,0,12,1.0,0.8878504672897196
2025-10-01 00:00:00+00:00,technology,449,449,422,0,27,1.0,0.9398663697104677
2026-01-01 00:00:00+00:00,energy,104,104,92,0,12,1.0,0.8846153846153846
2026-01-01 00:00:00+00:00,technology,442,442,415,0,27,1.0,0.9389140271493213
2026-04-01 00:00:00+00:00,energy,104,104,92,0,12,1.0,0.8846153846153846
2026-04-01 00:00:00+00:00,technology,436,436,411,0,25,1.0,0.9426605504587156
2026-07-01 00:00:00+00:00,energy,104,104,92,0,12,1.0,0.8846153846153846
2026-07-01 00:00:00+00:00,technology,432,432,407,0,25,1.0,0.9421296296296297
