feature,decision_at,ic,names
residual_momentum,2023-07-01 00:00:00+00:00,0.021106204121397826,2541
residual_momentum,2023-10-01 00:00:00+00:00,-0.019069580145627547,2787
residual_momentum,2024-01-01 00:00:00+00:00,0.21086720907659837,2802
residual_momentum,2024-04-01 00:00:00+00:00,-0.004315736344353701,2816
residual_momentum,2024-07-01 00:00:00+00:00,0.12261070589483633,2802
residual_momentum,2024-10-01 00:00:00+00:00,0.005626316353051894,2778
residual_momentum,2025-01-01 00:00:00+00:00,0.16004939817940284,2761
residual_momentum,2025-04-01 00:00:00+00:00,-0.022991509089884704,2799
residual_momentum,2025-07-01 00:00:00+00:00,0.05962103187309652,2777
residual_momentum,2025-10-01 00:00:00+00:00,0.031016317759759215,2744
residual_momentum,2026-01-01 00:00:00+00:00,0.14838320840719066,2718
residual_momentum,2026-04-01 00:00:00+00:00,-0.027831548863343162,2703
trend_quality,2024-01-01 00:00:00+00:00,0.2122451954554919,2536
trend_quality,2024-04-01 00:00:00+00:00,-0.012656428812129203,2770
trend_quality,2024-07-01 00:00:00+00:00,0.14512232538216044,2797
trend_quality,2024-10-01 00:00:00+00:00,-0.010345606873577924,2775
trend_quality,2025-01-01 00:00:00+00:00,0.18178249987131914,2747
trend_quality,2025-04-01 00:00:00+00:00,-0.12479220862954671,2785
trend_quality,2025-07-01 00:00:00+00:00,0.06580147355318682,2776
trend_quality,2025-10-01 00:00:00+00:00,0.05794801399051207,2742
trend_quality,2026-01-01 00:00:00+00:00,0.19146218115687114,2714
trend_quality,2026-04-01 00:00:00+00:00,-0.041426399467142626,2700
quality_momentum,2023-01-01 00:00:00+00:00,0.07270596661052658,2628
quality_momentum,2023-04-01 00:00:00+00:00,0.021495942235656484,2756
quality_momentum,2023-07-01 00:00:00+00:00,0.0698652466791831,2799
quality_momentum,2023-10-01 00:00:00+00:00,0.007072164808068905,2796
quality_momentum,2024-01-01 00:00:00+00:00,0.09945600785336066,2768
quality_momentum,2024-04-01 00:00:00+00:00,-0.03185553563382388,2768
quality_momentum,2024-07-01 00:00:00+00:00,0.08521956544976013,2757
quality_momentum,2024-10-01 00:00:00+00:00,0.07225814211869096,2740
quality_momentum,2025-01-01 00:00:00+00:00,0.1062664853957383,2715
quality_momentum,2025-04-01 00:00:00+00:00,-0.0788652790656721,2745
quality_momentum,2025-07-01 00:00:00+00:00,-0.01344951941199181,2740
quality_momentum,2025-10-01 00:00:00+00:00,-0.021231405443153238,2696
quality_momentum,2026-01-01 00:00:00+00:00,-0.031914439445542606,2671
quality_momentum,2026-04-01 00:00:00+00:00,0.04177509295686887,2645
event_score,2023-01-01 00:00:00+00:00,-0.0027701867876170423,2683
event_score,2023-04-01 00:00:00+00:00,-0.000508784031800616,2849
event_score,2023-07-01 00:00:00+00:00,0.03495287322950854,2856
event_score,2023-10-01 00:00:00+00:00,0.025198506145986153,2839
event_score,2024-01-01 00:00:00+00:00,-0.0039538760611793535,2808
event_score,2024-04-01 00:00:00+00:00,0.004043845629253615,2834
event_score,2024-07-01 00:00:00+00:00,0.005550258403959598,2818
event_score,2024-10-01 00:00:00+00:00,-0.022308002859433927,2793
event_score,2025-01-01 00:00:00+00:00,-0.01617175034525163,2764
event_score,2025-04-01 00:00:00+00:00,-0.026556159287512145,2805
event_score,2025-07-01 00:00:00+00:00,-0.023875466960394647,2782
event_score,2025-10-01 00:00:00+00:00,0.026297336252386446,2747
event_score,2026-01-01 00:00:00+00:00,0.02739406830102819,2719
event_score,2026-04-01 00:00:00+00:00,-0.020930999365255068,2706
