candidate,bundle_size,recent_cagr
uncapped_control,1,1.2157051025337222
uncapped_control,2,1.1143926795045753
uncapped_control,3,1.0998029045487931
uncapped_control,5,1.093171297501553
both_sector90,1,1.215705102533724
both_sector90,2,1.114392679504578
both_sector90,3,1.0998029045487945
both_sector90,5,1.093171297501553
both_sector85,1,1.205490747421376
both_sector85,2,1.1133667787999428
both_sector85,3,1.0987837222049524
both_sector85,5,1.0931712975015522
both_sector80,1,1.2060280582518939
both_sector80,2,1.106800931528623
both_sector80,3,1.1253781241936438
both_sector80,5,1.0928472801747375
both_sector75,1,1.1382724134478743
both_sector75,2,1.1042102354562484
both_sector75,3,1.1045321524720992
both_sector75,5,1.080199048382588
both_sector70,1,1.020473808696083
both_sector70,2,0.9886922241903429
both_sector70,3,0.9878935535804543
both_sector70,5,0.9517571197245398
cash85_balance_uncapped,1,1.2157051025337222
cash85_balance_uncapped,2,1.1143926795045753
cash85_balance_uncapped,3,1.0998029045487931
cash85_balance_uncapped,5,1.093171297501553
cash_uncapped_balance85,1,1.205490747421376
cash_uncapped_balance85,2,1.1133667787999428
cash_uncapped_balance85,3,1.0987837222049524
cash_uncapped_balance85,5,1.0931712975015522
cash80_balance90,1,1.2223088992343705
cash80_balance90,2,1.1143926795045758
cash80_balance90,3,1.0998029045487927
cash80_balance90,5,1.0931712975015522
