experiment_id,recipe_name,signals,smoothing_weeks,portfolio_method,top_n,cost_bps,development_selection_score,full_observations,full_annual_return,full_annual_volatility,full_sharpe_zero_rf,full_sortino_zero_target,full_max_drawdown,full_calmar,full_average_annual_turnover,full_total_cost,development_observations,development_annual_return,development_annual_volatility,development_sharpe_zero_rf,development_sortino_zero_target,development_max_drawdown,development_calmar,development_average_annual_turnover,development_total_cost,oos_2016_2020_observations,oos_2016_2020_annual_return,oos_2016_2020_annual_volatility,oos_2016_2020_sharpe_zero_rf,oos_2016_2020_sortino_zero_target,oos_2016_2020_max_drawdown,oos_2016_2020_calmar,oos_2016_2020_average_annual_turnover,oos_2016_2020_total_cost,oos_2021_present_observations,oos_2021_present_annual_return,oos_2021_present_annual_volatility,oos_2021_present_sharpe_zero_rf,oos_2021_present_sortino_zero_target,oos_2021_present_max_drawdown,oos_2021_present_calmar,oos_2021_present_average_annual_turnover,oos_2021_present_total_cost,beta_to_spy,annual_alpha_zero_rf,annual_tracking_error,information_ratio,unpriced_exposure_events,fully_invested_pass,untouched_holdout,development_rank
exp-3a187e9134eefe61,time_series_momentum_only,tsmom_vol_scaled,1,score_inverse_volatility,6,10.0,1.0554010731160104,1126,0.07486961934156944,0.09826658867756385,0.7845183478083995,1.1360284170888841,-0.19266655919792464,0.3885968569390215,2.852883418530516,0.061775898639718475,521,0.0829361744452759,0.09338987908894872,0.9005362650013615,1.3354171406853068,-0.13388479838472556,0.6194592324585955,2.956035261255548,0.0296171994445027,261,0.05107740387726589,0.12052916115263228,0.4742226765358884,0.6267684573131678,-0.19266655919792486,0.2651077804570874,3.0410352308142246,0.01526365760081755,293,0.09571905637633127,0.09327954544967412,1.0270705666480495,1.6839216102045047,-0.13581385028101056,0.7047812588942902,2.998437416070675,0.016895041594398225,0.3094227609929374,0.03982794416089679,0.14613944420366298,-0.2965575225432174,0,True,False,1
exp-539eaf900f7b2b57,trend_confirmation,trend_clarity_momentum+moving_average_distance,8,inverse_volatility,4,10.0,1.0223540141099927,1126,0.10287590510308231,0.1325045513624287,0.8062708114391336,1.1622897062380109,-0.2298775499716178,0.44752480229489155,2.227231427503477,0.048228126680171436,521,0.10963067911476165,0.13511340752312345,0.8385292838181647,1.2155536508522682,-0.14909674957868724,0.7352989211673123,2.069932454386191,0.020739130937215494,261,0.06261938175716808,0.13556281937677062,0.5166841269179532,0.6862186811286225,-0.2298775499716178,0.27240320668503504,2.307971945148616,0.011584243801611323,293,0.13029260030653722,0.13427907146599255,0.9800304973466213,1.518777721050437,-0.161976588744546,0.8043915563132537,2.4054981187835502,0.013554056707761157,0.4827136930063456,0.048701007425944895,0.1364505117506284,-0.09964155496503423,0,True,False,2
exp-4c75085a1dd85949,all_five_v4,xsmom_global+multi_mom_invvol+tsmom_vol_scaled+trend_clarity_momentum+moving_average_distance,1,inverse_volatility,6,10.0,1.0062899633154485,1126,0.09724381752863986,0.11518110832867653,0.864216926095912,1.255979766737283,-0.23735660017110582,0.4096950219987085,2.1282925946729088,0.046085720415417225,521,0.09348836980201636,0.11082389537606996,0.862570950479392,1.2794670841142217,-0.16262352481619935,0.5748760513442256,1.968765462889741,0.019725515503183754,261,0.07549404894845146,0.13150130432515142,0.620064068283768,0.8386436465976957,-0.23735660017110582,0.31806172187345644,2.4988524024341157,0.012542316866063543,293,0.13125655782819456,0.11517526040634664,1.1294864255207302,1.7451819007614318,-0.12261146718914318,1.0705080106880647,2.1501987904365474,0.012115543184575162,0.4616385510006994,0.043946012627119536,0.12498749458672613,-0.16713055972449567,0,True,False,3
exp-33d732313b2ec6a9,time_series_momentum_only,tsmom_vol_scaled,1,score_inverse_volatility,4,10.0,1.0056056328302385,1126,0.07734328258703349,0.11364542691363605,0.7130645383147337,1.0288252951512158,-0.22789605945199543,0.3393796398806328,3.039798557733281,0.06582333030783989,521,0.09271398379305174,0.11106408392033479,0.8546060222124904,1.26202150383283,-0.15350036899723352,0.6039984424709929,3.1700095192178255,0.03176105691370167,261,0.04709608886860206,0.1373899200965761,0.4045998944017795,0.5320859820893991,-0.22789605945199565,0.2066560035388521,2.9836405667826504,0.014975580537120609,293,0.09159776168851419,0.10460575765312202,0.8903058462228992,1.461264915570632,-0.17065875099183314,0.536730528942507,3.387399414897324,0.019086692857017615,0.3342393447265986,0.040783847855855315,0.1519608283523083,-0.259238975375195,0,True,False,4
exp-033e9f5cf2278735,all_five_v4,xsmom_global+multi_mom_invvol+tsmom_vol_scaled+trend_clarity_momentum+moving_average_distance,1,score_inverse_volatility,6,10.0,1.0004220941399713,1126,0.09790539261130493,0.12300345828692127,0.8218682486989395,1.189702186449924,-0.2569601121600993,0.3810139705663923,2.5371542454290505,0.05493914769909829,521,0.09756891151835889,0.12161988226777846,0.827086095197726,1.2175301010364483,-0.14072222751441898,0.693343995768981,2.4728727698791233,0.024776282944365832,261,0.05662077932846232,0.13562880329449623,0.47501704128709843,0.6230072799066436,-0.2569601121600994,0.2203485157773618,2.8483755899228926,0.014296654403266825,293,0.14206493871223214,0.1219469988292744,1.1513525512127532,1.8442030793064272,-0.11973548224332975,1.1864898862938877,2.516508814054681,0.014179559279192722,0.43068787320711005,0.049224597674363824,0.13923089290422255,-0.13889199489720058,0,True,False,5
exp-7fee43ef65d917e5,all_five_v4,xsmom_global+multi_mom_invvol+tsmom_vol_scaled+trend_clarity_momentum+moving_average_distance,1,inverse_volatility,4,10.0,0.9769811336803762,1126,0.10295578837299257,0.13293193104870651,0.804730509513168,1.1557597955547354,-0.25185017523147546,0.40879776350509156,2.8451703444329293,0.06160888091983612,521,0.10419086048118653,0.13297546465707427,0.8127751497200187,1.1811722176785284,-0.15862829412224744,0.65682393584143,2.8977323719728503,0.029033049342266446,261,0.07077562644147917,0.14379844414458912,0.5487572410753399,0.7212865436115667,-0.25185017523147535,0.2810227405100248,2.8440537516470616,0.014274962099613136,293,0.14046535050593678,0.13172001639003547,1.064618473084634,1.6823517614797174,-0.16370468815025352,0.8580410988414278,2.850729124913801,0.016062762184610457,0.49902265326360945,0.0468767364919801,0.13315743355581763,-0.1010556628363927,0,True,False,6
exp-136341c24317d17f,trend_confirmation,trend_clarity_momentum+moving_average_distance,4,inverse_volatility,4,10.0,0.9605494914136827,1126,0.09681741893926277,0.1326400324797949,0.7640194455774646,1.0948037729589728,-0.2388458426050487,0.4053552612986375,2.2725049167675984,0.04920847185154454,521,0.1029847757816158,0.13310850207341465,0.8038899104564353,1.1673127204039069,-0.16434484113952863,0.6266383238289897,2.1636448099118795,0.021678056653155562,261,0.048401842115379345,0.14137960113513393,0.4059608448918621,0.530364939652699,-0.2388458426050487,0.20264887840403312,2.3131073980522276,0.011610019824839066,293,0.1339075133443557,0.13256218830254582,1.0151209849607348,1.5878449711069178,-0.13884708449387595,0.9644243797590282,2.405387068216058,0.013553430980525097,0.4920938046255263,0.04207636601051995,0.13445733886452818,-0.14198651704401494,0,True,False,7
exp-6abbf32a5a0e2aad,all_five_v4,xsmom_global+multi_mom_invvol+tsmom_vol_scaled+trend_clarity_momentum+moving_average_distance,4,inverse_volatility,4,10.0,0.955235890398516,1126,0.10227145268793336,0.13226085326902687,0.8033726298070241,1.158526470819135,-0.2584376686856681,0.3957296674592891,2.498965872995713,0.05411222255756102,521,0.10299624289242315,0.1324504229370431,0.8073047362260124,1.1713744497789615,-0.1740611088120061,0.5917246166900142,2.3778737629726834,0.02382446597132246,261,0.0665954461479763,0.14330335629384564,0.5224739540327314,0.6978510373041669,-0.2584376686856682,0.25768475039517097,2.8131872049276065,0.014120035778578949,293,0.1381313392325918,0.1304899573076656,1.0577312474471219,1.6635447857827117,-0.1380862981722295,1.0003261805186936,2.4492810019147075,0.013800756414634796,0.49523402761131696,0.046613372213853116,0.13336243215191207,-0.10629638026970187,0,True,False,8
exp-c5f7e744429524aa,trend_confirmation,trend_clarity_momentum+moving_average_distance,8,equal_weight,4,10.0,0.9538715715971045,1126,0.10401588909005088,0.13715283847205065,0.7910448088737901,1.142374707104665,-0.22472683777114077,0.46285477124890384,1.6625222024866786,0.036000000000000004,521,0.10885649498055083,0.1410823507670096,0.8039831052958089,1.1590274705250299,-0.18156249387750567,0.5995538652051826,1.5220729366602688,0.01525,261,0.07418586642199876,0.13928502428828804,0.584209064982581,0.7923448696594151,-0.224726837771141,0.3301157403262565,1.6436781609195403,0.00825,293,0.12677958832844793,0.1375561328323999,0.9372065269650357,1.448912535006854,-0.16354180021060516,0.7752121363784932,1.863481228668942,0.0105,0.5241808366744831,0.045366579313539886,0.13162951088236258,-0.09068371019032109,0,True,False,9
exp-8ca3faf38ba934cb,momentum_core,xsmom_global+multi_mom_invvol+tsmom_vol_scaled,1,score_inverse_volatility,6,10.0,0.9524387074191321,1126,0.09136726239647142,0.11825215502254696,0.7994025901513264,1.1572486296048947,-0.24081294796304276,0.37941175160769774,3.015933858194531,0.06530656777552003,521,0.0890881734237734,0.1155745017872825,0.7969426278287346,1.1610327373178029,-0.14323218575421082,0.6219843183615896,3.080265989076217,0.030861895775167483,261,0.058570147404600315,0.13111301027664193,0.5007038537655202,0.6607543107023862,-0.24081294796304298,0.24321843115175412,3.2285517707768783,0.01620484638793779,293,0.14287462388432615,0.12122215364473003,1.1633594303452661,1.8746869292067259,-0.1393123327275102,1.0255705369874444,3.237102156469514,0.018239825612414762,0.410481938904298,0.04509645452130301,0.13956897345926894,-0.18556856624390938,0,True,False,10
