cik10,company_name,trailing_1y_cagr,trailing_1y_sharpe,trailing_1y_drawdown,cagr_delta
0001810019,"RACKSPACE TECHNOLOGY, INC.",0.6246685368348379,1.4880518955444286,-0.17831958201832732,-0.4289613439807016
0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,0.8029108354397834,1.2822823227858564,-0.24293130285366993,-0.2507190453757562
0001596961,"RIDENOW GROUP, INC.",0.8030603647002603,1.305551449194348,-0.2260659125692277,-0.2505695161152792
0001500435,"GOPRO, INC.",0.8950434610249793,1.3880657044011546,-0.22606591256922748,-0.1585864197905602
0001738177,CAMBIUM NETWORKS CORP,0.9275039541173655,1.4868793862605885,-0.2260659125692276,-0.12612592669817402
0000789460,WORLD KINECT CORP,0.9820995223454023,1.44948894104394,-0.24723318990075538,-0.07153035847013722
0001774675,SKILLSOFT CORP.,1.017512592370252,1.5143319857884927,-0.2203892228315345,-0.03611728844528761
0001738827,"KLX ENERGY SERVICES HOLDINGS, INC.",1.0251365997082642,1.505312387834609,-0.2260659125692277,-0.028493281107275337
0001770561,CORONADO GLOBAL RESOURCES INC.,1.0334207135766964,1.5023598878407296,-0.22343058634176693,-0.02020916723884314
0001897762,INGRAM MICRO HOLDING CORP,1.0340758103587828,1.5063786749344505,-0.23039596189131728,-0.019554070456756723
0000101984,UNIVERSAL ELECTRONICS INC,1.0341878885311493,1.5084288029067536,-0.23173731050447455,-0.019441992284390253
0001597033,SABRE CORP,1.0346895618947096,1.5201250257799317,-0.2260659125692276,-0.018940318920829924
0001102993,LIVEPERSON INC,1.0377138467251568,1.528061743090191,-0.2134591635547629,-0.01591603409038278
0001177394,TD SYNNEX CORP,1.0417534901137468,1.5194777875128271,-0.22606591256922748,-0.011876390701792694
0001688568,DXC TECHNOLOGY CO,1.048882565281172,1.5229805697830887,-0.22830029158297693,-0.00474731553436758
0000945983,"CLIMB GLOBAL SOLUTIONS, INC.",1.0909770945110475,1.5662473689031238,-0.2260659125692277,0.037347213695507975
0000746838,UNISYS CORP,1.0952188436556511,1.627338661143211,-0.2237328866563305,0.0415889628401116
0001454938,TEADS HOLDING CO.,1.1499699694508272,1.6514957504015673,-0.19795907699652004,0.09634008863528765
