decision_at,family,breadth,market_cap_floor,candidate,cik10,company_name,sector,score,market_cap,intended_weight
2023-01-01 00:00:00+00:00,composite_value,10,0,composite_value__top10__floor0m,0000817720,SYNAPTICS INC,technology,0.9962013295346628,3787.368145751953,0.1
2023-01-01 00:00:00+00:00,composite_value,10,0,composite_value__top10__floor0m,0001770561,CORONADO GLOBAL RESOURCES INC.,energy,0.9903381642512076,236379970.334232,0.1
2023-01-01 00:00:00+00:00,composite_value,10,0,composite_value__top10__floor0m,0000945983,"CLIMB GLOBAL SOLUTIONS, INC.",technology,0.948847081991558,35295888.791157246,0.1
2023-01-01 00:00:00+00:00,composite_value,10,0,composite_value__top10__floor0m,0001596961,"RUMBLEON, INC.",technology,0.9390877201433678,103651311.75880814,0.1
2023-01-01 00:00:00+00:00,composite_value,10,0,composite_value__top10__floor0m,0000319201,KLA CORP,technology,0.9272859576985134,5343205957.458898,0.1
2023-01-01 00:00:00+00:00,composite_value,10,0,composite_value__top10__floor0m,0000918965,"SCANSOURCE, INC.",technology,0.9091386003567308,737665194.1854857,0.1
2023-01-01 00:00:00+00:00,composite_value,10,0,composite_value__top10__floor0m,0000928022,CALLON PETROLEUM CO,energy,0.898989898989899,2285060043.8900003,0.1
2023-01-01 00:00:00+00:00,composite_value,10,0,composite_value__top10__floor0m,0001730168,BROADCOM INC.,technology,0.8910295815639179,23365266993.400497,0.1
2023-01-01 00:00:00+00:00,composite_value,10,0,composite_value__top10__floor0m,0001582982,"CARECLOUD, INC.",technology,0.8825365725173612,42768783.60909271,0.1
2023-01-01 00:00:00+00:00,composite_value,10,0,composite_value__top10__floor0m,0001760717,SCIPLAY CORP,technology,0.8804387302970873,381096000.0,0.1
2023-01-01 00:00:00+00:00,composite_value,20,0,composite_value__top20__floor0m,0000817720,SYNAPTICS INC,technology,0.9962013295346628,3787.368145751953,0.05
2023-01-01 00:00:00+00:00,composite_value,20,0,composite_value__top20__floor0m,0001770561,CORONADO GLOBAL RESOURCES INC.,energy,0.9903381642512076,236379970.334232,0.05
2023-01-01 00:00:00+00:00,composite_value,20,0,composite_value__top20__floor0m,0000945983,"CLIMB GLOBAL SOLUTIONS, INC.",technology,0.948847081991558,35295888.791157246,0.05
2023-01-01 00:00:00+00:00,composite_value,20,0,composite_value__top20__floor0m,0001596961,"RUMBLEON, INC.",technology,0.9390877201433678,103651311.75880814,0.05
2023-01-01 00:00:00+00:00,composite_value,20,0,composite_value__top20__floor0m,0000319201,KLA CORP,technology,0.9272859576985134,5343205957.458898,0.05
