candidate,scenario,cost_bps,window,weeks,start,end,cagr,sharpe_zero_rf,sortino_zero_target,max_drawdown,annual_one_way_turnover,total_return,annual_volatility,win_rate,best_week,worst_week,full_cagr,full_sharpe,full_drawdown,recent_above_control,full_above_control
sales_yield__top10__floor25m,base,50,trailing_1y,53,2025-08-08,2026-08-07,1.0536298808155395,1.529787132278706,3.398129986256751,-0.2260659125692276,1.287253860436935,1.0822468637200586,0.5701954659198671,0.5283018867924528,0.3316245119504433,-0.09997595675929183,0.5606447535758561,1.2103159648327606,-0.38106193621955586,True,True
sales_yield__top10__floor0m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.9928021657418868,1.4452518904299194,3.2740756994285167,-0.22987509812569906,1.090010940726182,1.0194035397043457,0.5886422692750504,0.5471698113207547,0.3367978602784065,-0.1033305032341647,0.74514379026805,1.2550016792834098,-0.38577478620199646,False,True
earnings_yield__top30__floor250m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.7340759810836464,2.753789953102526,4.815860917693164,-0.06675180200479014,1.8355403129066672,0.7525305072617361,0.20870754874286687,0.7169811320754716,0.0796211447313937,-0.06675180200479025,0.2862494919747909,1.1809697928559282,-0.28521981424404075,False,False
sales_yield__top30__floor250m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.7219239614373696,2.7098168369659263,5.128535065485068,-0.08630038596623879,1.069442789837878,0.7400138280833977,0.20948610173623536,0.6792452830188679,0.07382712983491335,-0.06035181265565748,0.3630239630636696,1.300909125637921,-0.2835787090193387,False,False
earnings_yield__top20__floor500m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.7195500174095961,2.7379210149178976,5.004129404550729,-0.0734836526938083,1.8586046500737488,0.7375688443649893,0.2066344149232237,0.6792452830188679,0.07178672698897381,-0.061291756304134415,0.30768659773319396,1.2447329676449705,-0.27698359731598976,False,False
sales_yield__top10__floor50m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.6909098088294974,1.2645345071247613,2.4699472882598656,-0.20763730445543083,1.2376518170140351,0.7080767258487182,0.5154376370010998,0.5660377358490566,0.2631830985506496,-0.09894992614061648,0.40740569304113894,1.0109248052533344,-0.3657132509186425,False,False
earnings_yield__top30__floor50m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.651538626702244,2.4164570943649095,4.199552799539069,-0.0664033671173837,1.7661920030866798,0.667550149119148,0.21825961874481645,0.7358490566037735,0.0803032396370551,-0.05838107393618153,0.25387773014668746,1.1060657079682807,-0.26337083804230244,False,False
earnings_yield__top30__floor500m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.6491494238153985,2.741098573145947,4.769886672296118,-0.06656150720348397,1.7749475745304124,0.6650914256834228,0.18983715078410263,0.6981132075471698,0.06428130684122269,-0.06656150720348397,0.2743004616192932,1.197745446601235,-0.2657027568735152,False,False
quality_at_reasonable_price__top20__floor250m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.6485155596908272,2.6974390262626176,5.055146726246546,-0.060011266948443165,1.1817077010581707,0.6644391290004743,0.19292923999362127,0.7169811320754716,0.07468997145764278,-0.060011266948443165,0.3326605265114473,1.448992963427274,-0.26909733113927703,False,False
quality_at_reasonable_price__top20__floor100m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.6485155596908267,2.6974390262626167,5.055146726246545,-0.060011266948443276,1.181707701058171,0.6644391290004739,0.1929292399936212,0.7169811320754716,0.07468997145764256,-0.060011266948443276,0.3168013157107532,1.4047279421384213,-0.2611389829208679,False,False
quality_at_reasonable_price__top20__floor25m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.6485155596908267,2.697439026262618,5.055146726246549,-0.060011266948443165,1.1817077010581707,0.6644391290004739,0.19292923999362105,0.7169811320754716,0.07468997145764256,-0.060011266948443165,0.3091795647473681,1.3942852491908155,-0.2611389829208677,False,False
quality_at_reasonable_price__top20__floor50m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.6485155596908267,2.697439026262618,5.055146726246549,-0.060011266948443165,1.1817077010581707,0.6644391290004739,0.19292923999362105,0.7169811320754716,0.07468997145764256,-0.060011266948443165,0.3091795647473681,1.3942852491908155,-0.2611389829208677,False,False
sales_yield__top30__floor500m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.6404357949119166,2.49696653339622,4.517746825657374,-0.09733859139686674,0.8797422292571757,0.6561248305583982,0.2076157801907212,0.6415094339622641,0.067202077501614,-0.07260656999708581,0.3152545351657601,1.257275545969528,-0.2641620771736207,False,False
earnings_yield__top30__floor100m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.6367846449302674,2.3693981312163466,4.081948961494307,-0.0663994949767096,1.8449640676933232,0.6523679556959681,0.21883094421225363,0.6981132075471698,0.08544193095075236,-0.0663994949767096,0.24389006353528697,1.0616563174594158,-0.2667368649369338,False,False
quality_at_reasonable_price__top20__floor0m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.6296737226103712,2.646353811423324,4.844046979283317,-0.06080651694200301,1.1338903622597887,0.6450515881583545,0.19222820725236336,0.7169811320754716,0.07421123756142656,-0.06080651694200301,0.3109457253889598,1.3851135778793109,-0.23460959259507497,False,False
earnings_yield__top10__floor500m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.6295381169136074,2.5143549829625464,4.960820804643507,-0.086551902226358,1.9118622321470915,0.6449120705663722,0.2030907349202814,0.6415094339622641,0.0666941397108225,-0.05467904790840894,0.3323854405883879,1.2807726097540242,-0.27769323975011306,False,False
sales_yield__top20__floor500m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.6208476670742522,2.36256883622705,4.186624410692716,-0.07628328227531334,1.0420784877851832,0.6359713887956475,0.21492233850256587,0.6415094339622641,0.07413065553539444,-0.06684833388857603,0.33546497742301296,1.266538741200154,-0.2792141004541493,False,False
quality_at_reasonable_price__top20__floor500m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.6144695966265135,2.4512240902220435,4.900955380442557,-0.08171893087472326,1.217584382700984,0.6294102550931155,0.20459260994069964,0.6226415094339622,0.07571738128056738,-0.05977393292592348,0.2769512037235269,1.210261166833776,-0.30013718223704144,False,False
earnings_yield__top20__floor250m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.6011443581201117,2.3931688181718305,4.266434797591278,-0.06454547867458715,1.766844814713861,0.615704166635717,0.20625349512636043,0.660377358490566,0.08643911080349898,-0.06454547867458715,0.29474570082398954,1.217014856434925,-0.27890935020024454,False,False
earnings_yield__top20__floor25m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.5887781889807522,2.340497270953076,4.47987227134616,-0.06951640515833579,1.8761509392408275,0.6029865207271776,0.20761534175638602,0.660377358490566,0.08925970295104868,-0.054902987407067894,0.2963149017025384,1.2665322719675254,-0.26298663102535635,False,False
earnings_yield__top30__floor25m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.588355004805996,2.289042783504062,4.017995473714896,-0.06640336711738382,1.767068557454197,0.6025513422245481,0.21268233698598582,0.7169811320754716,0.08326624905987412,-0.05838107393618153,0.2517405735634901,1.108168663904746,-0.26337083804230255,False,False
earnings_yield__top10__floor50m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.5882879172251028,2.1518813345971886,4.12772336313926,-0.11323156221873387,1.7025653900853532,0.6024823533821082,0.2276072811271393,0.6415094339622641,0.10067426704179216,-0.043683724472524,0.3022677017664084,1.1823598035065184,-0.3125026428747364,False,False
earnings_yield__top20__floor50m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.5805710253365666,2.367390211378211,4.456127410968613,-0.06421234969304124,1.8263507224940072,0.5945471393786335,0.20265064714213582,0.6415094339622641,0.08151030885026112,-0.05480428579594454,0.28743492106979973,1.2327600987275331,-0.26298663102535624,False,False
sales_yield__top10__floor100m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.5802898412466924,1.1381234147065755,2.2824596773521977,-0.2563398134392595,1.04512312807744,0.5942580142273459,0.5098598907473043,0.5283018867924528,0.26280029128497695,-0.10988763429555415,0.30002065404575906,0.8369402034370689,-0.36141654698903025,False,False
earnings_yield__top30__floor0m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.5735750728498534,2.2504854444341915,4.01252177805798,-0.07423686826707454,1.6568670332164883,0.5873539049701568,0.21206564100628236,0.6981132075471698,0.0850422809258029,-0.05926216271274565,0.267977903874014,1.1711764404353253,-0.23595703779793964,False,False
sales_yield__top30__floor25m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.5610038267923225,1.6096819827844315,3.2011067552649135,-0.14547737069136701,1.0128746791548633,0.5744297040674595,0.3054780358930336,0.5471698113207547,0.1496260473942408,-0.06627514603081064,0.40265298936769756,1.2739699518645557,-0.31454897462039433,False,False
earnings_yield__top10__floor0m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.5559961670732745,1.9018303426005276,3.773479593849175,-0.12604826770018418,1.6918467697550363,0.5692820040250137,0.2491287482485466,0.6226415094339622,0.12389345684174002,-0.048493181643999184,0.30157362928819076,1.1270618502186562,-0.28153122175903456,False,False
earnings_yield__top10__floor25m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.5519719236432434,1.9624173769423816,3.718036142092801,-0.11323156221873376,1.6372555451071213,0.5651454525607293,0.23898574256881436,0.5849056603773585,0.11007591965585095,-0.04684577596394346,0.32380510056665157,1.238862421148377,-0.31250264287473617,False,False
sales_yield__top30__floor100m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.5394502942102897,1.578169835534748,3.106641092932914,-0.12461274693634006,1.0146269803188188,0.552275692982529,0.3020685615599153,0.6037735849056604,0.1329783174616772,-0.0727296739801,0.36226524292910156,1.1607413168962868,-0.3144676393530882,False,False
sales_yield__top20__floor50m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.5355499837370679,1.359269385854719,2.6162263165373676,-0.15308709343177984,1.0253855426604233,0.5482673552934461,0.3627991910886172,0.6037735849056604,0.17462981353005458,-0.06737909635399952,0.3307536202869359,1.0349167211676755,-0.38481603541834686,False,False
sales_yield__top20__floor25m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.5242793047085179,1.3152716610784108,2.439719325966891,-0.1974768860213244,0.7508162498197448,0.5366856134123819,0.37215871137337264,0.5283018867924528,0.15735642942112316,-0.07651089373225994,0.4012404014921376,1.170971489741421,-0.3653449289515498,False,False
earnings_yield__top20__floor100m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.5225289976843346,2.1440384501312346,3.8428643287779702,-0.07512787051432956,1.7629166006244967,0.5348871465636464,0.2065500317968347,0.6415094339622641,0.08643911080349875,-0.06415653334938165,0.2550481751013254,1.1167010797462074,-0.2609601644282179,False,False
composite_value__top20__floor250m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.5053844031754164,1.8719421572971264,3.057507250095921,-0.09211315064268544,1.109726225104117,0.5172729263973745,0.23372237884542418,0.6226415094339622,0.07808650180148802,-0.07407683845300883,0.22025456119097986,0.9421047295822428,-0.30520990932880443,False,False
sales_yield__top20__floor0m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.49999130489348054,1.2547806301678366,2.4103450367281547,-0.21677964441965458,0.8535934357410977,0.5117328956003457,0.37887588749889267,0.5094339622641509,0.15200261457309705,-0.08178321112981424,0.6959112913244447,1.4749002935002173,-0.3534001433705234,False,True
free_cash_flow_yield__top30__floor25m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.49788365068520046,1.786714187037442,3.2307475916277593,-0.14581299985983964,0.6584214110741329,0.5095679233329806,0.24306613065373706,0.5849056603773585,0.09408851084287506,-0.06162598964554977,0.2986246439807627,1.1347853602163187,-0.2971704309658647,False,False
