effective_date,scenario,selected,available,missing,missing_ciks,turnover,cost,adverse_loss,candidate,cost_bps
2023-01-06,base,10,10,0,,1.0,0.005,0.0,composite_value__top10__floor0m,50
2023-04-07,base,10,10,0,,0.06616779586647323,0.00035141723315448685,0.0,composite_value__top10__floor0m,50
2023-07-07,base,10,10,0,,0.3539502648084696,0.002048148115106767,0.0,composite_value__top10__floor0m,50
2023-10-06,base,10,10,0,,0.24803667986389133,0.0013734739974799808,0.0,composite_value__top10__floor0m,50
2024-01-05,base,10,10,0,,0.5,0.0030898271750328444,0.0,composite_value__top10__floor0m,50
2024-04-05,base,10,10,0,,0.4609105190847521,0.003186471672113879,0.0,composite_value__top10__floor0m,50
2024-07-05,base,10,10,0,,0.5255361096433465,0.0036296550986458682,0.0,composite_value__top10__floor0m,50
2024-10-04,base,10,10,0,,0.46511116912120226,0.003610193477435363,0.0,composite_value__top10__floor0m,50
2025-01-03,base,10,10,0,,0.37679377552451654,0.003139716127578561,0.0,composite_value__top10__floor0m,50
2025-04-04,base,10,10,0,,0.3474920911316376,0.0024647607875020855,0.0,composite_value__top10__floor0m,50
2025-07-04,base,10,10,0,,0.44687428866537887,0.0041854071497042416,0.0,composite_value__top10__floor0m,50
2025-10-03,base,10,10,0,,0.33911109413878404,0.003480335821660904,0.0,composite_value__top10__floor0m,50
2026-01-02,base,10,10,0,,0.5760733904276175,0.005611887247946756,0.0,composite_value__top10__floor0m,50
2026-04-03,base,10,10,0,,0.3465888916149656,0.0031067605251143627,0.0,composite_value__top10__floor0m,50
2023-01-06,adverse,10,10,0,,1.0,0.005,0.0,composite_value__top10__floor0m,50
2023-04-07,adverse,10,10,0,,0.06616779586647323,0.00035141723315448685,0.0,composite_value__top10__floor0m,50
2023-07-07,adverse,10,10,0,,0.3539502648084696,0.002048148115106767,0.0,composite_value__top10__floor0m,50
2023-10-06,adverse,10,10,0,,0.24803667986389133,0.0013734739974799808,0.0,composite_value__top10__floor0m,50
2024-01-05,adverse,10,10,0,,0.5,0.0030898271750328444,0.0,composite_value__top10__floor0m,50
2024-04-05,adverse,10,10,0,,0.4609105190847521,0.003186471672113879,0.0,composite_value__top10__floor0m,50
2024-07-05,adverse,10,10,0,,0.5255361096433465,0.0036296550986458682,0.0,composite_value__top10__floor0m,50
2024-10-04,adverse,10,10,0,,0.46511116912120226,0.003610193477435363,0.0,composite_value__top10__floor0m,50
2025-01-03,adverse,10,10,0,,0.37679377552451654,0.003139716127578561,0.0,composite_value__top10__floor0m,50
2025-04-04,adverse,10,10,0,,0.3474920911316376,0.0024647607875020855,0.0,composite_value__top10__floor0m,50
2025-07-04,adverse,10,10,0,,0.44687428866537887,0.0041854071497042416,0.0,composite_value__top10__floor0m,50
2025-10-03,adverse,10,10,0,,0.33911109413878404,0.003480335821660904,0.0,composite_value__top10__floor0m,50
2026-01-02,adverse,10,10,0,,0.5760733904276175,0.005611887247946756,0.0,composite_value__top10__floor0m,50
2026-04-03,adverse,10,10,0,,0.3465888916149656,0.0031067605251143627,0.0,composite_value__top10__floor0m,50
2023-01-06,base,10,10,0,,1.0,0.005,0.0,composite_value__top10__floor100m,50
2023-04-07,base,10,10,0,,0.22483875175769807,0.0011038503029033456,0.0,composite_value__top10__floor100m,50
2023-07-07,base,10,10,0,,0.3228174054384346,0.0017492949616352525,0.0,composite_value__top10__floor100m,50
2023-10-06,base,10,10,0,,0.2461261734387845,0.0013150394569405846,0.0,composite_value__top10__floor100m,50
2024-01-05,base,10,10,0,,0.5145074650605691,0.0030093710502392974,0.0,composite_value__top10__floor100m,50
2024-04-05,base,10,10,0,,0.48529030746071816,0.0032365134865350166,0.0,composite_value__top10__floor100m,50
2024-07-05,base,10,10,0,,0.31259999056326376,0.002116094859233,0.0,composite_value__top10__floor100m,50
2024-10-04,base,10,10,0,,0.4455429992538804,0.003268425136842187,0.0,composite_value__top10__floor100m,50
2025-01-03,base,10,10,0,,0.5637548412564393,0.004406170511449613,0.0,composite_value__top10__floor100m,50
2025-04-04,base,10,10,0,,0.25179850022150385,0.0015557556673370036,0.0,composite_value__top10__floor100m,50
2025-07-04,base,10,10,0,,0.5317636383770206,0.004341063754515485,0.0,composite_value__top10__floor100m,50
2025-10-03,base,10,10,0,,0.5003323214070569,0.0042024760905697775,0.0,composite_value__top10__floor100m,50
2026-01-02,base,10,10,0,,0.5479134719632162,0.0043897716350225525,0.0,composite_value__top10__floor100m,50
2026-04-03,base,10,10,0,,0.5617308733656238,0.004504811144613281,0.0,composite_value__top10__floor100m,50
2023-01-06,adverse,10,10,0,,1.0,0.005,0.0,composite_value__top10__floor100m,50
2023-04-07,adverse,10,10,0,,0.22483875175769807,0.0011038503029033456,0.0,composite_value__top10__floor100m,50
2023-07-07,adverse,10,10,0,,0.3228174054384346,0.0017492949616352525,0.0,composite_value__top10__floor100m,50
2023-10-06,adverse,10,10,0,,0.2461261734387845,0.0013150394569405846,0.0,composite_value__top10__floor100m,50
2024-01-05,adverse,10,10,0,,0.5145074650605691,0.0030093710502392974,0.0,composite_value__top10__floor100m,50
2024-04-05,adverse,10,10,0,,0.48529030746071816,0.0032365134865350166,0.0,composite_value__top10__floor100m,50
2024-07-05,adverse,10,10,0,,0.31259999056326376,0.002116094859233,0.0,composite_value__top10__floor100m,50
2024-10-04,adverse,10,10,0,,0.4455429992538804,0.003268425136842187,0.0,composite_value__top10__floor100m,50
2025-01-03,adverse,10,10,0,,0.5637548412564393,0.004406170511449613,0.0,composite_value__top10__floor100m,50
2025-04-04,adverse,10,10,0,,0.25179850022150385,0.0015557556673370036,0.0,composite_value__top10__floor100m,50
2025-07-04,adverse,10,10,0,,0.5317636383770206,0.004341063754515485,0.0,composite_value__top10__floor100m,50
2025-10-03,adverse,10,10,0,,0.5003323214070569,0.0042024760905697775,0.0,composite_value__top10__floor100m,50
2026-01-02,adverse,10,10,0,,0.5479134719632162,0.0043897716350225525,0.0,composite_value__top10__floor100m,50
2026-04-03,adverse,10,10,0,,0.5617308733656238,0.004504811144613281,0.0,composite_value__top10__floor100m,50
2023-01-06,base,10,10,0,,1.0,0.005,0.0,composite_value__top10__floor250m,50
2023-04-07,base,10,10,0,,0.11623506942266845,0.0005806800170967277,0.0,composite_value__top10__floor250m,50
2023-07-07,base,10,10,0,,0.31096464410163854,0.0017108577148956393,0.0,composite_value__top10__floor250m,50
2023-10-06,base,10,10,0,,0.17834093967007672,0.000962787242675974,0.0,composite_value__top10__floor250m,50
2024-01-05,base,10,10,0,,0.5133833547301196,0.002995700003452231,0.0,composite_value__top10__floor250m,50
2024-04-05,base,10,10,0,,0.4852903074607181,0.0032288832811035503,0.0,composite_value__top10__floor250m,50
2024-07-05,base,10,10,0,,0.3109328121512424,0.002081330724395636,0.0,composite_value__top10__floor250m,50
2024-10-04,base,10,10,0,,0.4418449921628613,0.0032025563694610144,0.0,composite_value__top10__floor250m,50
2025-01-03,base,10,10,0,,0.4360128997555671,0.003285885402100224,0.0,composite_value__top10__floor250m,50
2025-04-04,base,10,10,0,,0.4180190723996131,0.0022887260002778637,0.0,composite_value__top10__floor250m,50
2025-07-04,base,10,10,0,,0.44008488794011286,0.003249454106907276,0.0,composite_value__top10__floor250m,50
2025-10-03,base,10,10,0,,0.5,0.003774015422381726,0.0,composite_value__top10__floor250m,50
2026-01-02,base,10,10,0,,0.6269064930790667,0.004576126695308482,0.0,composite_value__top10__floor250m,50
2026-04-03,base,10,10,0,,0.5844330756647073,0.004501697125025168,0.0,composite_value__top10__floor250m,50
2023-01-06,adverse,10,10,0,,1.0,0.005,0.0,composite_value__top10__floor250m,50
2023-04-07,adverse,10,10,0,,0.11623506942266845,0.0005806800170967277,0.0,composite_value__top10__floor250m,50
2023-07-07,adverse,10,10,0,,0.31096464410163854,0.0017108577148956393,0.0,composite_value__top10__floor250m,50
2023-10-06,adverse,10,10,0,,0.17834093967007672,0.000962787242675974,0.0,composite_value__top10__floor250m,50
2024-01-05,adverse,10,10,0,,0.5133833547301196,0.002995700003452231,0.0,composite_value__top10__floor250m,50
2024-04-05,adverse,10,10,0,,0.4852903074607181,0.0032288832811035503,0.0,composite_value__top10__floor250m,50
2024-07-05,adverse,10,10,0,,0.3109328121512424,0.002081330724395636,0.0,composite_value__top10__floor250m,50
2024-10-04,adverse,10,10,0,,0.4418449921628613,0.0032025563694610144,0.0,composite_value__top10__floor250m,50
2025-01-03,adverse,10,10,0,,0.4360128997555671,0.003285885402100224,0.0,composite_value__top10__floor250m,50
2025-04-04,adverse,10,10,0,,0.4180190723996131,0.0022887260002778637,0.0,composite_value__top10__floor250m,50
2025-07-04,adverse,10,10,0,,0.44008488794011286,0.003249454106907276,0.0,composite_value__top10__floor250m,50
2025-10-03,adverse,10,10,0,,0.5,0.003774015422381726,0.0,composite_value__top10__floor250m,50
2026-01-02,adverse,10,10,0,,0.6269064930790667,0.004576126695308482,0.0,composite_value__top10__floor250m,50
2026-04-03,adverse,10,10,0,,0.5844330756647073,0.004501697125025168,0.0,composite_value__top10__floor250m,50
2023-01-06,base,10,10,0,,1.0,0.005,0.0,composite_value__top10__floor25m,50
2023-04-07,base,10,10,0,,0.16205087632247409,0.0008639327036019042,0.0,composite_value__top10__floor25m,50
2023-07-07,base,10,10,0,,0.3388463421947947,0.0020140876298794606,0.0,composite_value__top10__floor25m,50
2023-10-06,base,10,10,0,,0.24633819498120257,0.0013918993357084671,0.0,composite_value__top10__floor25m,50
2024-01-05,base,10,10,0,,0.39999999999999997,0.0025527604922261243,0.0,composite_value__top10__floor25m,50
2024-04-05,base,10,10,0,,0.4609105190847523,0.0032924075830138223,0.0,composite_value__top10__floor25m,50
2024-07-05,base,10,10,0,,0.32553610964334656,0.0023230871234206796,0.0,composite_value__top10__floor25m,50
2024-10-04,base,10,10,0,,0.46764398171506516,0.00381909951869168,0.0,composite_value__top10__floor25m,50
2025-01-03,base,10,10,0,,0.4790315689221829,0.004365937128846367,0.0,composite_value__top10__floor25m,50
2025-04-04,base,10,10,0,,0.2517985002215038,0.0018149646637795524,0.0,composite_value__top10__floor25m,50
2025-07-04,base,10,10,0,,0.46615732995317644,0.004439528278717622,0.0,composite_value__top10__floor25m,50
2025-10-03,base,10,10,0,,0.5028260248371398,0.0049990038779237495,0.0,composite_value__top10__floor25m,50
2026-01-02,base,10,10,0,,0.547913471963216,0.005195837181671181,0.0,composite_value__top10__floor25m,50
