decision_at,roster_members,members_with_companyfacts,facts_coverage,sue_computed,sue_coverage
2012-04-01,3106,1661,0.5348,829,0.2669
2012-07-01,3200,1694,0.5294,956,0.2988
2012-10-01,3223,1699,0.5271,994,0.3084
2013-01-01,3233,1701,0.5261,1491,0.4612
2013-04-01,3366,1761,0.5232,1616,0.4801
2013-07-01,3376,1773,0.5252,1684,0.4988
2013-10-01,3335,1779,0.5334,1712,0.5133
2014-01-01,3306,1783,0.5393,1729,0.523
2014-04-01,3355,1828,0.5449,1756,0.5234
2014-07-01,3372,1847,0.5477,1787,0.53
2014-10-01,3345,1852,0.5537,1794,0.5363
2015-01-01,3315,1858,0.5605,1805,0.5445
2015-04-01,3476,1963,0.5647,1887,0.5429
2015-07-01,3506,1991,0.5679,1932,0.5511
2015-10-01,3502,2002,0.5717,1957,0.5588
2016-01-01,3486,2010,0.5766,1964,0.5634
2016-04-01,3650,2107,0.5773,2043,0.5597
2016-07-01,3662,2125,0.5803,2073,0.5661
2016-10-01,3616,2131,0.5893,2084,0.5763
2017-01-01,3586,2146,0.5984,2101,0.5859
2017-04-01,3594,2218,0.6171,2149,0.5979
2017-07-01,3582,2235,0.624,2175,0.6072
2017-10-01,3516,2241,0.6374,2190,0.6229
2018-01-01,3464,2245,0.6481,2195,0.6337
2018-04-01,3499,2318,0.6625,2250,0.643
2018-07-01,3490,2335,0.6691,2277,0.6524
2018-10-01,3443,2340,0.6796,2289,0.6648
2019-01-01,3406,2350,0.69,2297,0.6744
2019-04-01,3519,2456,0.6979,2371,0.6738
2019-07-01,3505,2474,0.7058,2407,0.6867
2019-10-01,3460,2480,0.7168,2421,0.6997
2020-01-01,3431,2496,0.7275,2436,0.71
2020-04-01,3519,2607,0.7408,2517,0.7153
2020-07-01,3496,2620,0.7494,2544,0.7277
2020-10-01,3459,2625,0.7589,2561,0.7404
2021-01-01,3408,2626,0.7705,2566,0.7529
2021-04-01,3343,2687,0.8038,2606,0.7795
2021-07-01,3283,2687,0.8185,2623,0.799
2021-10-01,3223,2689,0.8343,2631,0.8163
2022-01-01,3165,2679,0.8464,2624,0.8291
2022-04-01,2983,2796,0.9373,2638,0.8843
2022-07-01,2956,2806,0.9493,2661,0.9002
2022-10-01,2898,2791,0.9631,2689,0.9279
2023-01-01,2824,2762,0.978,2680,0.949
2023-04-01,2996,2928,0.9773,2757,0.9202
2023-07-01,3001,2934,0.9777,2811,0.9367
2023-10-01,2972,2906,0.9778,2827,0.9512
2024-01-01,2929,2865,0.9781,2798,0.9553
2024-04-01,2939,2876,0.9786,2777,0.9449
2024-07-01,2909,2844,0.9777,2769,0.9519
2024-10-01,2872,2810,0.9784,2749,0.9572
2025-01-01,2840,2778,0.9782,2727,0.9602
2025-04-01,2866,2804,0.9784,2733,0.9536
2025-07-01,2836,2775,0.9785,2716,0.9577
2025-10-01,2797,2736,0.9782,2685,0.96
2026-01-01,2760,2699,0.9779,2647,0.9591
2026-04-01,2743,2673,0.9745,2600,0.9479
2026-07-01,2725,2644,0.9703,2582,0.9475
