decision_date,first_return_date,one_way_turnover,cost_bps,selected_names,cash_weight
2019-02-01,2019-02-04,1.0,50.0,12,0.0
2019-03-01,2019-03-04,0.2956568036542038,50.0,12,0.0
2019-04-01,2019-04-02,0.3470527043267352,50.0,12,0.0
2019-05-02,2019-05-03,0.5222252966667795,50.0,12,1.1102230246251565e-16
2019-06-10,2019-06-11,0.3479493867872703,50.0,12,0.0
2019-07-01,2019-07-02,0.3357108123188457,50.0,12,0.0
2019-08-01,2019-08-02,0.34141606350243386,50.0,12,0.0
2019-09-02,2019-09-03,0.24607766865450195,50.0,12,0.0
2019-10-01,2019-10-02,0.3262505289511783,50.0,12,0.0
2019-11-01,2019-11-04,0.2765591709743455,50.0,12,0.0
2019-12-02,2019-12-03,0.2859912438059946,50.0,12,0.0
2020-01-02,2020-01-03,0.4333639905434767,50.0,12,0.0
2020-02-03,2020-02-04,0.27875069616204795,50.0,12,0.0
2020-03-02,2020-03-03,0.4445526583578001,50.0,12,0.0
2020-04-01,2020-04-02,0.43076894672234195,50.0,12,0.0
2020-05-04,2020-05-05,0.11384479645191645,50.0,12,1.1102230246251565e-16
2020-06-02,2020-06-03,0.19950806367293789,50.0,12,0.0
2020-07-01,2020-07-02,0.283266016333733,50.0,12,0.0
2020-08-03,2020-08-04,0.24246045833827773,50.0,12,0.0
2020-09-01,2020-09-02,0.19666657166230483,50.0,12,0.0
2020-10-01,2020-10-02,0.2057803143213999,50.0,12,0.0
2020-11-02,2020-11-03,0.3683103505428868,50.0,12,0.0
2020-12-01,2020-12-02,0.3189988357912657,50.0,12,0.0
2021-01-04,2021-01-05,0.4230976089631047,50.0,12,0.0
2021-02-01,2021-02-02,0.34466080362899354,50.0,12,0.0
2021-03-01,2021-03-02,0.2782308275253686,50.0,12,1.1102230246251565e-16
2021-04-01,2021-04-05,0.6108312421486941,50.0,12,0.0
2021-05-03,2021-05-04,0.4219652779144332,50.0,12,0.0
2021-06-02,2021-06-03,0.28617902323503097,50.0,12,0.0
2021-07-01,2021-07-02,0.2629081795716829,50.0,12,0.0
2021-08-02,2021-08-03,0.5245069345587612,50.0,12,0.0
2021-09-01,2021-09-02,0.4002744601301923,50.0,12,0.0
2021-10-01,2021-10-04,0.31078496309323606,50.0,12,0.0
2021-11-01,2021-11-02,0.36875271377291674,50.0,12,0.0
2021-12-01,2021-12-02,0.3068196311782207,50.0,12,0.0
2022-01-03,2022-01-04,0.3372078292541035,50.0,12,0.0
2022-02-02,2022-02-03,0.3744943187769166,50.0,12,0.0
2022-03-01,2022-03-02,0.3517869359898539,50.0,12,0.0
2022-04-01,2022-04-04,0.40373950270876696,50.0,12,0.0
2022-05-09,2022-05-10,0.348626175119843,50.0,12,0.0
2022-06-02,2022-06-03,0.34024966788040734,50.0,12,0.0
2022-07-01,2022-07-04,0.2943163981214229,50.0,12,0.0
2022-08-01,2022-08-02,0.298483960726026,50.0,12,0.0
2022-09-01,2022-09-02,0.2828886042696713,50.0,12,0.0
2022-10-03,2022-10-04,0.2582121795927966,50.0,12,0.0
2022-11-01,2022-11-02,0.4659585309557579,50.0,12,0.0
2022-12-01,2022-12-02,0.3909545832520698,50.0,12,0.0
2023-01-02,2023-01-03,0.08574534261526989,50.0,12,0.0
2023-02-01,2023-02-02,0.42848733037746367,50.0,12,0.0
2023-03-01,2023-03-02,0.2944148480176023,50.0,12,0.0
2023-04-03,2023-04-04,0.2765718707927761,50.0,12,0.0
2023-05-02,2023-05-03,0.37246543163802215,50.0,12,0.0
2023-06-05,2023-06-06,0.34912126638648155,50.0,12,0.0
2023-07-03,2023-07-04,0.2554206879309465,50.0,12,0.0
2023-08-01,2023-08-02,0.18217892213761946,50.0,12,0.0
2023-09-01,2023-09-04,0.16031570092571704,50.0,12,0.0
2023-10-02,2023-10-03,0.17037594112684531,50.0,12,0.0
2023-11-01,2023-11-02,0.18127290339432806,50.0,12,0.0
2023-12-01,2023-12-04,0.3303763697791848,50.0,12,0.0
2024-01-02,2024-01-03,0.15521868205043524,50.0,12,0.0
2024-02-01,2024-02-02,0.17356236622057497,50.0,12,0.0
2024-03-01,2024-03-04,0.19497573571966942,50.0,12,0.0
2024-04-01,2024-04-02,0.10990966715905978,50.0,12,0.0
2024-05-02,2024-05-03,0.22339786583742757,50.0,12,0.0
2024-06-03,2024-06-04,0.4027981565833847,50.0,12,0.0
2024-07-01,2024-07-02,0.3140898909832903,50.0,12,0.0
2024-08-01,2024-08-02,0.3589919111913038,50.0,12,1.1102230246251565e-16
2024-09-02,2024-09-03,0.26980327150759587,50.0,12,1.1102230246251565e-16
2024-10-01,2024-10-02,0.24923467315147907,50.0,12,1.1102230246251565e-16
2024-11-01,2024-11-04,0.4097830992612072,50.0,12,0.0
2024-12-02,2024-12-03,0.3569825523238756,50.0,12,0.0
2025-01-02,2025-01-03,0.4168411953589079,50.0,12,0.0
2025-02-03,2025-02-04,0.3588628725215229,50.0,12,0.0
2025-03-03,2025-03-04,0.4421068348728211,50.0,12,0.0
2025-04-08,2025-04-09,0.2908861993055768,50.0,12,0.0
2025-05-02,2025-05-05,0.44611845543422785,50.0,12,0.0
