portfolio,state,n_weeks,label,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,worst_4w,worst_13w,avg_BIL,avg_SPY,avg_QQQ
improved_phase3_breadth_neutral_cash_unlock,neutral_mixed,493,improved_phase3_breadth_neutral_cash_unlock,0.108145,0.075141,1.439228,-0.102285,1.057295,-0.023803,-0.059961,-0.060797,0.2651,0.0709,0.0365
improved_phase3_breadth_neutral_cash_unlock,calm_trend,295,improved_phase3_breadth_neutral_cash_unlock,0.03669,0.080793,0.454116,-0.138741,0.264446,-0.028021,-0.07479,-0.074504,0.1055,0.0798,0.0212
improved_phase3_breadth_neutral_cash_unlock,stressed_panic,229,improved_phase3_breadth_neutral_cash_unlock,0.034364,0.083239,0.412836,-0.143824,0.238931,-0.025679,-0.136708,-0.124588,0.5214,0.0255,0.0126
improved_phase3_breadth_neutral_cash_unlock,recovery_fragile,49,improved_phase3_breadth_neutral_cash_unlock,0.070889,0.060274,1.176124,-0.032607,2.174047,-0.01721,-0.027491,-0.018252,0.1476,0.0544,0.0431
improved_phase3_breadth_neutral_cash_unlock,recovery_confirmed,44,improved_phase3_breadth_neutral_cash_unlock,0.023049,0.077831,0.296135,-0.054911,0.419743,-0.023107,-0.035044,-0.050832,0.0816,0.057,0.0531
improved_phase3_high_breadth_calm_us_offense,neutral_mixed,493,improved_phase3_high_breadth_calm_us_offense,0.112714,0.077121,1.461507,-0.093329,1.207695,-0.02488,-0.070333,-0.06955,0.2599,0.0656,0.0287
improved_phase3_high_breadth_calm_us_offense,calm_trend,295,improved_phase3_high_breadth_calm_us_offense,0.043578,0.074117,0.587964,-0.122006,0.357179,-0.02502,-0.065082,-0.072908,0.1587,0.0929,0.0313
improved_phase3_high_breadth_calm_us_offense,stressed_panic,229,improved_phase3_high_breadth_calm_us_offense,0.037183,0.075604,0.491817,-0.122145,0.304418,-0.023468,-0.114308,-0.102317,0.5318,0.0257,0.0122
improved_phase3_high_breadth_calm_us_offense,recovery_fragile,49,improved_phase3_high_breadth_calm_us_offense,0.067719,0.057663,1.174409,-0.031296,2.16383,-0.016536,-0.027259,-0.019656,0.1751,0.053,0.0424
improved_phase3_high_breadth_calm_us_offense,recovery_confirmed,44,improved_phase3_high_breadth_calm_us_offense,0.024606,0.076292,0.322523,-0.054834,0.448736,-0.022622,-0.034922,-0.050202,0.1068,0.0563,0.053
improved_phase3_qqq_us_growth_leadership,neutral_mixed,493,improved_phase3_qqq_us_growth_leadership,0.104936,0.072913,1.439191,-0.099353,1.056186,-0.022995,-0.055372,-0.055402,0.2988,0.0699,0.0367
improved_phase3_qqq_us_growth_leadership,calm_trend,295,improved_phase3_qqq_us_growth_leadership,0.044401,0.073626,0.603057,-0.118759,0.373874,-0.025015,-0.065026,-0.073024,0.1725,0.096,0.0374
improved_phase3_qqq_us_growth_leadership,stressed_panic,229,improved_phase3_qqq_us_growth_leadership,0.036198,0.080805,0.447963,-0.136899,0.264411,-0.024954,-0.130503,-0.118289,0.5316,0.0254,0.0127
improved_phase3_qqq_us_growth_leadership,recovery_fragile,49,improved_phase3_qqq_us_growth_leadership,0.068104,0.057905,1.176125,-0.031527,2.160173,-0.016594,-0.02739,-0.018759,0.1772,0.0528,0.0428
improved_phase3_qqq_us_growth_leadership,recovery_confirmed,44,improved_phase3_qqq_us_growth_leadership,0.024461,0.077855,0.314181,-0.055342,0.44199,-0.023186,-0.036232,-0.049826,0.1055,0.0554,0.0555
improved_phase3_breadth_credit_risk_on_offense,neutral_mixed,493,improved_phase3_breadth_credit_risk_on_offense,0.110826,0.074658,1.484445,-0.082668,1.340623,-0.023414,-0.0581,-0.057988,0.2741,0.0656,0.0301
