portfolio,window,label,n_weeks,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,worst_4w,worst_13w,avg_BIL,avg_SPY,avg_QQQ,avg_turnover,upside_capture_spy,downside_capture_spy,beta_spy,corr_spy,beta_qqq,corr_qqq,active_return_vs_ggg1,active_return_vs_phase2_best,active_return_vs_spy
improved_phase3_breadth_neutral_cash_unlock,full,improved_phase3_breadth_neutral_cash_unlock,1110,0.068314,0.077932,0.876583,-0.15374,0.444346,-0.025795,-0.160243,-0.123799,0.2631,0.0626,0.0285,0.0723,0.0426,-0.122,-0.0318,-0.0717,-0.0236,-0.0604,-0.0029,-0.0057,-0.0545
improved_phase3_breadth_neutral_cash_unlock,holdout_2016,improved_phase3_breadth_neutral_cash_unlock,537,0.071193,0.08188,0.869474,-0.15374,0.463074,-0.026013,-0.160243,-0.123799,0.2387,0.0594,0.0272,0.0773,0.0496,-0.1305,-0.0614,-0.1274,-0.0397,-0.0983,-0.0099,-0.0121,-0.0866
improved_phase3_breadth_neutral_cash_unlock,holdout_2020,improved_phase3_breadth_neutral_cash_unlock,328,0.084789,0.092431,0.917315,-0.15374,0.551506,-0.028111,-0.160243,-0.060744,0.2509,0.0593,0.0344,0.0784,0.0554,-0.1276,-0.0698,-0.1458,-0.046,-0.113,-0.0103,-0.0122,-0.0781
improved_phase3_breadth_neutral_cash_unlock,holdout_2021,improved_phase3_breadth_neutral_cash_unlock,276,0.097181,0.073082,1.329753,-0.068668,1.415245,-0.019573,-0.058098,-0.049514,0.2467,0.063,0.0223,0.0786,0.087,-0.1337,-0.0334,-0.0732,-0.0231,-0.0658,-0.0053,-0.0083,-0.0545
improved_phase3_breadth_neutral_cash_unlock,bear_2022,improved_phase3_breadth_neutral_cash_unlock,52,-0.010541,0.064419,-0.163623,-0.068668,-0.153501,-0.016544,-0.024942,-0.049514,0.5364,0.0322,0.002,0.0468,0.0426,0.0441,0.0134,0.0482,0.0138,0.0612,0.0026,0.0009,0.1496
improved_phase3_breadth_neutral_cash_unlock,recovery_2023,improved_phase3_breadth_neutral_cash_unlock,171,0.139167,0.074918,1.857582,-0.057031,2.440192,-0.019288,-0.058098,-0.027134,0.1546,0.0611,0.0175,0.0858,0.1362,-0.2173,-0.0637,-0.1216,-0.049,-0.1236,-0.0049,-0.0094,-0.0795
improved_phase3_high_breadth_calm_us_offense,full,improved_phase3_high_breadth_calm_us_offense,1110,0.072679,0.075242,0.965945,-0.119015,0.610673,-0.02483,-0.119773,-0.07933,0.2793,0.0637,0.0275,0.0665,0.0479,-0.1255,-0.0304,-0.071,-0.0237,-0.0627,0.0012,-0.0015,-0.0501
improved_phase3_high_breadth_calm_us_offense,holdout_2016,improved_phase3_high_breadth_calm_us_offense,537,0.08492,0.0793,1.070876,-0.119015,0.713524,-0.024758,-0.119773,-0.072968,0.2407,0.0632,0.0275,0.0678,0.0665,-0.1415,-0.0568,-0.1216,-0.0387,-0.0989,0.0036,0.0015,-0.0728
improved_phase3_high_breadth_calm_us_offense,holdout_2020,improved_phase3_high_breadth_calm_us_offense,328,0.099358,0.088368,1.12436,-0.119015,0.834833,-0.026399,-0.119773,-0.049243,0.2494,0.0605,0.0326,0.0714,0.0701,-0.1382,-0.0649,-0.1419,-0.0445,-0.1144,0.0039,0.002,-0.0636
improved_phase3_high_breadth_calm_us_offense,holdout_2021,improved_phase3_high_breadth_calm_us_offense,276,0.105679,0.075301,1.403428,-0.074152,1.425167,-0.020525,-0.076003,-0.049243,0.242,0.0641,0.0242,0.0728,0.0974,-0.1403,-0.0326,-0.0693,-0.0244,-0.0677,0.0034,0.0004,-0.046
improved_phase3_high_breadth_calm_us_offense,bear_2022,improved_phase3_high_breadth_calm_us_offense,52,-0.014259,0.060402,-0.236065,-0.066584,-0.214148,-0.015733,-0.024883,-0.049243,0.5523,0.0304,0.0019,0.0413,0.0376,0.0455,0.0117,0.0445,0.0117,0.0555,-0.0014,-0.0031,0.1459
improved_phase3_high_breadth_calm_us_offense,recovery_2023,improved_phase3_high_breadth_calm_us_offense,171,0.149912,0.07921,1.892587,-0.074152,2.021673,-0.02076,-0.076003,-0.024952,0.1433,0.0627,0.0231,0.0777,0.1477,-0.2307,-0.0653,-0.1179,-0.0528,-0.1259,0.0062,0.0017,-0.0688
improved_phase3_qqq_us_growth_leadership,full,improved_phase3_qqq_us_growth_leadership,1110,0.069368,0.0744,0.932364,-0.13648,0.508265,-0.024226,-0.140964,-0.099435,0.3002,0.0663,0.0329,0.0705,0.0472,-0.1182,-0.0303,-0.0715,-0.0226,-0.0605,-0.0022,-0.0049,-0.0534
improved_phase3_qqq_us_growth_leadership,holdout_2016,improved_phase3_qqq_us_growth_leadership,537,0.077134,0.078258,0.985625,-0.13648,0.565163,-0.023892,-0.140964,-0.099435,0.2783,0.0638,0.036,0.0756,0.0612,-0.1286,-0.0579,-0.1257,-0.0376,-0.0973,-0.0043,-0.0064,-0.0806
improved_phase3_qqq_us_growth_leadership,holdout_2020,improved_phase3_qqq_us_growth_leadership,328,0.092563,0.088732,1.043177,-0.13648,0.67822,-0.026082,-0.140964,-0.049233,0.2901,0.0617,0.0416,0.0767,0.0668,-0.1281,-0.0663,-0.1442,-0.0433,-0.1108,-0.0029,-0.0047,-0.0704
improved_phase3_qqq_us_growth_leadership,holdout_2021,improved_phase3_qqq_us_growth_leadership,276,0.100573,0.070137,1.433947,-0.063652,1.580049,-0.018315,-0.053679,-0.049233,0.2883,0.066,0.0298,0.0772,0.0985,-0.1256,-0.0273,-0.0624,-0.0191,-0.0567,-0.0021,-0.0051,-0.0512
