portfolio,state,ann_return,sharpe,max_drawdown,delta_vs_ggg1,avg_offense_sleeve,avg_defense_sleeve,avg_cash_bil_sleeve,avg_QQQ_etf
improved_phase3_breadth_neutral_cash_unlock,neutral_mixed,0.108145,1.439228,-0.102285,-0.004,0.1227,0.2136,0.1913,0.0365
improved_phase3_high_breadth_calm_us_offense,neutral_mixed,0.112714,1.461507,-0.093329,0.0006,0.1199,0.1986,0.2278,0.0287
improved_phase3_qqq_us_growth_leadership,neutral_mixed,0.104936,1.439191,-0.099353,-0.0072,0.1333,0.1931,0.2284,0.0367
improved_phase3_breadth_credit_risk_on_offense,neutral_mixed,0.110826,1.484445,-0.082668,-0.0013,0.1191,0.2045,0.2281,0.0301
improved_phase3_balanced_breadth_aggressive,neutral_mixed,0.111099,1.449616,-0.103658,-0.001,0.1461,0.1779,0.1921,0.0386
improved_phase3_stretch_breadth_aggressive,neutral_mixed,0.114024,1.468579,-0.102315,0.0019,0.1542,0.1622,0.1879,0.0394
ggg1,neutral_mixed,0.112112,1.461561,-0.091217,0.0,,,,
phase2_best,neutral_mixed,0.117435,1.468792,-0.097213,0.0053,,,,
