portfolio,state,ann_return,sharpe,max_drawdown,delta_vs_ggg1,avg_offense_sleeve,avg_defense_sleeve,avg_cash_bil_sleeve,avg_QQQ_etf
improved_phase3_breadth_neutral_cash_unlock,calm_trend,0.03669,0.454116,-0.138741,-0.0042,0.0957,0.2846,0.0304,0.0212
improved_phase3_high_breadth_calm_us_offense,calm_trend,0.043578,0.587964,-0.122006,0.0027,0.1033,0.272,0.0356,0.0313
improved_phase3_qqq_us_growth_leadership,calm_trend,0.044401,0.603057,-0.118759,0.0036,0.1271,0.2545,0.041,0.0374
improved_phase3_breadth_credit_risk_on_offense,calm_trend,0.037534,0.468695,-0.139322,-0.0033,0.1007,0.2826,0.0362,0.0232
improved_phase3_balanced_breadth_aggressive,calm_trend,0.041454,0.534408,-0.128883,0.0006,0.1336,0.2124,0.0344,0.0398
improved_phase3_stretch_breadth_aggressive,calm_trend,0.042206,0.545364,-0.127064,0.0014,0.1472,0.1865,0.0384,0.0426
ggg1,calm_trend,0.040851,0.513625,-0.139322,0.0,,,,
phase2_best,calm_trend,0.041268,0.517105,-0.139793,0.0004,,,,
