portfolio,state,delta_ann_return_vs_ggg1,delta_sharpe_vs_ggg1,delta_ann_return_vs_phase2
improved_phase3_breadth_neutral_cash_unlock,neutral_mixed,-0.004,-0.0223,-0.0093
improved_phase3_breadth_neutral_cash_unlock,calm_trend,-0.0042,-0.0595,-0.0046
improved_phase3_breadth_neutral_cash_unlock,stressed_panic,-0.0014,-0.0679,-0.0012
improved_phase3_breadth_neutral_cash_unlock,recovery_fragile,0.0042,0.034,0.0013
improved_phase3_breadth_neutral_cash_unlock,recovery_confirmed,-0.0027,-0.0481,-0.0037
improved_phase3_high_breadth_calm_us_offense,neutral_mixed,0.0006,-0.0001,-0.0047
improved_phase3_high_breadth_calm_us_offense,calm_trend,0.0027,0.0743,0.0023
improved_phase3_high_breadth_calm_us_offense,stressed_panic,0.0014,0.0111,0.0016
improved_phase3_high_breadth_calm_us_offense,recovery_fragile,0.001,0.0323,-0.0019
improved_phase3_high_breadth_calm_us_offense,recovery_confirmed,-0.0011,-0.0217,-0.0021
improved_phase3_qqq_us_growth_leadership,neutral_mixed,-0.0072,-0.0224,-0.0125
improved_phase3_qqq_us_growth_leadership,calm_trend,0.0036,0.0894,0.0031
improved_phase3_qqq_us_growth_leadership,stressed_panic,0.0004,-0.0327,0.0006
improved_phase3_qqq_us_growth_leadership,recovery_fragile,0.0014,0.034,-0.0015
improved_phase3_qqq_us_growth_leadership,recovery_confirmed,-0.0012,-0.0301,-0.0023
improved_phase3_breadth_credit_risk_on_offense,neutral_mixed,-0.0013,0.0229,-0.0066
improved_phase3_breadth_credit_risk_on_offense,calm_trend,-0.0033,-0.0449,-0.0037
improved_phase3_breadth_credit_risk_on_offense,stressed_panic,-0.0015,-0.0497,-0.0013
improved_phase3_breadth_credit_risk_on_offense,recovery_fragile,0.001,0.0114,-0.0019
improved_phase3_breadth_credit_risk_on_offense,recovery_confirmed,-0.0026,-0.0376,-0.0036
improved_phase3_balanced_breadth_aggressive,neutral_mixed,-0.001,-0.0119,-0.0063
improved_phase3_balanced_breadth_aggressive,calm_trend,0.0006,0.0208,0.0002
improved_phase3_balanced_breadth_aggressive,stressed_panic,-0.0016,-0.0843,-0.0013
improved_phase3_balanced_breadth_aggressive,recovery_fragile,0.0105,0.1494,0.0076
improved_phase3_balanced_breadth_aggressive,recovery_confirmed,-0.0008,-0.0373,-0.0018
improved_phase3_stretch_breadth_aggressive,neutral_mixed,0.0019,0.007,-0.0034
improved_phase3_stretch_breadth_aggressive,calm_trend,0.0014,0.0317,0.0009
improved_phase3_stretch_breadth_aggressive,stressed_panic,-0.001,-0.0853,-0.0008
improved_phase3_stretch_breadth_aggressive,recovery_fragile,0.0131,0.1866,0.0102
improved_phase3_stretch_breadth_aggressive,recovery_confirmed,-0.002,-0.0532,-0.0031
ggg1,neutral_mixed,0.0,0.0,-0.0053
ggg1,calm_trend,0.0,0.0,-0.0004
ggg1,stressed_panic,0.0,0.0,0.0002
ggg1,recovery_fragile,0.0,0.0,-0.0029
ggg1,recovery_confirmed,0.0,0.0,-0.001
phase2_best,neutral_mixed,0.0053,0.0072,0.0
phase2_best,calm_trend,0.0004,0.0035,0.0
phase2_best,stressed_panic,-0.0002,-0.0237,0.0
phase2_best,recovery_fragile,0.0029,0.0145,0.0
phase2_best,recovery_confirmed,0.001,0.0023,0.0
