state,signal,weeks,breadth_on_weeks
neutral_mixed,breadth_on,493,209
calm_trend,breadth_on,295,284
stressed_panic,breadth_on,229,0
recovery_fragile,breadth_on,49,0
recovery_confirmed,breadth_on,44,42
