state,horizon,breadth_on_us_pure_fwd,breadth_on_ggg_fwd,breadth_off_ggg_fwd,lift_us_vs_ggg_when_breadth_on,breadth_on_weeks,breadth_off_weeks
calm_trend,4,0.00504,0.00133,0.0128,0.00371,284,11
calm_trend,13,0.02109,0.00667,0.02977,0.01442,284,11
neutral_mixed,4,0.01223,0.00983,0.00615,0.0024,209,284
neutral_mixed,13,0.03792,0.02971,0.01003,0.00822,209,284
