portfolio,beta_spy,beta_delta_vs_ggg1,corr_spy,ann_improve_vs_ggg1,pct_from_beta,hidden_beta_risk
improved_phase3_breadth_neutral_cash_unlock,-0.0318,-0.001,-0.0717,-0.0031,0.035,LOW
improved_phase3_high_breadth_calm_us_offense,-0.0304,0.0004,-0.071,0.0013,0.032,LOW
improved_phase3_qqq_us_growth_leadership,-0.0303,0.0005,-0.0715,-0.002,0.028,LOW
improved_phase3_breadth_credit_risk_on_offense,-0.0313,-0.0005,-0.0718,-0.0018,0.028,LOW
improved_phase3_balanced_breadth_aggressive,-0.0318,-0.001,-0.0712,-0.0002,0.603,HIGH
improved_phase3_stretch_breadth_aggressive,-0.0315,-0.0007,-0.0697,0.0015,0.048,LOW
