portfolio,classification,reason,full_ann_return,full_sharpe,full_max_dd,holdout_2020_return,holdout_2020_sharpe,bear_2022_return,beats_ggg1,beats_phase2_best,mandate_ok,bear_ok,disguised
improved_phase3_breadth_neutral_cash_unlock,REJECT,Sharpe 0.877 below 0.90,0.0683,0.8766,-0.1537,0.0848,0.9173,-0.0105,False,False,True,True,False
improved_phase3_high_breadth_calm_us_offense,KEEP_AS_AGGRESSIVE_SHADOW,"Beats GGG1 but not Phase2 best, or holdout modest",0.0727,0.9659,-0.119,0.0994,1.1244,-0.0143,True,False,True,True,False
improved_phase3_qqq_us_growth_leadership,REJECT,return 6.94% does not beat GGG1 7.14%,0.0694,0.9324,-0.1365,0.0926,1.0432,-0.0053,False,False,True,True,False
improved_phase3_breadth_credit_risk_on_offense,REJECT,return 6.95% does not beat GGG1 7.14%,0.0695,0.9079,-0.1467,0.0898,0.9941,-0.0127,False,False,True,True,False
improved_phase3_balanced_breadth_aggressive,REJECT,return 7.12% does not beat GGG1 7.14%,0.0712,0.9069,-0.1532,0.0909,0.9659,-0.0058,False,False,True,True,False
improved_phase3_stretch_breadth_aggressive,KEEP_AS_RESEARCH_ONLY,"Beats GGG1 but not Phase2 best, or holdout modest",0.0728,0.9187,-0.1576,0.0926,0.9719,0.0009,True,False,True,True,False
