decision,scored
2012-04-01,810
2012-07-01,872
2012-10-01,950
2013-01-01,1042
2013-04-01,1093
2013-07-01,1100
2013-10-01,1102
2014-01-01,1110
2014-04-01,1175
2014-07-01,1183
2014-10-01,1188
2015-01-01,1198
2015-04-01,1247
2015-07-01,1256
2015-10-01,1259
2016-01-01,1260
2016-04-01,1248
2016-07-01,1247
2016-10-01,1247
2017-01-01,1249
2017-04-01,1309
2017-07-01,1315
2017-10-01,1321
2018-01-01,1330
2018-04-01,1390
2018-07-01,1398
2018-10-01,1399
2019-01-01,1405
2019-04-01,1462
2019-07-01,1459
2019-10-01,1458
2020-01-01,1459
2020-04-01,1497
2020-07-01,1504
2020-10-01,1493
2021-01-01,1488
2021-04-01,1379
2021-07-01,1383
2021-10-01,1400
2022-01-01,1419
2022-04-01,1684
2022-07-01,1703
2022-10-01,1702
