artifact,expected_rows,actual_rows,expected_columns,actual_columns,common_rows,common_columns,index_equal,columns_equal,maximum_absolute_difference,expected_sha256,actual_sha256
published_weights,1110,1110,35,35,1110,35,True,True,0.0,c500d47af62dc1e265166c58cc1ad2d292bbc00a0304fefde8c9e6c56349b04a,c500d47af62dc1e265166c58cc1ad2d292bbc00a0304fefde8c9e6c56349b04a
published_sleeve_weights,1110,1110,7,7,1110,7,True,True,0.0,46cb45e7da99ddb9b0e8ca743a3d874de99f73cb6b049b6330ade55439d692ea,46cb45e7da99ddb9b0e8ca743a3d874de99f73cb6b049b6330ade55439d692ea
published_returns,1110,1110,6,6,1110,6,True,True,0.0,2514fcff4665630389fac9b5ba2c3afc4db5ad66b2a26e7baae5fdded194ccb1,2514fcff4665630389fac9b5ba2c3afc4db5ad66b2a26e7baae5fdded194ccb1
