artifact,present,expected_rows,actual_rows,expected_columns,actual_columns,common_rows,common_columns,index_equal,columns_equal,maximum_absolute_difference,expected_sha256,actual_sha256
raw_hrp_sleeve_weights,True,1110,1110,7,7,1110,7,True,True,0.0,2447284a4cbb8d204594f4e58a6ccc70b2a86792887a8c206372581942fa2987,2447284a4cbb8d204594f4e58a6ccc70b2a86792887a8c206372581942fa2987
post_state_tilt_sleeve_weights,True,1110,1110,7,7,1110,7,True,True,0.0,036f50ce2ea95b60fcba8fd6fbe4a4a30e712505782676f050962a2b6719b40b,036f50ce2ea95b60fcba8fd6fbe4a4a30e712505782676f050962a2b6719b40b
post_layer3_expression_sleeve_weights,True,1110,1110,7,7,1110,7,True,True,0.0,2acdbfaa96e042ea35eac9b567eab605e52f84029dd315c9bfe874f0f5fe0748,2acdbfaa96e042ea35eac9b567eab605e52f84029dd315c9bfe874f0f5fe0748
post_overlay_pre_lookthrough_sleeve_weights,True,1110,1110,7,7,1110,7,True,True,0.0,46cb45e7da99ddb9b0e8ca743a3d874de99f73cb6b049b6330ade55439d692ea,46cb45e7da99ddb9b0e8ca743a3d874de99f73cb6b049b6330ade55439d692ea
final_sleeve_weights,True,1110,1110,7,7,1110,7,True,True,0.0,46cb45e7da99ddb9b0e8ca743a3d874de99f73cb6b049b6330ade55439d692ea,46cb45e7da99ddb9b0e8ca743a3d874de99f73cb6b049b6330ade55439d692ea
final_etf_weights,True,1110,1110,35,35,1110,35,True,True,0.0,c500d47af62dc1e265166c58cc1ad2d292bbc00a0304fefde8c9e6c56349b04a,c500d47af62dc1e265166c58cc1ad2d292bbc00a0304fefde8c9e6c56349b04a
