strategy,window,weeks,cagr,sharpe,vol,maxdd
sector_ensemble,full,188,0.45411093655651613,1.7947640055851524,0.22311802613397064,-0.21322374374663877
sector_ensemble,before_break,117,0.11228048111694666,0.6425305503204612,0.19586178917456679,-0.21322374374663877
sector_ensemble,after_break,71,1.2614343348195183,3.398245911331173,0.2509968882636196,-0.087087583753373
residual_composite,full,195,0.3941212257428348,1.8310923641102106,0.1920191411366806,-0.18685460226496164
residual_composite,before_break,122,0.0759165657371863,0.5352910461299398,0.16121258893709117,-0.18685460226496164
residual_composite,after_break,73,1.1495666400740023,3.5716594975464573,0.22258508135416996,-0.11116225097772758
cash_conversion_b20,full,188,0.4102838725592701,1.6197548953126177,0.22902143990855536,-0.20933795972724045
cash_conversion_b20,before_break,117,0.08147401253142572,0.49656771760579577,0.19737032590667197,-0.20933795972724045
cash_conversion_b20,after_break,71,1.1841990467934829,3.1194944553547432,0.26310380819143786,-0.10426510356688912
growth_top_five,full,188,0.33200131162485635,0.9835780296744115,0.3572611797636069,-0.366203885075427
growth_top_five,before_break,117,-0.12334428551549204,-0.23970908853988399,0.3242097669131377,-0.366203885075427
growth_top_five,after_break,71,1.6539060534613848,2.7230131148327845,0.3887310069279074,-0.19219453442356882
equal_weight_market,full,818,0.14577471035978706,0.7805538448246433,0.2004511552839943,-0.4037124452647516
equal_weight_market,before_break,117,0.11136155976346451,0.6369446485902144,0.19560441683240537,-0.16721364701327046
equal_weight_market,after_break,75,0.282678929785557,1.479521824693856,0.17952853995271661,-0.07918054211491876
