strategy_name,audit_type,item,category,average_weight,max_weight,holding_frequency
ppo__defensive_regime_aware__seed0__softmax_long_only,ticker,EFA,International equity,0.06626473502832778,0.1293513923883438,1.0
ppo__defensive_regime_aware__seed0__softmax_long_only,ticker,SPY,US broad equity,0.057625925264059595,0.07954701036214828,1.0
ppo__defensive_regime_aware__seed0__softmax_long_only,ticker,EEM,International equity,0.056577479500559885,0.077638640999794,1.0
ppo__defensive_regime_aware__seed0__softmax_long_only,ticker,LQD,Credit,0.056567902302543924,0.08256275951862335,1.0
ppo__defensive_regime_aware__seed0__softmax_long_only,ticker,IEF,Bonds,0.0548693338335911,0.07853223383426666,1.0
ppo__defensive_regime_aware__seed0__softmax_long_only,ticker,XLV,US sectors,0.05436739943403852,0.09811895340681076,1.0
ppo__defensive_regime_aware__seed0__softmax_long_only,ticker,USO,Commodities,0.052317894359324636,0.08734822273254395,1.0
ppo__defensive_regime_aware__seed0__softmax_long_only,ticker,GLD,Commodities,0.051563319595378694,0.06859610229730606,1.0
ppo__defensive_regime_aware__seed0__softmax_long_only,ticker,BIL,Bonds,0.05154722285234676,0.07188395410776138,1.0
ppo__defensive_regime_aware__seed0__softmax_long_only,ticker,SLV,Commodities,0.05096148456421504,0.09169066697359085,1.0
ppo__defensive_regime_aware__seed0__softmax_long_only,ticker,SMH,US sectors,0.05008367781620191,0.07212167978286743,1.0
ppo__defensive_regime_aware__seed0__softmax_long_only,ticker,XLE,US sectors,0.04841686843745298,0.06718860566616058,1.0
ppo__defensive_regime_aware__seed0__softmax_long_only,ticker,VNQ,Real estate,0.04666285118330101,0.08873036503791809,1.0
ppo__defensive_regime_aware__seed0__softmax_long_only,ticker,QQQ,US broad equity,0.04601032922770321,0.06259476393461227,1.0
ppo__defensive_regime_aware__seed0__softmax_long_only,ticker,DBC,Commodities,0.044729236805997226,0.06524575501680374,1.0
ppo__defensive_regime_aware__seed0__softmax_long_only,ticker,XLF,US sectors,0.04353739495678971,0.06907282769680023,1.0
ppo__defensive_regime_aware__seed0__softmax_long_only,ticker,XLK,US sectors,0.04348239878310718,0.06689690798521042,1.0
