strategy_name,algorithm,reward_variant,seed,total_timesteps,train_seconds,status
ppo__return_only__seed0__softmax_long_only,PPO,return_only,0,25000,7.345067977905273,completed
ppo__return_only__seed1__softmax_long_only,PPO,return_only,1,25000,6.628772020339966,completed
ppo__return_only__seed2__softmax_long_only,PPO,return_only,2,25000,6.634330987930298,completed
ppo__turnover_penalized__seed0__softmax_long_only,PPO,turnover_penalized,0,25000,6.626260042190552,completed
ppo__turnover_penalized__seed1__softmax_long_only,PPO,turnover_penalized,1,25000,6.676403045654297,completed
ppo__turnover_penalized__seed2__softmax_long_only,PPO,turnover_penalized,2,25000,6.661328077316284,completed
ppo__risk_aware__seed0__softmax_long_only,PPO,risk_aware,0,25000,6.664286136627197,completed
ppo__risk_aware__seed1__softmax_long_only,PPO,risk_aware,1,25000,6.648679971694946,completed
ppo__risk_aware__seed2__softmax_long_only,PPO,risk_aware,2,25000,6.676593065261841,completed
ppo__defensive_regime_aware__seed0__softmax_long_only,PPO,defensive_regime_aware,0,25000,6.744078874588013,completed
ppo__defensive_regime_aware__seed1__softmax_long_only,PPO,defensive_regime_aware,1,25000,6.671909809112549,completed
ppo__defensive_regime_aware__seed2__softmax_long_only,PPO,defensive_regime_aware,2,25000,6.696949005126953,completed
