Date,net_return
2022-12-02 00:00:00+00:00,0.0
2022-12-09 00:00:00+00:00,0.0
2022-12-16 00:00:00+00:00,0.0
2022-12-23 00:00:00+00:00,0.0
2022-12-30 00:00:00+00:00,0.0
2023-01-06 00:00:00+00:00,0.0
2023-01-13 00:00:00+00:00,0.0
2023-01-20 00:00:00+00:00,0.0
2023-01-27 00:00:00+00:00,0.0
2023-02-03 00:00:00+00:00,0.0
2023-02-10 00:00:00+00:00,0.0
2023-02-17 00:00:00+00:00,0.0
2023-02-24 00:00:00+00:00,0.0
2023-03-03 00:00:00+00:00,0.0
2023-03-10 00:00:00+00:00,0.0
2023-03-17 00:00:00+00:00,0.0
2023-03-24 00:00:00+00:00,0.0
2023-03-31 00:00:00+00:00,0.0
2023-04-07 00:00:00+00:00,0.0
2023-04-14 00:00:00+00:00,0.0
2023-04-21 00:00:00+00:00,0.0
2023-04-28 00:00:00+00:00,0.0
2023-05-05 00:00:00+00:00,0.0
2023-05-12 00:00:00+00:00,0.0
2023-05-19 00:00:00+00:00,0.0
2023-05-26 00:00:00+00:00,0.0
2023-06-02 00:00:00+00:00,0.0
2023-06-09 00:00:00+00:00,0.0
2023-06-16 00:00:00+00:00,0.0
2023-06-23 00:00:00+00:00,0.0
2023-06-30 00:00:00+00:00,0.0
2023-07-07 00:00:00+00:00,0.0
2023-07-14 00:00:00+00:00,0.018989820628362228
2023-07-21 00:00:00+00:00,-0.011197896543904271
2023-07-28 00:00:00+00:00,0.013612270819401686
2023-08-04 00:00:00+00:00,-0.04237095310112631
2023-08-11 00:00:00+00:00,-0.007058643089686213
2023-08-18 00:00:00+00:00,-0.03612079927299561
2023-08-25 00:00:00+00:00,0.0007521562952273481
2023-09-01 00:00:00+00:00,0.03841941452562328
2023-09-08 00:00:00+00:00,-0.027840251779997553
2023-09-15 00:00:00+00:00,-0.025254817385753928
2023-09-22 00:00:00+00:00,-0.06701655619167682
2023-09-29 00:00:00+00:00,0.016859342410350035
2023-10-06 00:00:00+00:00,-0.011267327233894524
2023-10-13 00:00:00+00:00,-0.011528562716139125
2023-10-20 00:00:00+00:00,-0.022719821052516673
2023-10-27 00:00:00+00:00,-0.01836650503792897
2023-11-03 00:00:00+00:00,0.05351682845540519
2023-11-10 00:00:00+00:00,-0.010254823810861916
2023-11-17 00:00:00+00:00,0.04135530290319548
2023-11-24 00:00:00+00:00,0.02891938778847254
2023-12-01 00:00:00+00:00,0.031950413389827514
2023-12-08 00:00:00+00:00,0.017822121444735883
2023-12-15 00:00:00+00:00,0.032566372554949624
2023-12-22 00:00:00+00:00,0.04003098713743451
2023-12-29 00:00:00+00:00,-0.006521579101943901
2024-01-05 00:00:00+00:00,-0.03286115284225807
2024-01-12 00:00:00+00:00,-0.015397058029292341
2024-01-19 00:00:00+00:00,0.006513145778004637
2024-01-26 00:00:00+00:00,0.016586806155355467
2024-02-02 00:00:00+00:00,0.04072974835629091
2024-02-09 00:00:00+00:00,0.04185261398239684
2024-02-16 00:00:00+00:00,-0.0028870409262732838
2024-02-23 00:00:00+00:00,-0.01967897917031572
2024-03-01 00:00:00+00:00,0.03284575174487483
2024-03-08 00:00:00+00:00,0.005260958854733502
2024-03-15 00:00:00+00:00,-0.02334000408632557
2024-03-22 00:00:00+00:00,0.046626263132729176
2024-03-29 00:00:00+00:00,-0.006268048466353965
2024-04-05 00:00:00+00:00,-0.008545207439616991
2024-04-12 00:00:00+00:00,-0.022488867443672664
2024-04-19 00:00:00+00:00,-0.0505915710099963
2024-04-26 00:00:00+00:00,0.06001016727843477
2024-05-03 00:00:00+00:00,0.026546629715172482
2024-05-10 00:00:00+00:00,0.016208310483598404
2024-05-17 00:00:00+00:00,0.00806441198365819
2024-05-24 00:00:00+00:00,0.016264625887581378
2024-05-31 00:00:00+00:00,0.009178814689645393
2024-06-07 00:00:00+00:00,-0.013382224853065195
2024-06-14 00:00:00+00:00,-0.001175362622467216
2024-06-21 00:00:00+00:00,-0.0350930898916948
2024-06-28 00:00:00+00:00,0.026824872876964626
2024-07-05 00:00:00+00:00,0.006311868920021185
2024-07-12 00:00:00+00:00,0.03584834607048916
2024-07-19 00:00:00+00:00,-0.013813937737331018
2024-07-26 00:00:00+00:00,0.009181734016677458
2024-08-02 00:00:00+00:00,-0.07194161669841305
2024-08-09 00:00:00+00:00,-0.0010895019180680362
2024-08-16 00:00:00+00:00,0.0759251863551936
2024-08-23 00:00:00+00:00,0.049038493738200156
2024-08-30 00:00:00+00:00,-0.01565678901083225
2024-09-06 00:00:00+00:00,-0.10157196955561457
2024-09-13 00:00:00+00:00,0.07639249843947461
2024-09-20 00:00:00+00:00,0.054401714420918915
2024-09-27 00:00:00+00:00,0.0009306649968055889
2024-10-04 00:00:00+00:00,0.016691430967133367
2024-10-11 00:00:00+00:00,0.017035939389012697
2024-10-18 00:00:00+00:00,0.02908539180917353
2024-10-25 00:00:00+00:00,-0.04899557911202293
2024-11-01 00:00:00+00:00,0.020844653368733652
2024-11-08 00:00:00+00:00,0.10385558762494224
2024-11-15 00:00:00+00:00,-0.09554110577725974
2024-11-22 00:00:00+00:00,0.04946396146908526
2024-11-29 00:00:00+00:00,0.012440128672735223
2024-12-06 00:00:00+00:00,-0.0387276983414158
2024-12-13 00:00:00+00:00,-0.033734550740871505
2024-12-20 00:00:00+00:00,-0.039218114082264166
2024-12-27 00:00:00+00:00,-0.004478821778516034
2025-01-03 00:00:00+00:00,0.027489495319383297
2025-01-10 00:00:00+00:00,0.0010821986654692885
2025-01-17 00:00:00+00:00,0.07241871634279691
2025-01-24 00:00:00+00:00,-0.0040351832590394205
2025-01-31 00:00:00+00:00,-0.03261054203859623
2025-02-07 00:00:00+00:00,0.04526116173701654
2025-02-14 00:00:00+00:00,0.008645022197271724
2025-02-21 00:00:00+00:00,-0.0625091507576128
2025-02-28 00:00:00+00:00,-0.015075608838412349
2025-03-07 00:00:00+00:00,-0.02810911526256346
2025-03-14 00:00:00+00:00,0.008428521114866885
2025-03-21 00:00:00+00:00,0.026382868267137604
2025-03-28 00:00:00+00:00,-0.017327236902544486
2025-04-04 00:00:00+00:00,-0.09671964574773625
2025-04-11 00:00:00+00:00,0.0858927608390958
2025-04-18 00:00:00+00:00,0.03630794215848865
2025-04-25 00:00:00+00:00,0.03482031584779449
2025-05-02 00:00:00+00:00,0.02221874308735865
2025-05-09 00:00:00+00:00,0.036911168275066075
2025-05-16 00:00:00+00:00,0.05097540348232838
2025-05-23 00:00:00+00:00,0.04042166046098553
2025-05-30 00:00:00+00:00,0.024537289990045952
2025-06-06 00:00:00+00:00,0.01123311834203637
2025-06-13 00:00:00+00:00,-0.014743508214396765
2025-06-20 00:00:00+00:00,0.04007738382023013
2025-06-27 00:00:00+00:00,0.021173698541037338
2025-07-04 00:00:00+00:00,0.00820620287522893
2025-07-11 00:00:00+00:00,-0.0257256556337735
2025-07-18 00:00:00+00:00,0.013678407367004654
2025-07-25 00:00:00+00:00,-0.005033652109585608
2025-08-01 00:00:00+00:00,-0.004905662713350978
2025-08-08 00:00:00+00:00,0.04186483962897005
2025-08-15 00:00:00+00:00,0.028179526911150523
2025-08-22 00:00:00+00:00,0.0038079357589997213
2025-08-29 00:00:00+00:00,0.048427091914876805
2025-09-05 00:00:00+00:00,0.03324703940569817
2025-09-12 00:00:00+00:00,0.029346197974490992
2025-09-19 00:00:00+00:00,0.0536575868147196
2025-09-26 00:00:00+00:00,0.032386659606358795
2025-10-03 00:00:00+00:00,0.019708708451063105
2025-10-10 00:00:00+00:00,0.03429842336169909
2025-10-17 00:00:00+00:00,0.02524898244852797
2025-10-24 00:00:00+00:00,0.025085976306139696
2025-10-31 00:00:00+00:00,0.0032910391827930463
2025-11-07 00:00:00+00:00,-0.0822005796403653
2025-11-14 00:00:00+00:00,-0.050022736229715176
2025-11-21 00:00:00+00:00,-0.042057068736539936
2025-11-28 00:00:00+00:00,0.12968576101402415
2025-12-05 00:00:00+00:00,0.019954298234445618
2025-12-12 00:00:00+00:00,-0.013080643488376497
2025-12-19 00:00:00+00:00,-0.0036728336659252146
2025-12-26 00:00:00+00:00,-0.00022811262246223967
2026-01-02 00:00:00+00:00,0.010498644503043046
2026-01-09 00:00:00+00:00,0.047241183015871054
2026-01-16 00:00:00+00:00,0.032067505088527445
2026-01-23 00:00:00+00:00,-0.00800939547026974
2026-01-30 00:00:00+00:00,-0.00492779230947101
2026-02-06 00:00:00+00:00,0.02922273801060849
2026-02-13 00:00:00+00:00,0.06005008316226365
2026-02-20 00:00:00+00:00,0.026873378484782266
2026-02-27 00:00:00+00:00,0.012329523249804413
2026-03-06 00:00:00+00:00,-0.08676379657339885
2026-03-13 00:00:00+00:00,0.051191977692469894
2026-03-20 00:00:00+00:00,-0.006414255680612172
2026-03-27 00:00:00+00:00,0.026329850646899848
2026-04-03 00:00:00+00:00,0.06822078190573909
2026-04-10 00:00:00+00:00,0.10090457385402365
2026-04-17 00:00:00+00:00,0.04394332769651723
2026-04-24 00:00:00+00:00,0.04484526012433316
2026-05-01 00:00:00+00:00,-0.014747677114011822
2026-05-08 00:00:00+00:00,0.06277160242270417
2026-05-15 00:00:00+00:00,0.00445359752970833
2026-05-22 00:00:00+00:00,0.013136122022392747
2026-05-29 00:00:00+00:00,0.044010990672060116
2026-06-05 00:00:00+00:00,-0.05218482020894076
