stress,is_vacuous,observations,start,end,total_return,cagr,sharpe,max_drawdown,ending_value_10000
double_cost,False,52,2025-08-15,2026-08-07,1.0317003454075797,1.0317003454075797,3.46558596631719,-0.09442601012187213,20317.0034540758
delay_1_weeks,True,52,2025-08-15,2026-08-07,1.1035571007735903,1.1035571007735903,3.639533610764325,-0.08971569597436502,21035.571007735904
delay_2_weeks,True,52,2025-08-15,2026-08-07,1.1035571007735903,1.1035571007735903,3.639533610764325,-0.08971569597436502,21035.571007735904
positive_increment_decay,False,52,2025-08-15,2026-08-07,1.002354646976047,1.002354646976047,3.337248750146672,-0.09708436025592582,20023.54646976047
sleeve_shock,False,52,2025-08-15,2026-08-07,1.0222091982358958,1.0222091982358958,3.450349655591953,-0.08971569597436513,20222.091982358957
missing_top_1_sleeve_names,False,52,2025-08-15,2026-08-07,0.9872395725565695,0.9872395725565695,3.4526753663657654,-0.09108725407280638,19872.395725565693
missing_top_3_sleeve_names,False,52,2025-08-15,2026-08-07,0.9246071912067364,0.9246071912067364,3.3359396773742045,-0.0910630900155226,19246.071912067364
missing_top_5_sleeve_names,False,52,2025-08-15,2026-08-07,0.884073303793828,0.884073303793828,3.250048318831121,-0.09103957971165288,18840.73303793828
