symbol,cagr,sharpe,max_drawdown,cagr_versus_base,still_beats_base
XLK,0.9849716158792152,3.445581592914153,-0.09108725407280627,-0.10726935719169695,False
SLV,1.0810174780515314,3.6108008158025,-0.08973042037105095,-0.011223495019380803,False
MU,1.081442377260764,3.60817827474993,-0.08992793412393063,-0.010798595810148193,False
PLTR,1.0840291907588067,3.613018748499648,-0.08992793412393096,-0.008211782312105509,False
VICR,1.0896878223072957,3.624146010146154,-0.08992793412393085,-0.0025531507636165074,False
GLD,1.1028962699886002,3.6446904211966142,-0.08971569597436513,0.010655296917688073,True
VUG,1.0999027615274795,3.6309079215924474,-0.08971569597436502,0.007661788456567287,True
EQT,1.0962564393652365,3.627533292782232,-0.08965394568517804,0.004015466294324366,True
UI,1.0955836098306455,3.624199666327317,-0.08971569597436524,0.0033426367597333417,True
TE,1.1027699609603872,3.6439559230444067,-0.08971569597436502,0.010528987889474983,True
