candidate,window,days,start,end,cagr,sharpe,max_drawdown,total_return,ending_value_10000,financing_paid_on_10000,exposure_change_cost_paid_on_10000,average_exposure,maximum_exposure
cash_only_1.00x,full,899,2023-01-06,2026-08-07,0.3394324403356832,1.4060800263161894,-0.22093762899410385,1.83651421418734,28365.1421418734,0.0,0.0,1.0,1.0
cash_only_1.00x,trailing_2y,504,2024-08-05,2026-08-07,0.5258680958087583,1.6905520461992152,-0.22093762899410407,1.3282734458070462,23282.734458070463,0.0,0.0,1.0,1.0
cash_only_1.00x,trailing_1y,252,2025-08-07,2026-08-07,1.0099183021908495,2.3341625660211833,-0.14809389492575897,1.0099183021908495,20099.183021908495,0.0,0.0,1.0,1.0
fixed_1.50x,full,899,2023-01-06,2026-08-07,0.4599571882508888,1.2871669292878192,-0.3284932244689198,2.8572417539266524,38572.41753926652,2341.0727361409918,12.5,1.5,1.5
fixed_1.50x,trailing_2y,504,2024-08-05,2026-08-07,0.759979519299889,1.592598679590846,-0.3284932244689197,2.097527908355069,30975.27908355069,1558.4963308474266,0.0,1.5,1.5
fixed_1.50x,trailing_1y,252,2025-08-07,2026-08-07,1.6304575361404172,2.251286658288212,-0.22549113511388452,1.6304575361404172,26304.57536140417,1010.5563584148526,0.0,1.5,1.5
vol35_cap1.75x,full,899,2023-01-06,2026-08-07,0.3677406170848294,1.1236859666321761,-0.37271037670482765,2.0562435520840263,30562.435520840263,2130.0456373661928,130.65562411080492,1.5422509693890045,1.75
vol35_cap1.75x,trailing_2y,504,2024-08-05,2026-08-07,0.593020900355476,1.4205741259139884,-0.3727103767048283,1.5377155889693719,25377.15588969372,1132.7709480013802,110.34987321196223,1.5422509693890045,1.75
vol35_cap1.75x,trailing_1y,252,2025-08-07,2026-08-07,1.4044989060167534,2.339158357659515,-0.22073193058894314,1.4044989060167534,24044.989060167532,486.90217086544607,77.46556648483983,1.5422509693890045,1.75
fixed_2.00x,full,899,2023-01-06,2026-08-07,0.57023999308128,1.2277111060347028,-0.42743416195895567,4.001508960964325,50015.089609643255,5177.384609230962,25.0,2.0,2.0
fixed_2.00x,trailing_2y,504,2024-08-05,2026-08-07,0.9908535658570472,1.5436219962866622,-0.42615073684893756,2.9634979206857204,39634.979206857206,3540.7011795980343,0.0,2.0,2.0
fixed_2.00x,trailing_1y,252,2025-08-07,2026-08-07,2.350343069343593,2.2098487044217263,-0.3043111117838374,2.350343069343593,33503.430693435934,2420.3630376525716,0.0,2.0,2.0
