cik10,source,rows,dividend_events,split_events,first_date,last_date
0000002488,yahoo_current_sec,927.0,0.0,0.0,2022-12-01,2026-08-13
0000006951,yahoo_current_sec,927.0,14.0,0.0,2022-12-01,2026-08-13
0000023194,yahoo_current_sec,927.0,4.0,0.0,2022-12-01,2026-08-13
0000023197,yahoo_current_sec,927.0,1.0,0.0,2022-12-01,2026-08-13
0000031235,yahoo_current_sec,927.0,0.0,0.0,2022-12-01,2026-08-13
0000046129,yahoo_current_sec,927.0,14.0,0.0,2022-12-01,2026-08-13
0000065770,yahoo_current_sec,927.0,0.0,1.0,2022-12-01,2026-08-13
0000097210,yahoo_current_sec,927.0,14.0,0.0,2022-12-01,2026-08-13
0000106040,yahoo_current_sec,927.0,5.0,1.0,2022-12-01,2026-08-13
0000723125,yahoo_current_sec,927.0,15.0,0.0,2022-12-01,2026-08-13
0000751978,yahoo_current_sec,927.0,0.0,0.0,2022-12-01,2026-08-13
0000788965,yahoo_repair_v1,2163.0,9.0,0.0,2018-01-02,2026-08-11
0000797721,yahoo_current_sec,927.0,0.0,0.0,2022-12-01,2026-08-13
0000844965,yahoo_current_sec,927.0,0.0,0.0,2022-12-01,2026-08-13
0000917273,yahoo_current_sec,927.0,0.0,0.0,2022-12-01,2026-08-13
0000917491,tiingo_identity_validated,3344.0,0.0,0.0,2012-04-02,2025-07-21
0000926282,yahoo_current_sec,927.0,3.0,0.0,2022-12-01,2026-08-13
0000935036,yahoo_current_sec,927.0,0.0,0.0,2022-12-01,2026-08-13
0000936395,yahoo_current_sec,927.0,0.0,0.0,2022-12-01,2026-08-13
0000945983,yahoo_repair_v1,2163.0,32.0,1.0,2018-01-02,2026-08-11
0001022652,yahoo_current_sec,927.0,0.0,1.0,2022-12-01,2026-08-13
0001030894,yahoo_current_sec,927.0,0.0,0.0,2022-12-01,2026-08-13
0001045810,yahoo_current_sec,927.0,14.0,1.0,2022-12-01,2026-08-13
0001051627,yahoo_current_sec,927.0,0.0,0.0,2022-12-01,2026-08-13
0001070235,yahoo_current_sec,927.0,0.0,0.0,2022-12-01,2026-08-13
0001116942,yahoo_current_sec,927.0,0.0,0.0,2022-12-01,2026-08-13
0001124796,yahoo_current_sec,927.0,0.0,0.0,2022-12-01,2026-08-13
0001137789,yahoo_current_sec,927.0,15.0,0.0,2022-12-01,2026-08-13
0001144879,yahoo_current_sec,927.0,0.0,0.0,2022-12-01,2026-08-13
0001158114,yahoo_current_sec,927.0,0.0,0.0,2022-12-01,2026-08-13
0001315098,yahoo_current_sec,927.0,0.0,0.0,2022-12-01,2026-08-13
0001321655,yahoo_current_sec,927.0,0.0,0.0,2022-12-01,2026-08-13
0000002098,missing_base_case_cash,,,,,
0000004281,missing_base_case_cash,,,,,
0000008063,missing_base_case_cash,,,,,
0000017843,missing_base_case_cash,,,,,
0000018926,missing_base_case_cash,,,,,
0000024741,missing_base_case_cash,,,,,
0000025445,missing_base_case_cash,,,,,
0000026780,missing_base_case_cash,,,,,
0000033488,missing_base_case_cash,,,,,
0000037472,missing_base_case_cash,,,,,
0000039911,missing_base_case_cash,,,,,
0000040545,missing_base_case_cash,,,,,
0000045876,missing_base_case_cash,,,,,
0000046250,missing_base_case_cash,,,,,
0000050725,missing_base_case_cash,,,,,
0000054381,missing_base_case_cash,,,,,
0000059255,missing_base_case_cash,,,,,
0000059478,missing_base_case_cash,,,,,
0000061986,missing_base_case_cash,,,,,
0000067347,missing_base_case_cash,,,,,
0000070318,missing_base_case_cash,,,,,
0000071829,missing_base_case_cash,,,,,
0000074046,missing_base_case_cash,,,,,
0000076282,missing_base_case_cash,,,,,
0000077543,missing_base_case_cash,,,,,
0000078814,missing_base_case_cash,,,,,
0000080035,missing_base_case_cash,,,,,
0000080420,missing_base_case_cash,,,,,
0000082020,missing_base_case_cash,,,,,
0000100517,missing_base_case_cash,,,,,
0000100591,missing_base_case_cash,,,,,
0000105634,missing_base_case_cash,,,,,
0000108385,missing_base_case_cash,,,,,
0000110471,missing_base_case_cash,,,,,
0000215466,missing_base_case_cash,,,,,
0000310522,missing_base_case_cash,,,,,
0000314203,missing_base_case_cash,,,,,
0000314808,missing_base_case_cash,,,,,
0000315858,missing_base_case_cash,,,,,
0000317788,missing_base_case_cash,,,,,
0000351817,missing_base_case_cash,,,,,
0000357294,missing_base_case_cash,,,,,
0000700841,missing_base_case_cash,,,,,
0000703351,missing_base_case_cash,,,,,
0000707549,missing_base_case_cash,,,,,
0000716314,missing_base_case_cash,,,,,
0000719413,missing_base_case_cash,,,,,
0000729580,missing_base_case_cash,,,,,
0000730464,missing_base_case_cash,,,,,
0000738214,missing_base_case_cash,,,,,
0000793733,missing_base_case_cash,,,,,
0000798941,missing_base_case_cash,,,,,
0000799288,missing_base_case_cash,,,,,
0000805928,missing_base_case_cash,,,,,
0000809248,missing_base_case_cash,,,,,
0000815097,missing_base_case_cash,,,,,
0000818033,missing_base_case_cash,,,,,
0000818686,missing_base_case_cash,,,,,
0000820318,missing_base_case_cash,,,,,
0000821130,missing_base_case_cash,,,,,
0000827876,missing_base_case_cash,,,,,
0000874015,missing_base_case_cash,,,,,
0000874238,missing_base_case_cash,,,,,
0000874396,missing_base_case_cash,,,,,
0000879407,missing_base_case_cash,,,,,
0000880807,missing_base_case_cash,,,,,
0000883569,missing_base_case_cash,,,,,
0000884887,missing_base_case_cash,,,,,
0000885275,missing_base_case_cash,,,,,
0000891532,missing_base_case_cash,,,,,
0000906709,missing_base_case_cash,,,,,
0000915779,missing_base_case_cash,,,,,
0000918541,missing_base_case_cash,,,,,
0000921638,missing_base_case_cash,,,,,
0000923796,missing_base_case_cash,,,,,
0000931584,missing_base_case_cash,,,,,
0000933136,missing_base_case_cash,,,,,
0001001233,missing_base_case_cash,,,,,
0001001316,missing_base_case_cash,,,,,
0001009829,missing_base_case_cash,,,,,
0001012477,missing_base_case_cash,,,,,
0001013871,missing_base_case_cash,,,,,
0001017480,missing_base_case_cash,,,,,
0001018164,missing_base_case_cash,,,,,
0001018840,missing_base_case_cash,,,,,
0001020859,missing_base_case_cash,,,,,
0001026214,missing_base_case_cash,,,,,
0001027838,missing_base_case_cash,,,,,
0001031029,missing_base_case_cash,,,,,
0001034842,missing_base_case_cash,,,,,
0001048268,missing_base_case_cash,,,,,
0001050825,missing_base_case_cash,,,,,
0001051512,missing_base_case_cash,,,,,
0001061983,missing_base_case_cash,,,,,
0001065059,missing_base_case_cash,,,,,
0001069183,missing_base_case_cash,,,,,
0001069258,missing_base_case_cash,,,,,
0001083301,missing_base_case_cash,,,,,
0001088856,missing_base_case_cash,,,,,
0001096296,missing_base_case_cash,,,,,
0001104506,missing_base_case_cash,,,,,
0001145986,missing_base_case_cash,,,,,
0001157408,missing_base_case_cash,,,,,
0001160791,missing_base_case_cash,,,,,
0001163302,missing_base_case_cash,,,,,
0001166003,missing_base_case_cash,,,,,
0001169445,missing_base_case_cash,,,,,
0001173420,missing_base_case_cash,,,,,
0001201792,missing_base_case_cash,,,,,
0001261654,missing_base_case_cash,,,,,
0001285819,missing_base_case_cash,,,,,
0001290677,missing_base_case_cash,,,,,
0001320461,missing_base_case_cash,,,,,
0001325964,missing_base_case_cash,,,,,
0001375365,missing_base_case_cash,,,,,
0001381197,missing_base_case_cash,,,,,
0001437958,missing_base_case_cash,,,,,
0001527508,missing_base_case_cash,,,,,
0001576263,missing_base_case_cash,,,,,
0001580864,missing_base_case_cash,,,,,
0001807846,missing_base_case_cash,,,,,
0001826018,missing_base_case_cash,,,,,
