,decisions,non_overlapping_equivalent,median_names,mean_ic,t_stat,bootstrap_p,block_decisions,clears_bonferroni,decile_spread_over_horizon,decile_spread_annualised,monotonicity,deciles_interpretable,inconclusive
growth_top5 @ 52w,39,9,1915,0.0042294874972264316,0.6964118376194461,0.602,4,False,-0.00977889567409067,-0.009778895674090626,-0.016006216006216014,True,False
cash_conversion_breadth20 @ 52w,39,9,1588,0.028118662987329974,2.8059886547814847,0.06325,4,False,-0.0487022206293342,-0.04870222062933416,-0.06635586635586636,True,False
balance_sheet_quality @ 52w,39,9,2094,-0.02097348923556264,-2.0669829758759777,0.2165,4,False,-0.0002527259970444804,-0.0002527259970445117,-0.007925407925407923,True,False
growth_top5 @ 104w,39,4,1915,0.02004831902137374,3.682230934463361,0.05925,8,False,0.006191909821583259,0.0030911772224813117,0.0679098679098679,True,False
cash_conversion_breadth20 @ 104w,39,4,1588,0.03911063473863384,4.873944519005189,0.00525,8,True,-0.07169866079276656,-0.036516041022356505,-0.15866355866355866,True,False
balance_sheet_quality @ 104w,39,4,2094,-0.01775011022055962,-1.9810081810963496,0.42925,8,False,-0.009528530547982531,-0.004775668780140019,0.03993783993783996,True,False
