factor,status,valid_cells,valid_dates_minimum_5_assets,nonfinite_valid_cells,error
add_001,pass,81276,6257,0,
add_002,pass,81569,6267,0,
add_003,pass,81337,6260,0,
add_004,pass,77522,6184,0,
add_005,pass,79078,6202,0,
add_006,pass,81178,6250,0,
add_007,pass,81797,6272,0,
add_008,pass,81769,6271,0,
add_009,pass,81536,6264,0,
add_010,pass,81810,6273,0,
add_011,pass,81792,6272,0,
add_012,pass,81569,6267,0,
add_013,pass,81578,6267,0,
add_014,pass,81508,6262,0,
add_015,pass,81564,6266,0,
add_016,pass,81805,6273,0,
add_017,pass,81805,6273,0,
add_018,pass,81810,6273,0,
add_019,pass,80634,6239,0,
add_020,pass,81792,6272,0,
add_021,pass,81782,6272,0,
add_022,pass,81578,6267,0,
add_023,pass,81810,6273,0,
add_024,pass,81795,6273,0,
add_025,pass,81795,6273,0,
add_026,pass,81797,6272,0,
add_027,pass,81302,6258,0,
add_028,pass,81578,6267,0,
add_029,pass,81805,6273,0,
add_030,pass,77336,6182,0,
alpha_001,pass,80634,6239,0,
alpha_002,pass,81766,6270,0,
alpha_003,pass,81792,6272,0,
alpha_004,pass,79735,6216,0,
alpha_006,pass,81792,6272,0,
alpha_007,pass,77522,6184,0,
alpha_012,pass,81337,6260,0,
alpha_053,pass,81220,6253,0,
alpha_101,pass,81578,6267,0,
best_001,pass,80634,6239,0,
best_002,pass,79517,6211,0,
best_003,pass,77522,6184,0,
best_004,pass,81302,6258,0,
best_005,pass,81276,6257,0,
best_006,pass,81578,6267,0,
best_007,pass,81578,6267,0,
best_008,pass,81812,6273,0,
best_009,pass,81578,6267,0,
best_010,pass,81578,6267,0,
best_011,pass,81564,6266,0,
best_012,pass,81797,6272,0,
best_013,pass,81564,6266,0,
best_014,pass,80577,6233,0,
best_015,pass,81578,6267,0,
best_016,pass,81578,6267,0,
best_017,pass,81337,6260,0,
best_018,pass,81337,6260,0,
best_019,pass,81337,6260,0,
best_020,pass,81578,6267,0,
best_021,pass,81302,6258,0,
better_001,pass,81337,6260,0,
better_002,pass,81334,6260,0,
better_003,pass,81337,6260,0,
better_004,pass,81564,6266,0,
better_005,pass,81508,6262,0,
better_006,pass,81810,6273,0,
better_007,pass,81337,6260,0,
better_008,pass,81578,6267,0,
better_009,pass,77508,6183,0,
better_010,pass,79503,6210,0,
better_011,pass,76787,6175,0,
better_012,pass,76632,6174,0,
better_013,pass,81578,6267,0,
better_014,pass,81811,6273,0,
better_015,pass,81735,6268,0,
better_016,pass,81767,6270,0,
better_017,pass,81767,6270,0,
better_018,pass,81735,6268,0,
better_019,pass,81337,6260,0,
better_020,pass,81779,6271,0,
better_021,pass,81564,6266,0,
better_022,pass,81337,6260,0,
better_023,pass,81792,6272,0,
better_024,pass,81276,6257,0,
better_025,pass,81810,6273,0,
better_026,pass,81578,6267,0,
better_027,pass,77508,6183,0,
better_028,pass,77522,6184,0,
change_001,pass,81334,6260,0,
change_002,pass,81101,6253,0,
change_003,pass,81795,6273,0,
change_004,pass,81795,6273,0,
change_005,pass,80406,6233,0,
cs_rank_amount,pass,81578,6267,0,
cs_rank_avg,pass,81564,6266,0,
cs_rank_close,pass,81564,6266,0,
cs_rank_high,pass,81564,6266,0,
cs_rank_low,pass,81564,6266,0,
cs_rank_open,pass,81564,6266,0,
extra_001,pass,81337,6260,0,
extra_002,pass,81302,6258,0,
extra_003,pass,81564,6266,0,
extra_004,pass,81578,6267,0,
extra_005,pass,81795,6273,0,
extra_006,pass,81795,6273,0,
extra_007,pass,81578,6267,0,
extra_008,pass,79503,6210,0,
extra_009,pass,81546,6266,0,
extra_010,pass,81508,6262,0,
extra_011,pass,81578,6267,0,
extra_012,pass,81578,6267,0,
extra_013,pass,81578,6267,0,
extra_014,pass,81578,6267,0,
old_027,pass,81578,6267,0,
old_028,pass,81792,6272,0,
old_029,pass,81790,6272,0,
old_030,pass,81276,6257,0,
old_031,pass,81207,6253,0,
old_032,pass,81717,6267,0,
old_033,pass,81578,6267,0,
old_034,pass,81099,6253,0,
old_035,pass,75511,6160,0,
old_036,pass,81533,6265,0,
old_037,pass,81564,6266,0,
old_038,pass,81578,6267,0,
old_039,pass,81022,6248,0,
old_040,pass,81792,6272,0,
old_041,pass,81578,6267,0,
old_042,pass,81578,6267,0,
old_043,pass,76303,6170,0,
old_044,pass,81797,6272,0,
old_045,pass,81267,6256,0,
old_046,pass,81791,6273,0,
old_047,pass,81809,6273,0,
old_048,pass,81337,6260,0,
old_049,pass,77508,6183,0,
old_050,pass,81797,6272,0,
old_051,pass,79078,6202,0,
old_052,pass,76452,6171,0,
old_053,pass,79078,6202,0,
old_054,pass,81792,6272,0,
old_055,pass,81789,6272,0,
old_056,pass,79294,6207,0,
old_057,pass,81578,6267,0,
old_058,pass,81564,6266,0,
old_059,pass,81782,6272,0,
old_060,pass,81742,6272,0,
old_061,pass,81799,6273,0,
old_062,pass,81473,6250,0,
old_063,pass,81794,6272,0,
old_064,pass,79861,6207,0,
old_065,pass,81781,6271,0,
old_066,pass,81290,6257,0,
old_067,pass,81781,6272,0,
old_068,pass,81785,6272,0,
old_069,pass,80378,6231,0,
