date,factor,variant,rank_ic,assets
1993-01-29,best_001,primary,,0
1993-01-29,best_001,inverted,,0
1993-01-29,best_001,asset_permutation,,0
1993-01-29,best_001,return_permutation,,0
1993-01-29,best_001,stale_1,,0
1993-01-29,best_001,stale_5,,0
1993-01-29,best_002,primary,,0
1993-01-29,best_002,inverted,,0
1993-01-29,best_002,asset_permutation,,0
1993-01-29,best_002,return_permutation,,0
1993-01-29,best_002,stale_1,,0
1993-01-29,best_002,stale_5,,0
1993-01-29,original_001,primary,,0
1993-01-29,original_001,inverted,,0
1993-01-29,original_001,asset_permutation,,0
1993-01-29,original_001,return_permutation,,0
1993-01-29,original_001,stale_1,,0
1993-01-29,original_001,stale_5,,0
1993-01-29,stock_001,primary,,0
1993-01-29,stock_001,inverted,,0
1993-01-29,stock_001,asset_permutation,,0
1993-01-29,stock_001,return_permutation,,0
1993-01-29,stock_001,stale_1,,0
1993-01-29,stock_001,stale_5,,0
1993-01-29,add_015,primary,,0
1993-01-29,add_015,inverted,,0
1993-01-29,add_015,asset_permutation,,0
1993-01-29,add_015,return_permutation,,0
1993-01-29,add_015,stale_1,,0
1993-01-29,add_015,stale_5,,0
1993-01-29,old_042,primary,,0
1993-01-29,old_042,inverted,,0
1993-01-29,old_042,asset_permutation,,0
1993-01-29,old_042,return_permutation,,0
1993-01-29,old_042,stale_1,,0
1993-01-29,old_042,stale_5,,0
1993-02-01,best_001,primary,,0
1993-02-01,best_001,inverted,,0
1993-02-01,best_001,asset_permutation,,0
1993-02-01,best_001,return_permutation,,0
1993-02-01,best_001,stale_1,,0
1993-02-01,best_001,stale_5,,0
1993-02-01,best_002,primary,,0
1993-02-01,best_002,inverted,,0
1993-02-01,best_002,asset_permutation,,0
1993-02-01,best_002,return_permutation,,0
1993-02-01,best_002,stale_1,,0
1993-02-01,best_002,stale_5,,0
1993-02-01,original_001,primary,,0
1993-02-01,original_001,inverted,,0
1993-02-01,original_001,asset_permutation,,0
1993-02-01,original_001,return_permutation,,0
1993-02-01,original_001,stale_1,,0
1993-02-01,original_001,stale_5,,0
1993-02-01,stock_001,primary,,0
1993-02-01,stock_001,inverted,,0
1993-02-01,stock_001,asset_permutation,,0
1993-02-01,stock_001,return_permutation,,0
1993-02-01,stock_001,stale_1,,0
1993-02-01,stock_001,stale_5,,0
1993-02-01,add_015,primary,,0
1993-02-01,add_015,inverted,,0
1993-02-01,add_015,asset_permutation,,0
1993-02-01,add_015,return_permutation,,0
1993-02-01,add_015,stale_1,,0
1993-02-01,add_015,stale_5,,0
1993-02-01,old_042,primary,,0
1993-02-01,old_042,inverted,,0
1993-02-01,old_042,asset_permutation,,0
1993-02-01,old_042,return_permutation,,0
1993-02-01,old_042,stale_1,,0
1993-02-01,old_042,stale_5,,0
1993-02-02,best_001,primary,,0
1993-02-02,best_001,inverted,,0
1993-02-02,best_001,asset_permutation,,0
1993-02-02,best_001,return_permutation,,0
1993-02-02,best_001,stale_1,,0
1993-02-02,best_001,stale_5,,0
1993-02-02,best_002,primary,,0
1993-02-02,best_002,inverted,,0
1993-02-02,best_002,asset_permutation,,0
1993-02-02,best_002,return_permutation,,0
1993-02-02,best_002,stale_1,,0
1993-02-02,best_002,stale_5,,0
1993-02-02,original_001,primary,,0
1993-02-02,original_001,inverted,,0
1993-02-02,original_001,asset_permutation,,0
1993-02-02,original_001,return_permutation,,0
1993-02-02,original_001,stale_1,,0
1993-02-02,original_001,stale_5,,0
1993-02-02,stock_001,primary,,0
1993-02-02,stock_001,inverted,,0
1993-02-02,stock_001,asset_permutation,,0
1993-02-02,stock_001,return_permutation,,0
1993-02-02,stock_001,stale_1,,0
1993-02-02,stock_001,stale_5,,0
1993-02-02,add_015,primary,,0
1993-02-02,add_015,inverted,,0
1993-02-02,add_015,asset_permutation,,0
1993-02-02,add_015,return_permutation,,0
1993-02-02,add_015,stale_1,,0
1993-02-02,add_015,stale_5,,0
1993-02-02,old_042,primary,,0
1993-02-02,old_042,inverted,,0
1993-02-02,old_042,asset_permutation,,0
1993-02-02,old_042,return_permutation,,0
1993-02-02,old_042,stale_1,,0
1993-02-02,old_042,stale_5,,0
1993-02-03,best_001,primary,,0
1993-02-03,best_001,inverted,,0
1993-02-03,best_001,asset_permutation,,0
1993-02-03,best_001,return_permutation,,0
1993-02-03,best_001,stale_1,,0
1993-02-03,best_001,stale_5,,0
1993-02-03,best_002,primary,,0
1993-02-03,best_002,inverted,,0
1993-02-03,best_002,asset_permutation,,0
1993-02-03,best_002,return_permutation,,0
1993-02-03,best_002,stale_1,,0
1993-02-03,best_002,stale_5,,0
1993-02-03,original_001,primary,,0
1993-02-03,original_001,inverted,,0
1993-02-03,original_001,asset_permutation,,0
1993-02-03,original_001,return_permutation,,0
1993-02-03,original_001,stale_1,,0
1993-02-03,original_001,stale_5,,0
1993-02-03,stock_001,primary,,0
1993-02-03,stock_001,inverted,,0
1993-02-03,stock_001,asset_permutation,,0
1993-02-03,stock_001,return_permutation,,0
1993-02-03,stock_001,stale_1,,0
1993-02-03,stock_001,stale_5,,0
1993-02-03,add_015,primary,,0
1993-02-03,add_015,inverted,,0
1993-02-03,add_015,asset_permutation,,0
1993-02-03,add_015,return_permutation,,0
1993-02-03,add_015,stale_1,,0
1993-02-03,add_015,stale_5,,0
1993-02-03,old_042,primary,,0
1993-02-03,old_042,inverted,,0
1993-02-03,old_042,asset_permutation,,0
1993-02-03,old_042,return_permutation,,0
1993-02-03,old_042,stale_1,,0
1993-02-03,old_042,stale_5,,0
1993-02-04,best_001,primary,,0
1993-02-04,best_001,inverted,,0
1993-02-04,best_001,asset_permutation,,0
1993-02-04,best_001,return_permutation,,0
1993-02-04,best_001,stale_1,,0
1993-02-04,best_001,stale_5,,0
1993-02-04,best_002,primary,,0
1993-02-04,best_002,inverted,,0
1993-02-04,best_002,asset_permutation,,0
1993-02-04,best_002,return_permutation,,0
1993-02-04,best_002,stale_1,,0
1993-02-04,best_002,stale_5,,0
1993-02-04,original_001,primary,,0
1993-02-04,original_001,inverted,,0
1993-02-04,original_001,asset_permutation,,0
1993-02-04,original_001,return_permutation,,0
1993-02-04,original_001,stale_1,,0
1993-02-04,original_001,stale_5,,0
1993-02-04,stock_001,primary,,0
1993-02-04,stock_001,inverted,,0
1993-02-04,stock_001,asset_permutation,,0
1993-02-04,stock_001,return_permutation,,0
1993-02-04,stock_001,stale_1,,0
1993-02-04,stock_001,stale_5,,0
1993-02-04,add_015,primary,,0
1993-02-04,add_015,inverted,,0
1993-02-04,add_015,asset_permutation,,0
1993-02-04,add_015,return_permutation,,0
1993-02-04,add_015,stale_1,,0
1993-02-04,add_015,stale_5,,0
1993-02-04,old_042,primary,,0
1993-02-04,old_042,inverted,,0
1993-02-04,old_042,asset_permutation,,0
1993-02-04,old_042,return_permutation,,0
1993-02-04,old_042,stale_1,,0
1993-02-04,old_042,stale_5,,0
1993-02-05,best_001,primary,,0
1993-02-05,best_001,inverted,,0
1993-02-05,best_001,asset_permutation,,0
1993-02-05,best_001,return_permutation,,0
1993-02-05,best_001,stale_1,,0
1993-02-05,best_001,stale_5,,0
1993-02-05,best_002,primary,,0
1993-02-05,best_002,inverted,,0
1993-02-05,best_002,asset_permutation,,0
1993-02-05,best_002,return_permutation,,0
1993-02-05,best_002,stale_1,,0
1993-02-05,best_002,stale_5,,0
1993-02-05,original_001,primary,,0
1993-02-05,original_001,inverted,,0
1993-02-05,original_001,asset_permutation,,0
1993-02-05,original_001,return_permutation,,0
1993-02-05,original_001,stale_1,,0
1993-02-05,original_001,stale_5,,0
1993-02-05,stock_001,primary,,0
1993-02-05,stock_001,inverted,,0
1993-02-05,stock_001,asset_permutation,,0
1993-02-05,stock_001,return_permutation,,0
1993-02-05,stock_001,stale_1,,0
1993-02-05,stock_001,stale_5,,0
1993-02-05,add_015,primary,,0
1993-02-05,add_015,inverted,,0
1993-02-05,add_015,asset_permutation,,0
1993-02-05,add_015,return_permutation,,0
1993-02-05,add_015,stale_1,,0
1993-02-05,add_015,stale_5,,0
1993-02-05,old_042,primary,,0
1993-02-05,old_042,inverted,,0
1993-02-05,old_042,asset_permutation,,0
1993-02-05,old_042,return_permutation,,0
1993-02-05,old_042,stale_1,,0
1993-02-05,old_042,stale_5,,0
1993-02-08,best_001,primary,,0
1993-02-08,best_001,inverted,,0
1993-02-08,best_001,asset_permutation,,0
1993-02-08,best_001,return_permutation,,0
1993-02-08,best_001,stale_1,,0
1993-02-08,best_001,stale_5,,0
1993-02-08,best_002,primary,,0
1993-02-08,best_002,inverted,,0
1993-02-08,best_002,asset_permutation,,0
1993-02-08,best_002,return_permutation,,0
1993-02-08,best_002,stale_1,,0
1993-02-08,best_002,stale_5,,0
1993-02-08,original_001,primary,,0
1993-02-08,original_001,inverted,,0
1993-02-08,original_001,asset_permutation,,0
1993-02-08,original_001,return_permutation,,0
1993-02-08,original_001,stale_1,,0
1993-02-08,original_001,stale_5,,0
1993-02-08,stock_001,primary,,0
1993-02-08,stock_001,inverted,,0
1993-02-08,stock_001,asset_permutation,,0
1993-02-08,stock_001,return_permutation,,0
1993-02-08,stock_001,stale_1,,0
1993-02-08,stock_001,stale_5,,0
1993-02-08,add_015,primary,,0
1993-02-08,add_015,inverted,,0
1993-02-08,add_015,asset_permutation,,0
1993-02-08,add_015,return_permutation,,0
1993-02-08,add_015,stale_1,,0
1993-02-08,add_015,stale_5,,0
