factor,direction,variant,period,observations,mean_ic,median_ic,ic_std,positive_rate
best_001,1,primary,development,2769,0.04082190756892237,0.04224592701238223,0.3878229632049159,0.5424340917298663
best_001,1,primary,validation,1259,0.024135431741709953,0.016128432877464224,0.3631534046302745,0.5218427323272439
best_001,1,primary,retrospective_test,1400,-0.005615611618779879,-0.012040258048306109,0.35254882443132846,0.4807142857142857
best_001,1,stale_1,development,2769,-0.00041082108283489423,-0.00727855244568578,0.38498857247123014,0.49259660527266164
best_001,1,stale_1,validation,1259,-0.0016576143689400959,0.01356473532610057,0.36228374689273557,0.5107227958697379
best_001,1,stale_1,retrospective_test,1400,0.0034392448637939974,0.0,0.356815709688977,0.49785714285714283
best_001,1,stale_5,development,2769,0.009930785408930555,0.007540140276566529,0.3826549418116846,0.5052365474900686
best_001,1,stale_5,validation,1259,0.011040705379666125,0.016428801936338142,0.3648308766336443,0.5138999205718825
best_001,1,stale_5,retrospective_test,1400,0.0003030108906448922,-0.0035324017419273218,0.35259633089406855,0.49142857142857144
best_001,1,inverted,development,2769,-0.04082190756892237,-0.04224592701238223,0.3878229632049159,0.4481762369086313
best_001,1,inverted,validation,1259,-0.024135431741709953,-0.016128432877464224,0.3631534046302745,0.4749801429706116
best_001,1,inverted,retrospective_test,1400,0.005615611618779879,0.012040258048306109,0.35254882443132846,0.5107142857142857
best_001,1,asset_permutation,development,2716,-0.0018502070553043795,0.0,0.3236705145143547,0.48306332842415317
best_001,1,asset_permutation,validation,1259,0.0034949483594040147,0.003011119517722448,0.2680755286016431,0.5027799841143765
best_001,1,asset_permutation,retrospective_test,1400,-0.005516694589032666,0.003058161175916288,0.265081008623919,0.5042857142857143
best_001,1,return_permutation,development,2746,0.017555899513376456,0.018858318587577236,0.3248550801191717,0.5200291332847778
best_001,1,return_permutation,validation,1259,0.002766029023229539,0.009108826519075505,0.2738597157322552,0.5154884829229547
best_001,1,return_permutation,retrospective_test,1400,0.006624762284480094,0.017321062930345146,0.2839982202472342,0.5164285714285715
best_002,1,primary,development,2769,0.04656586111112333,0.04970267328047151,0.3851179481365877,0.5482123510292525
best_002,1,primary,validation,1259,0.032819873964352375,0.025620757654583604,0.3646046763391381,0.5242255758538522
best_002,1,primary,retrospective_test,1404,0.011518623658879758,0.01425364699615687,0.35337922033157887,0.5113960113960114
best_002,1,stale_1,development,2769,0.0029379735913239564,0.0,0.3813837652577567,0.4962080173347779
best_002,1,stale_1,validation,1259,-0.0035340771829316005,-0.002315273885606456,0.3633108252010026,0.49722001588562353
best_002,1,stale_1,retrospective_test,1404,0.005490326058348581,0.006724011416829836,0.3565963260459928,0.5042735042735043
best_002,1,stale_5,development,2769,0.005307670344069339,0.0,0.3791742909346105,0.49801372336583605
best_002,1,stale_5,validation,1259,0.005887539375283408,0.011277749207515975,0.3612850869682816,0.5099285146942018
best_002,1,stale_5,retrospective_test,1404,0.005599702227873955,-0.0011149442993316316,0.35198878661762073,0.4985754985754986
best_002,1,inverted,development,2769,-0.04656586111112333,-0.04970267328047151,0.3851179481365877,0.4478150957024196
best_002,1,inverted,validation,1259,-0.032819873964352375,-0.025620757654583604,0.3646046763391381,0.47180301826846704
best_002,1,inverted,retrospective_test,1404,-0.011518623658879758,-0.01425364699615687,0.35337922033157887,0.4878917378917379
best_002,1,asset_permutation,development,2751,-0.0007707473793329047,-0.00363927622284289,0.3314993539847499,0.48964013086150493
best_002,1,asset_permutation,validation,1259,-0.007019968217086621,-0.011162076927107035,0.27063281901176867,0.4853057982525814
best_002,1,asset_permutation,retrospective_test,1404,0.0011876773995385828,0.01621618307630724,0.2630526599658901,0.5213675213675214
best_002,1,return_permutation,development,2755,0.020178992819878803,0.018835264373920448,0.32820312587925254,0.5223230490018149
best_002,1,return_permutation,validation,1259,-0.004713471358190666,-0.004444718818272186,0.27897825606513155,0.49404289118347894
best_002,1,return_permutation,retrospective_test,1404,0.011502182452192582,0.02073655655673971,0.28466679232024433,0.5242165242165242
original_001,1,primary,development,2769,0.025758367243455857,0.03296703296703297,0.46325512624827153,0.5189599133261105
original_001,1,primary,validation,1259,0.037667502067685946,0.05054945054945055,0.420238204198998,0.5393169181890389
original_001,1,primary,retrospective_test,1404,0.019918446739588456,0.02417582417582418,0.3880018342825424,0.5178062678062678
original_001,1,stale_1,development,2769,0.026660990827984808,0.03846153846153846,0.4605859090639828,0.5211267605633803
original_001,1,stale_1,validation,1259,0.03889775867280061,0.049450549450549455,0.4201194460540956,0.5409054805401112
original_001,1,stale_1,retrospective_test,1404,0.01849323154380863,0.02857142857142857,0.38626086513200886,0.5192307692307693
original_001,1,stale_5,development,2769,0.024321759306849943,0.03333333333333333,0.4572726029407967,0.5222101841820151
original_001,1,stale_5,validation,1259,0.03481254985069266,0.04175824175824176,0.4123326772288973,0.5440826052422557
original_001,1,stale_5,retrospective_test,1404,0.017193555667599086,0.01813186813186813,0.38374908921765627,0.5170940170940171
original_001,1,inverted,development,2769,-0.025758367243455857,-0.03296703296703297,0.46325512624827153,0.4770675334055616
original_001,1,inverted,validation,1259,-0.037667502067685946,-0.05054945054945055,0.420238204198998,0.4551231135822081
original_001,1,inverted,retrospective_test,1404,-0.019918446739588456,-0.02417582417582418,0.3880018342825424,0.4821937321937322
original_001,1,asset_permutation,development,2754,-0.009379254604329023,-0.016666666666666666,0.3057473391849297,0.4738562091503268
original_001,1,asset_permutation,validation,1259,0.005756406369364053,0.006593406593406593,0.2426311866997268,0.511517077045274
original_001,1,asset_permutation,retrospective_test,1404,0.006337394720397618,-0.002197802197802198,0.2420607781501324,0.4985754985754986
original_001,1,return_permutation,development,2755,-0.0017249657626828157,0.0,0.35292284829015586,0.4958257713248639
original_001,1,return_permutation,validation,1259,-0.014157728917978993,-0.015384615384615385,0.28573908509077306,0.47577442414614773
original_001,1,return_permutation,retrospective_test,1404,-0.014208991017627777,-0.01978021978021978,0.2603932598152208,0.46652421652421655
stock_001,-1,primary,development,2769,0.011347903746027382,0.016483516483516484,0.3408642599323307,0.5139039364391477
stock_001,-1,primary,validation,1259,0.003603541712005421,-0.0,0.31123671850913087,0.49722001588562353
stock_001,-1,primary,retrospective_test,1404,-0.00042630195475952705,-0.006043956043956043,0.3117659336476856,0.4943019943019943
stock_001,-1,stale_1,development,2769,0.01119235321041665,0.016483516483516484,0.337585251862566,0.5110148067894547
stock_001,-1,stale_1,validation,1259,0.005139879627010887,-0.005494505494505494,0.3144613556164831,0.4964257347100874
stock_001,-1,stale_1,retrospective_test,1404,0.006578778374076511,0.0,0.3085903454307049,0.5
stock_001,-1,stale_5,development,2769,-0.0036106941521488398,0.006060606060606061,0.3397829470187392,0.5041531238714337
stock_001,-1,stale_5,validation,1259,0.005223849399868896,-0.005494505494505494,0.3172752321141316,0.4964257347100874
stock_001,-1,stale_5,retrospective_test,1404,0.012940799868433417,0.01098901098901099,0.3086270537096472,0.5113960113960114
stock_001,-1,inverted,development,2769,-0.011347903746027382,-0.016483516483516484,0.3408642599323307,0.482484651498736
stock_001,-1,inverted,validation,1259,-0.003603541712005421,-0.0,0.31123671850913087,0.4988085782366958
stock_001,-1,inverted,retrospective_test,1404,0.00042630195475952705,0.006043956043956043,0.3117659336476856,0.5056980056980057
stock_001,-1,asset_permutation,development,2754,0.00239511504586238,-0.006060606060606061,0.33405493020695376,0.4912854030501089
stock_001,-1,asset_permutation,validation,1259,0.0019075107323733064,0.002197802197802198,0.27263192575521633,0.5011914217633042
stock_001,-1,asset_permutation,retrospective_test,1404,-0.01061066007820092,-0.006593406593406593,0.27500311158660945,0.48361823361823364
stock_001,-1,return_permutation,development,2755,0.003474639815997576,-0.0,0.33342377552799707,0.49945553539019966
stock_001,-1,return_permutation,validation,1259,0.004632727566271187,0.01978021978021978,0.2842647616494572,0.5242255758538522
stock_001,-1,return_permutation,retrospective_test,1404,0.0014076052082387927,-0.015934065934065933,0.2824353679259663,0.47863247863247865
add_015,-1,primary,development,2769,0.012411631917212401,0.013986013986013986,0.4371656654630975,0.5081256771397616
add_015,-1,primary,validation,1259,0.01754608843349653,0.015384615384615385,0.42610617461411937,0.5075456711675933
add_015,-1,primary,retrospective_test,1404,0.009138367866097083,0.002197802197802198,0.39081887480220806,0.5042735042735043
add_015,-1,stale_1,development,2769,0.007617829575048502,0.016666666666666666,0.4387205506062921,0.5102925243770314
add_015,-1,stale_1,validation,1259,-0.01716128218138992,-0.02417582417582418,0.4316275068630537,0.4805401111993646
add_015,-1,stale_1,retrospective_test,1404,-0.00013338962308860622,-0.006593406593406593,0.39544676036500237,0.495014245014245
add_015,-1,stale_5,development,2769,-0.0013110642895137574,-0.0,0.44140371675716406,0.49512459371614304
add_015,-1,stale_5,validation,1259,-0.013793138941853012,-0.02417582417582418,0.42474557021453546,0.4765687053216839
add_015,-1,stale_5,retrospective_test,1404,-0.011329809271254763,-0.017582417582417582,0.39506363636586234,0.48504273504273504
add_015,-1,inverted,development,2769,-0.012411631917212401,-0.013986013986013986,0.4371656654630975,0.48717948717948717
add_015,-1,inverted,validation,1259,-0.01754608843349653,-0.015384615384615385,0.42610617461411937,0.4924543288324067
add_015,-1,inverted,retrospective_test,1404,-0.009138367866097083,-0.002197802197802198,0.39081887480220806,0.49572649572649574
add_015,-1,asset_permutation,development,2754,-0.0025826720175185468,-0.0,0.33894101145066063,0.49455337690631807
add_015,-1,asset_permutation,validation,1259,0.0008123665194916992,-0.015384615384615385,0.2704052795097912,0.47736298649722003
add_015,-1,asset_permutation,retrospective_test,1404,-0.007887978854642604,-0.01098901098901099,0.2670966105257392,0.4886039886039886
add_015,-1,return_permutation,development,2755,-0.005157605409461639,-0.0,0.33006156694662736,0.494010889292196
add_015,-1,return_permutation,validation,1259,-0.006991897452053052,0.005494505494505494,0.268605944561512,0.505957108816521
