cik10,price_source,price_file
0000002178,tiingo_identity_validated,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/AE/prices.csv.gz
0000002488,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/AMD.csv.gz
0000004127,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/SWKS.csv.gz
0000004447,tiingo_identity_validated,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/HES/prices.csv.gz
0000006281,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/ADI.csv.gz
0000006951,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/AMAT.csv.gz
0000007039,tiingo_identity_validated,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/TREC/prices.csv.gz
0000007332,tiingo_identity_validated,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/SWN/prices.csv.gz
0000008146,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/ALOT.csv.gz
0000009092,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/BMI.csv.gz
0000010254,tiingo_identity_validated,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/ESTE/prices.csv.gz
0000016058,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/CACI.csv.gz
0000023194,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/CRK.csv.gz
0000023197,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/CMTL.csv.gz
0000029002,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/DIOD.csv.gz
0000031235,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/KODK.csv.gz
0000031791,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/RVTY.csv.gz
0000033213,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/EQT.csv.gz
0000046129,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/ALNT.csv.gz
0000047217,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/HPQ.csv.gz
0000048039,,
0000048898,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/HUBB.csv.gz
0000049938,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/IMO.csv.gz
0000050863,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/INTC.csv.gz
0000051143,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/IBM.csv.gz
0000056978,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/KLIC.csv.gz
0000065270,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/MEI.csv.gz
0000065770,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/MVIS.csv.gz
0000068505,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/MSI.csv.gz
0000069633,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/NSSC.csv.gz
0000077159,,
0000077877,tiingo_identity_validated,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/PDCE/prices.csv.gz
0000078749,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/AGYS.csv.gz
0000087347,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/SLB.csv.gz
0000088941,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/SMTC.csv.gz
0000093410,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/CVX.csv.gz
0000097210,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/TER.csv.gz
0000097476,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/TXN.csv.gz
0000097745,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/TMO.csv.gz
0000099302,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/TRNS.csv.gz
0000101778,tiingo_identity_validated,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/MRO/prices.csv.gz
0000103730,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/VSH.csv.gz
0000106040,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/WDC.csv.gz
0000202058,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/LHX.csv.gz
0000275880,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/PSN.csv.gz
0000315374,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/HURC.csv.gz
0000315852,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/RRC.csv.gz
0000319201,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/KLAC.csv.gz
0000320121,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/TLS.csv.gz
0000320193,yahoo_current_sec,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/yahoo_recent_current_sec_price_vintages/20260905T094049Z-yahoo-full-history-sec-v1/histories/AAPL.csv.gz
