candidate,ensemble,family_set,secondary_total,form4_weight,sector_cap,peak_total_stock_weight,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,recent_beats,full_beats,severe_beats,surface_gates
cash_balance_sheet_quality_30__f405__sector100,cash_balance_sheet_quality_30,balance_sheet_quality,0.3,0.05,1.0,0.042058811221505565,1.0726721192100244,2.7341721270177457,-0.09375691440302614,0.3843718005225909,0.9523447152391709,True,False,True,False
cash_balance_sheet_quality_20__f400__sector100,cash_balance_sheet_quality_20,balance_sheet_quality,0.2,0.0,1.0,0.0418593916813683,1.0638676796283404,2.7124220329806326,-0.10088583249311045,0.41538224358517795,0.9441960043139512,True,True,True,True
cash_balance_sheet_quality_10__f405__sector100,cash_balance_sheet_quality_10,balance_sheet_quality,0.1,0.05,1.0,0.042827941028125954,1.057574158499444,2.693509751795332,-0.10334619465719197,0.3994767782127815,0.9382692452401922,False,False,True,False
cash100__f405__sector100,cash100,cash_only,0.0,0.05,1.0,0.04174153006890046,1.0570456153812948,2.7080437085553424,-0.09816531723145427,0.3821672308400361,0.937711888138028,False,False,True,False
cash_balance_sheet_quality_20__f405__sector100,cash_balance_sheet_quality_20,balance_sheet_quality,0.2,0.05,1.0,0.043375956337207144,1.0523571267360765,2.6909021885899334,-0.10093279091163743,0.38945186318092495,0.9332930041290664,False,False,True,False
cash_balance_sheet_quality_10__f400__sector100,cash_balance_sheet_quality_10,balance_sheet_quality,0.1,0.0,1.0,0.04426666420734405,1.0505545916326535,2.6770168728843124,-0.10562772252644848,0.39913094417307105,0.9316556432426544,False,False,False,False
cash100__f400__sector100,cash100,cash_only,0.0,0.0,1.0,0.04343192943168896,1.0475360879501023,2.6879437513162676,-0.10066966980927927,0.4086746589588126,0.9287129043100903,False,False,False,False
cash_profitability+balance_sheet_quality_20__f405__sector100,cash_profitability+balance_sheet_quality_20,profitability+balance_sheet_quality,0.2,0.05,1.0,0.041741029117570695,1.042798512319067,2.6735548406354264,-0.10446274223685859,0.3723827270437241,0.9243489667014602,False,False,False,False
cash_profitability_10__f405__sector100,cash_profitability_10,profitability,0.1,0.05,1.0,0.0437394446323568,1.0388911111069636,2.6869320799015903,-0.09754419180102059,0.39910330680083894,0.9206256669931032,False,False,False,False
cash_balance_sheet_quality+quality_acceleration_20__f405__sector100,cash_balance_sheet_quality+quality_acceleration_20,balance_sheet_quality+quality_acceleration,0.2,0.05,1.0,0.04158158996301627,1.038023965639017,2.6629901419842414,-0.10491043061777627,0.3894528786625626,0.9197931570343292,False,False,False,False
cash_profitability_10__f400__sector100,cash_profitability_10,profitability,0.1,0.0,1.0,0.04185423997349513,1.0331253607021669,2.679519085397662,-0.09731182440726371,0.39704696882471757,0.9151541201170339,False,False,False,False
cash_profitability_20__f405__sector100,cash_profitability_20,profitability,0.2,0.05,1.0,0.041493331416921235,1.0142778295747061,2.655132609703524,-0.09983691374855186,0.38904514807168367,0.8974603931905196,False,False,False,False
cash_profitability_20__f400__sector100,cash_profitability_20,profitability,0.2,0.0,1.0,0.04057524480822344,1.0131145711695186,2.6402219994872294,-0.10218830343587704,0.38299044574908137,0.8963383280702302,False,False,False,False
cash_balance_sheet_quality_30__f400__sector100,cash_balance_sheet_quality_30,balance_sheet_quality,0.3,0.0,1.0,0.04561744040300822,1.0117615045791135,2.588749918268934,-0.11898258309280507,0.3684606306009055,0.8949773547333442,False,False,False,False
cash_profitability+quality_acceleration_20__f405__sector100,cash_profitability+quality_acceleration_20,profitability+quality_acceleration,0.2,0.05,1.0,0.04168498984541044,1.006741532468825,2.6241117923702797,-0.10594790011253019,0.4056630343915666,0.890516107360958,False,False,False,False
cash_quality_acceleration_10__f400__sector100,cash_quality_acceleration_10,quality_acceleration,0.1,0.0,1.0,0.041581234460769716,1.0059278827179412,2.6208403146854407,-0.10812916201396683,0.4047440528117183,0.8897563917185343,False,False,False,False
cash_shareholder_discipline+quality_acceleration_20__f405__sector100,cash_shareholder_discipline+quality_acceleration_20,shareholder_discipline+quality_acceleration,0.2,0.05,1.0,0.04043510507925822,0.9966641609801676,2.6213019465060277,-0.10382376659777115,0.4003225158616923,0.881155373097732,False,False,False,False
cash_balance_sheet_quality+shareholder_discipline_20__f400__sector100,cash_balance_sheet_quality+shareholder_discipline_20,balance_sheet_quality+shareholder_discipline,0.2,0.0,1.0,0.04116762322329669,0.9926361796255221,2.5574286395674073,-0.11977951825957456,0.3595147650339532,0.8773935320361175,False,False,False,False
cash_all4_20__f400__sector100,cash_all4_20,profitability+balance_sheet_quality+shareholder_discipline+quality_acceleration,0.2,0.0,1.0,0.041091213652409586,0.992377618354715,2.5753479382000917,-0.11237364582955789,0.36648335227249085,0.8771038008085776,False,False,False,False
cash_profitability+balance_sheet_quality_20__f400__sector100,cash_profitability+balance_sheet_quality_20,profitability+balance_sheet_quality,0.2,0.0,1.0,0.04174468853775953,0.9895107522960402,2.533757086914203,-0.13145557527136797,0.3753337911322292,0.8742874903183013,False,False,False,False
cash_balance_sheet_quality_30__f405__sector70,cash_balance_sheet_quality_30,balance_sheet_quality,0.3,0.05,0.7,0.04156981448397849,0.9885720389717267,2.6099579319090056,-0.0938178913326988,0.3712336323460861,0.8460165692463564,False,False,False,False
cash_balance_sheet_quality+shareholder_discipline_20__f405__sector70,cash_balance_sheet_quality+shareholder_discipline_20,balance_sheet_quality+shareholder_discipline,0.2,0.05,0.7,0.04091801294816803,0.9860588253236351,2.5523433597740484,-0.12117625805672128,0.4136085879642386,0.8712818020341984,False,True,False,False
cash_balance_sheet_quality+quality_acceleration_20__f400__sector100,cash_balance_sheet_quality+quality_acceleration_20,balance_sheet_quality+quality_acceleration,0.2,0.0,1.0,0.040437396704208206,0.9778952743840033,2.5203242498994083,-0.12911931437669133,0.37917784339304617,0.8631592844956149,False,False,False,False
cash_shareholder_discipline+quality_acceleration_40__f405__sector100,cash_shareholder_discipline+quality_acceleration_40,shareholder_discipline+quality_acceleration,0.4,0.05,1.0,0.052633124401969794,0.9777141200570953,2.541574236087505,-0.1167164792663643,0.39237412996440457,0.8632881999141957,False,False,False,False
cash_shareholder_discipline_10__f400__sector100,cash_shareholder_discipline_10,shareholder_discipline,0.1,0.0,1.0,0.041319840082072616,0.9777011260168327,2.5447679913125496,-0.11828192858779729,0.3735017573288786,0.8633617281959964,False,False,False,False
cash_balance_sheet_quality_20__f400__sector70,cash_balance_sheet_quality_20,balance_sheet_quality,0.2,0.0,0.7,0.04100687300223462,0.9770911697165516,2.5293710537508556,-0.1270852173902035,0.37246986135815363,0.862627604597128,False,False,False,False
cash_balance_sheet_quality+shareholder_discipline_20__f405__sector100,cash_balance_sheet_quality+shareholder_discipline_20,balance_sheet_quality+shareholder_discipline,0.2,0.05,1.0,0.04143068411857578,0.9738794238625679,2.5087038080277413,-0.133546289100828,0.3581318896632999,0.8595865632821214,False,False,False,False
cash_shareholder_discipline_30__f405__sector100,cash_shareholder_discipline_30,shareholder_discipline,0.3,0.05,1.0,0.045601521215859565,0.9711522328756854,2.5405211219232062,-0.11765132414543478,0.3725311244635279,0.8572487399831556,False,False,False,False
cash_balance_sheet_quality_20__f405__sector70,cash_balance_sheet_quality_20,balance_sheet_quality,0.2,0.05,0.7,0.04112385246146793,0.9674787738523019,2.5073303644465397,-0.13186203826429965,0.3819308125470122,0.853680663997934,False,False,False,False
cash_shareholder_discipline_10__f405__sector100,cash_shareholder_discipline_10,shareholder_discipline,0.1,0.05,1.0,0.041272039796580166,0.9569423781261575,2.4852204064865684,-0.13521190360590374,0.35544054956395654,0.8437818648462423,False,False,False,False
cash_profitability+quality_acceleration_20__f400__sector100,cash_profitability+quality_acceleration_20,profitability+quality_acceleration,0.2,0.0,1.0,0.04059921343147298,0.951901247513514,2.4917192631411162,-0.12583824575954938,0.39540627743184564,0.8388726745878723,False,False,False,False
cash_all4_20__f405__sector100,cash_all4_20,profitability+balance_sheet_quality+shareholder_discipline+quality_acceleration,0.2,0.05,1.0,0.041357601379024694,0.9518109301787323,2.473970702105752,-0.13625079606566937,0.3618424897589303,0.8388517407006679,False,False,False,False
cash_profitability+balance_sheet_quality_40__f405__sector100,cash_profitability+balance_sheet_quality_40,profitability+balance_sheet_quality,0.4,0.05,1.0,0.041315153590437644,0.9516450390081133,2.474475950963512,-0.13441888678479008,0.3843868801077295,0.8389959376389522,False,False,False,False
cash_quality_acceleration_20__f400__sector100,cash_quality_acceleration_20,quality_acceleration,0.2,0.0,1.0,0.04023818140755552,0.9469272689510164,2.495426288322436,-0.12130529579706162,0.37749242481285794,0.8343100128640328,False,False,False,False
cash_quality_acceleration_10__f405__sector100,cash_quality_acceleration_10,quality_acceleration,0.1,0.05,1.0,0.04144721668786881,0.9456084846669182,2.473678242281588,-0.1327162637456416,0.39487074425777013,0.8330377913285518,False,False,False,False
cash_shareholder_discipline+quality_acceleration_40__f400__sector100,cash_shareholder_discipline+quality_acceleration_40,shareholder_discipline+quality_acceleration,0.4,0.0,1.0,0.05263312440196979,0.9451678898741624,2.462073993669785,-0.13441888678479008,0.38230043753100396,0.8327703228433279,False,False,False,False
cash_profitability+balance_sheet_quality_40__f400__sector100,cash_profitability+balance_sheet_quality_40,profitability+balance_sheet_quality,0.4,0.0,1.0,0.04071663582579042,0.944209182323617,2.4652889839645296,-0.13441888678479008,0.3730916617823674,0.8319977019003011,False,False,False,False
cash_shareholder_discipline+quality_acceleration_20__f400__sector100,cash_shareholder_discipline+quality_acceleration_20,shareholder_discipline+quality_acceleration,0.2,0.0,1.0,0.04040135184629275,0.9348506200029656,2.468640510532707,-0.1289559350509304,0.3896203797393232,0.8229383868456197,False,False,False,False
cash_all4_40__f405__sector100,cash_all4_40,profitability+balance_sheet_quality+shareholder_discipline+quality_acceleration,0.4,0.05,1.0,0.03961589197040243,0.9301973805080235,2.444679411142332,-0.13441888678479008,0.3906470072489503,0.8188384198578553,False,False,False,False
cash_balance_sheet_quality+quality_acceleration_40__f400__sector100,cash_balance_sheet_quality+quality_acceleration_40,balance_sheet_quality+quality_acceleration,0.4,0.0,1.0,0.04060856106276455,0.9231041941304328,2.4331384584154536,-0.1344188867847902,0.3628704705325905,0.8222769358977458,False,False,False,False
cash_balance_sheet_quality+quality_acceleration_40__f405__sector100,cash_balance_sheet_quality+quality_acceleration_40,balance_sheet_quality+quality_acceleration,0.4,0.05,1.0,0.04074627305422335,0.9231041941304323,2.4331384584154536,-0.13441888678478997,0.365285009137964,0.8222769358977444,False,False,False,False
cash_balance_sheet_quality+shareholder_discipline_40__f405__sector100,cash_balance_sheet_quality+shareholder_discipline_40,balance_sheet_quality+shareholder_discipline,0.4,0.05,1.0,0.04195007916643884,0.9231041941304321,2.4331384584154536,-0.13441888678479008,0.3719022403205381,0.8222769358977444,False,False,False,False
cash_balance_sheet_quality+shareholder_discipline_40__f400__sector100,cash_balance_sheet_quality+shareholder_discipline_40,balance_sheet_quality+shareholder_discipline,0.4,0.0,1.0,0.041950079166438836,0.9231041941304319,2.4331384584154523,-0.13441888678478997,0.3747198795615081,0.8222769358977462,False,False,False,False
cash_all4_40__f400__sector100,cash_all4_40,profitability+balance_sheet_quality+shareholder_discipline+quality_acceleration,0.4,0.0,1.0,0.04020736921028944,0.9231041941304317,2.4331384584154523,-0.13441888678479008,0.38880360341239184,0.8222769358977449,False,False,False,False
cash_balance_sheet_quality_30__f400__sector70,cash_balance_sheet_quality_30,balance_sheet_quality,0.3,0.0,0.7,0.044594102998296754,0.9217224229207617,2.451917901969221,-0.11732438397376621,0.3589642535726403,0.7838909483798957,False,False,False,False
cash_profitability+balance_sheet_quality_20__f405__sector70,cash_profitability+balance_sheet_quality_20,profitability+balance_sheet_quality,0.2,0.05,0.7,0.04155979557821987,0.92016560139959,2.4704579631458636,-0.10626978119821329,0.37905811148201196,0.7862427529249238,False,False,False,False
cash_profitability+balance_sheet_quality_40__f405__sector70,cash_profitability+balance_sheet_quality_40,profitability+balance_sheet_quality,0.4,0.05,0.7,0.04227442854415491,0.9183651205408936,2.4473700896855735,-0.10619985742508264,0.3924903366899568,0.7836973596119168,False,False,False,False
cash_profitability+quality_acceleration_40__f400__sector100,cash_profitability+quality_acceleration_40,profitability+quality_acceleration,0.4,0.0,1.0,0.04019705656498738,0.9143699213699621,2.419574933522763,-0.13441888678479008,0.38112702547931,0.7903885784902747,False,False,False,False
cash_quality_acceleration_20__f405__sector100,cash_quality_acceleration_20,quality_acceleration,0.2,0.05,1.0,0.039818928291097,0.8994056664540506,2.4491717871657057,-0.10258649834696765,0.3596819245065894,0.7616770555107737,False,False,False,False
cash_profitability+shareholder_discipline_40__f405__sector100,cash_profitability+shareholder_discipline_40,profitability+shareholder_discipline,0.4,0.05,1.0,0.047441228931858336,0.8922271386881755,2.419330804826158,-0.11635921820586848,0.3770328600956079,0.7558148284053674,False,False,False,False
cash_balance_sheet_quality+shareholder_discipline_20__f400__sector70,cash_balance_sheet_quality+shareholder_discipline_20,balance_sheet_quality+shareholder_discipline,0.2,0.0,0.7,0.04102351451592844,0.8885949318099426,2.389650929763584,-0.12152097242097615,0.38908909505611167,0.7577286423143723,False,False,False,False
cash_balance_sheet_quality_10__f405__sector70,cash_balance_sheet_quality_10,balance_sheet_quality,0.1,0.05,0.7,0.04116565458916001,0.8861184128642621,2.358337523957779,-0.13279183858339672,0.39037079146268394,0.7551043969058673,False,False,False,False
cash_all4_20__f400__sector70,cash_all4_20,profitability+balance_sheet_quality+shareholder_discipline+quality_acceleration,0.2,0.0,0.7,0.040925533012506114,0.8824469483651738,2.392344276967368,-0.11500302331006795,0.3703898436532824,0.7501519154296878,False,False,False,False
