candidate,ensemble,family_set,secondary_total,form4_weight,sector_cap,peak_total_stock_weight,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,recent_beats,full_beats,severe_beats,surface_gates,joint_improvement
cash_balance_sheet_quality_30__f405__sector100,cash_balance_sheet_quality_30,balance_sheet_quality,0.3,0.05,1.0,0.042058811221505565,1.0726721192100244,2.7341721270177457,-0.09375691440302614,0.3843718005225909,0.9523447152391709,True,False,True,False,False
cash_balance_sheet_quality_20__f400__sector100,cash_balance_sheet_quality_20,balance_sheet_quality,0.2,0.0,1.0,0.0418593916813683,1.0638676796283404,2.7124220329806326,-0.10088583249311045,0.41538224358517795,0.9441960043139512,True,True,True,True,True
cash_balance_sheet_quality_10__f405__sector100,cash_balance_sheet_quality_10,balance_sheet_quality,0.1,0.05,1.0,0.042827941028125954,1.057574158499444,2.693509751795332,-0.10334619465719197,0.3994767782127815,0.9382692452401922,False,False,True,False,False
cash_balance_sheet_quality_20__f405__sector100,cash_balance_sheet_quality_20,balance_sheet_quality,0.2,0.05,1.0,0.043375956337207144,1.0523571267360765,2.6909021885899334,-0.10093279091163743,0.38945186318092495,0.9332930041290664,False,False,True,False,False
cash_balance_sheet_quality_10__f400__sector100,cash_balance_sheet_quality_10,balance_sheet_quality,0.1,0.0,1.0,0.04426666420734405,1.0505545916326535,2.6770168728843124,-0.10562772252644848,0.39913094417307105,0.9316556432426544,False,False,False,False,False
cash_balance_sheet_quality_30__f400__sector100,cash_balance_sheet_quality_30,balance_sheet_quality,0.3,0.0,1.0,0.04561744040300822,1.0117615045791135,2.588749918268934,-0.11898258309280507,0.3684606306009055,0.8949773547333442,False,False,False,False,False
cash_balance_sheet_quality_30__f405__sector70,cash_balance_sheet_quality_30,balance_sheet_quality,0.3,0.05,0.7,0.04156981448397849,0.9885720389717267,2.6099579319090056,-0.0938178913326988,0.3712336323460861,0.8460165692463564,False,False,False,False,False
cash_balance_sheet_quality_20__f400__sector70,cash_balance_sheet_quality_20,balance_sheet_quality,0.2,0.0,0.7,0.04100687300223462,0.9770911697165516,2.5293710537508556,-0.1270852173902035,0.37246986135815363,0.862627604597128,False,False,False,False,False
cash_balance_sheet_quality_20__f405__sector70,cash_balance_sheet_quality_20,balance_sheet_quality,0.2,0.05,0.7,0.04112385246146793,0.9674787738523019,2.5073303644465397,-0.13186203826429965,0.3819308125470122,0.853680663997934,False,False,False,False,False
cash_balance_sheet_quality_30__f400__sector70,cash_balance_sheet_quality_30,balance_sheet_quality,0.3,0.0,0.7,0.044594102998296754,0.9217224229207617,2.451917901969221,-0.11732438397376621,0.3589642535726403,0.7838909483798957,False,False,False,False,False
cash_balance_sheet_quality_10__f405__sector70,cash_balance_sheet_quality_10,balance_sheet_quality,0.1,0.05,0.7,0.04116565458916001,0.8861184128642621,2.358337523957779,-0.13279183858339672,0.39037079146268394,0.7551043969058673,False,False,False,False,False
cash_balance_sheet_quality_10__f400__sector70,cash_balance_sheet_quality_10,balance_sheet_quality,0.1,0.0,0.7,0.04147453496003317,0.8627778851743186,2.3179741765694954,-0.13455810249412115,0.3791701776369947,0.7337105628229854,False,False,False,False,False
