sleeve,avg_cash_BIL,avg_SPY,avg_offense,avg_defense,avg_commodity
baseline_60_40_proxy,0.0,0.6,0.6,0.3999999999999999,0.0
baseline_equal_weight_risk_assets,0.0,0.0714285714285714,0.5714285714285712,0.21428571428571422,0.21428571428571422
baseline_market_proxy_buy_hold,0.0,1.0,1.0,0.0,0.0
cash::BIL,1.0,0.0,0.0,0.0,0.0
composite_anti_chop_clarity,0.012162162162162163,0.1195498164978534,0.2329931763746724,0.43905094949528933,0.31489281106697514
composite_breadth_filtered,0.24351351351351352,0.023963963963963962,0.24554054054054056,0.3521621621621621,0.15878378378378377
composite_calm_carry_sleeve,0.7342342342342343,0.0,0.02774774774774775,0.18612612612612614,0.0005405405405405407
composite_calm_trend_participation,0.09869369369369368,0.018863561025401793,0.17023681273331964,0.2805626731379966,0.11585585585585585
composite_calm_trend_specialist,0.16256756756756754,0.13305819250771142,0.24353652539218826,0.2942585470706622,0.09521777312174885
composite_confirmation_aware_momentum,0.029954954954954954,0.10202702702702703,0.647972972972973,0.14346846846846847,0.1786036036036036
composite_equal_weight,0.01126126126126126,0.026576576576576576,0.2903153153153153,0.48243243243243245,0.21599099099099098
composite_healthier_recovery_specialist,0.21004504504504504,0.04016916208188738,0.27273508440862215,0.3337355337234286,0.0
composite_ic_weighted,0.03333333333333333,0.07117117117117117,0.486036036036036,0.2774774774774775,0.20315315315315316
composite_macro_trend_diversifier_sleeve,0.39792792792792786,0.13564612240829074,0.26304211812825506,0.06806132995587409,0.27096862398794286
composite_recovery_confirmed_offense_sleeve,0.918018018018018,0.010630630630630631,0.05801801801801802,0.023963963963963966,0.0
composite_recovery_transition,0.14126126126126126,0.025981184263285804,0.2596616874803251,0.4438812493515458,0.009501152748655416
composite_regime_cash_component,1.0,0.0,0.0,0.0,0.0
composite_regime_conditioned,0.26854729729729726,0.035394144144144137,0.299481981981982,0.27148648648648643,0.16048423423423422
composite_regime_defense_component,0.0918918918918919,0.0,0.0,0.6631381381381382,0.24496996996996995
composite_regime_offense_component,0.07927927927927927,0.07957957957957958,0.7292792792792793,0.0,0.19144144144144143
composite_selective_concentrated,0.009009009009009009,0.017417417417417418,0.15255255255255254,0.6468468468468469,0.1915915915915916
composite_selective_signals,0.01036036036036036,0.024774774774774775,0.22027027027027027,0.5693693693693693,0.2
composite_selective_strength_weighted,0.0,0.015015727359856715,0.16997407443617407,0.6183620046611663,0.20535761459635313
composite_selective_trend_ensemble,0.01036036036036036,0.024774774774774775,0.22027027027027027,0.5693693693693693,0.2
composite_structural_defense_sleeve,0.6478352973451742,0.0,0.0,0.1875608108269642,0.12946875669272645
composite_trend_quality_module,0.052477477477477476,0.09211711711711712,0.606081081081081,0.14797297297297296,0.19346846846846846
composite_trend_quality_refined,0.029054054054054056,0.09954954954954955,0.6281531531531531,0.14932432432432433,0.19346846846846846
cross_sectional_reversal_combo_ls,0.021656477906477893,-0.004623373373373375,-0.03554268554268558,0.024875768625768593,0.018590018590018544
cta_trend_long_only,0.07027027027027027,0.10073353003558373,0.5740634291852877,0.17985709265218447,0.17580920789225735
cta_trend_long_short_research,0.0,0.03506278482842357,0.06264970064340457,-0.10645482729231241,-0.02729853302871698
cta_trend_vol_managed,0.23988869150963216,0.09620117244767246,0.5374082386767726,0.14793907645058052,0.1385381058293964
dual_momentum_single_best,0.05315315315315315,0.13243243243243244,0.4936936936936937,0.13873873873873874,0.3144144144144144
dual_momentum_topn,0.1033033033033033,0.16426426426426424,0.5345345345345345,0.16996996996996996,0.19219219219219216
pairs_stat_arb_research,0.0,0.0,0.0,0.0,0.0
sector_factor_rotation,0.03423423423423423,0.0,0.46103603603603605,0.0,0.0
sector_rotation_with_sma_filter,0.23851351351351352,0.0,0.38941441441441443,0.0,0.0
taa_10m_sma,0.03783783783783784,0.1437237237237237,0.49980480480480477,0.2602552552552552,0.20210210210210208
