signal_name,manifest_file,category,used_by_layer2_manifest,used_by_signal_subset_tests,usage_instrumentation_quality
bab_proxy,signal_bab.csv,low_beta_proxy,composite_equal_weight|composite_selective_concentrated|composite_selective_signals|composite_selective_strength_weighted|composite_selective_trend_ensemble|sector_factor_rotation,base_plus_one|current_full|drop_from_current_full,EXPLICIT_MANIFEST_MATCH
bab_proxy_asset_class_neutral,signal_bab.csv,low_beta_proxy,composite_equal_weight|composite_selective_concentrated|composite_selective_signals|composite_selective_strength_weighted|composite_selective_trend_ensemble|sector_factor_rotation,,EXPLICIT_MANIFEST_MATCH
breadth_confirmed_momentum,signal_breadth_confirmation.csv,cross_asset_confirmation,composite_confirmation_aware_momentum,,EXPLICIT_MANIFEST_MATCH
carry_proxy,signal_carry.csv,carry_proxy,composite_equal_weight|composite_selective_concentrated|composite_selective_signals|composite_selective_strength_weighted|composite_selective_trend_ensemble,base_plus_one|current_full|drop_from_current_full,EXPLICIT_MANIFEST_MATCH
carry_proxy_asset_class_neutral,signal_carry.csv,carry_proxy,composite_equal_weight|composite_selective_concentrated|composite_selective_signals|composite_selective_strength_weighted|composite_selective_trend_ensemble,,EXPLICIT_MANIFEST_MATCH
contained_recovery_quality,signal_contained_recovery.csv,recovery_quality,,,INFERRED_OR_MISSING
google_fear_regime,regime_features.csv,conditioning_feature,composite_regime_conditioned,,EXPLICIT_MANIFEST_MATCH
macro_risk_score,regime_features.csv,conditioning_feature,composite_regime_conditioned,,EXPLICIT_MANIFEST_MATCH
moving_average_distance,signal_moving_average_distance.csv,trend_quality,composite_trend_quality_refined,,EXPLICIT_MANIFEST_MATCH
multi_mom_equal,signal_multi_horizon_mom.csv,price_momentum,composite_confirmation_aware_momentum|composite_equal_weight|composite_ic_weighted|composite_regime_conditioned|composite_selective_concentrated|composite_selective_signals|composite_selective_strength_weighted|composite_selective_trend_ensemble|composite_trend_quality_module|composite_trend_quality_refined|cta_trend_long_only|cta_trend_long_short_research|cta_trend_vol_managed|sector_factor_rotation|sector_rotation_with_sma_filter,,EXPLICIT_MANIFEST_MATCH
multi_mom_invvol,signal_multi_horizon_mom.csv,price_momentum,composite_confirmation_aware_momentum|composite_equal_weight|composite_ic_weighted|composite_regime_conditioned|composite_selective_concentrated|composite_selective_signals|composite_selective_strength_weighted|composite_selective_trend_ensemble|composite_trend_quality_module|composite_trend_quality_refined|cta_trend_long_only|cta_trend_long_short_research|cta_trend_vol_managed|sector_factor_rotation|sector_rotation_with_sma_filter,base_core|base_plus_one|current_full|drop_from_current_full,EXPLICIT_MANIFEST_MATCH
