version,state,sleeve,avg_weight,sharpe,weight_rank,performance_rank,rank_gap_weight_minus_perf,state_flag
improved_phaseggg_confirmed_only_robust_offense,calm_trend,dual_momentum_topn,0.12268522154338005,0.30855690023813814,4.0,5.0,1.0,STATE_NEUTRAL
improved_phaseggg_confirmed_only_robust_offense,neutral_mixed,dual_momentum_topn,0.0889063830588072,1.17973299987038,7.0,4.0,-3.0,UNDERWEIGHT_STRONG_IN_STATE
improved_phaseggg_confirmed_only_robust_offense,recovery_confirmed,dual_momentum_topn,0.05803854147385643,0.05994562178161069,7.0,5.0,-2.0,STATE_NEUTRAL
improved_phaseggg_confirmed_only_robust_offense,recovery_fragile,dual_momentum_topn,0.10120617063886612,1.3782609761273708,7.0,4.0,-3.0,UNDERWEIGHT_STRONG_IN_STATE
improved_phaseggg_confirmed_only_robust_offense,stressed_panic,dual_momentum_topn,0.05539333786690856,0.4241417708942909,6.0,4.0,-2.0,STATE_NEUTRAL
improved_phaseggg_confirmed_only_robust_offense,calm_trend,cta_trend_long_only,0.11321799294679753,0.18658266406765023,5.0,6.0,1.0,STATE_NEUTRAL
improved_phaseggg_confirmed_only_robust_offense,neutral_mixed,cta_trend_long_only,0.10829655866459888,1.1363558276966819,5.0,5.0,0.0,STATE_HELPFUL
improved_phaseggg_confirmed_only_robust_offense,recovery_confirmed,cta_trend_long_only,0.16369675120941143,1.0192557064694225,3.0,2.0,-1.0,STATE_HELPFUL
improved_phaseggg_confirmed_only_robust_offense,recovery_fragile,cta_trend_long_only,0.12086297504143714,1.7122671560179228,6.0,2.0,-4.0,UNDERWEIGHT_STRONG_IN_STATE
improved_phaseggg_confirmed_only_robust_offense,stressed_panic,cta_trend_long_only,0.061382948258247194,0.29628970847872826,5.0,5.0,0.0,STATE_NEUTRAL
improved_phaseggg_confirmed_only_robust_offense,calm_trend,composite_selective_signals,0.20214929705572277,0.5630083532511545,2.0,4.0,2.0,STATE_NEUTRAL
improved_phaseggg_confirmed_only_robust_offense,neutral_mixed,composite_selective_signals,0.15031605485636715,1.253482820838456,3.0,3.0,0.0,STATE_HELPFUL
improved_phaseggg_confirmed_only_robust_offense,recovery_confirmed,composite_selective_signals,0.13289825283276144,-0.1834669896943067,4.0,7.0,3.0,STATE_HARMFUL
improved_phaseggg_confirmed_only_robust_offense,recovery_fragile,composite_selective_signals,0.1568972352546463,0.44869719203082603,2.0,6.0,4.0,OVERWEIGHT_WEAK_IN_STATE
improved_phaseggg_confirmed_only_robust_offense,stressed_panic,composite_selective_signals,0.10476727195284267,0.6146326564246483,3.0,3.0,0.0,STATE_HELPFUL
