sleeve,used_in_ggg1,avg_weight_ggg1,max_weight_ggg1,approx_contribution_to_ggg1
baseline_60_40_proxy,False,0.0,0.0,0.0
baseline_equal_weight_risk_assets,False,0.0,0.0,0.0
baseline_market_proxy_buy_hold,False,0.0,0.0,0.0
cash::BIL,True,0.22535196017881856,1.0,0.002656737583962454
composite_anti_chop_clarity,False,0.0,0.0,0.0
composite_breadth_filtered,False,0.0,0.0,0.0
composite_calm_carry_sleeve,False,0.0,0.0,0.0
composite_calm_trend_participation,False,0.0,0.0,0.0
composite_calm_trend_specialist,False,0.0,0.0,0.0
composite_confirmation_aware_momentum,False,0.0,0.0,0.0
composite_equal_weight,False,0.0,0.0,0.0
composite_healthier_recovery_specialist,False,0.0,0.0,0.0
composite_ic_weighted,False,0.0,0.0,0.0
composite_macro_trend_diversifier_sleeve,False,0.0,0.0,0.0
composite_recovery_confirmed_offense_sleeve,False,0.0,0.0,0.0
composite_recovery_transition,False,0.0,0.0,0.0
composite_regime_cash_component,False,0.0,0.0,0.0
composite_regime_conditioned,False,0.0,0.0,0.0
composite_regime_defense_component,True,0.21715726897865606,0.4267260176954001,0.013076656475175068
composite_regime_offense_component,True,0.09783956370612855,0.3138201478618982,0.004700414880748141
composite_selective_concentrated,False,0.0,0.0,0.0
composite_selective_signals,True,0.15429464018463726,0.3089303970447237,0.011686576881485116
composite_selective_strength_weighted,False,0.0,0.0,0.0
composite_selective_trend_ensemble,False,0.0,0.0,0.0
composite_structural_defense_sleeve,False,0.0,0.0,0.0
composite_trend_quality_module,False,0.0,0.0,0.0
composite_trend_quality_refined,False,0.0,0.0,0.0
cross_sectional_reversal_combo_ls,False,0.0,0.0,-0.0
cta_trend_long_only,True,0.10267671110120329,0.4448699991541751,0.008135305062109492
cta_trend_long_short_research,False,0.0,0.0,0.0
cta_trend_vol_managed,False,0.0,0.0,0.0
dual_momentum_single_best,False,0.0,0.0,0.0
dual_momentum_topn,True,0.09028906284771644,0.2488009340567341,0.007888676271919883
pairs_stat_arb_research,False,0.0,0.0,-0.0
sector_factor_rotation,False,0.0,0.0,0.0
sector_rotation_with_sma_filter,False,0.0,0.0,0.0
taa_10m_sma,True,0.11239079300283962,0.2709306929569782,0.007601982335349379
