file,size_kb,suffix,rows_sampled,columns,column_preview,first_date_sample,last_date_sample
data/02_layer1_signals/phase_a_incremental_diagnostics.csv,0.345703125,.csv,4.0,4.0,signal_name|residualized_4w_mean_ic|residualized_4w_nw_tstat|n_dates,,
data/02_layer1_signals/phase_a_signal_candidate_summary.csv,1.5654296875,.csv,4.0,16.0,signal_name|avg_mean_ic|avg_ic_tstat_nw|avg_cross_coverage|avg_abs_redundancy|distinctiveness_score|validation_quality_score|strong_neutral_mean_ic,,
data/02_layer1_signals/phase_a_signal_state_summary.csv,2.9384765625,.csv,24.0,7.0,signal_name|state_bucket|avg_state_mean_ic|avg_state_nw_tstat|avg_state_hit_rate|avg_state_coverage|n_state_dates,,
data/02_layer1_signals/phase_a_stability_summary.csv,0.7724609375,.csv,8.0,6.0,signal_name|period|split_date|mean_ic_4w|hit_rate_4w|n_dates,,
data/02_layer1_signals/regime_features.csv,205.7734375,.csv,1110.0,13.0,Date|vix_level_observed|vix_level_z_observed|vix_level_z_tradable|vix_slope_1m_3m_observed|vix_slope_risk_off_z_observed|vix_slope_risk_off_z_tradable|vix_contango_flag_observed,2005-01-07,2026-04-10
data/02_layer1_signals/signal_bab.csv,4806.826171875,.csv,2000.0,10.0,Date|Ticker|beta_to_market_observed|bab_score_observed|bab_score_tradable|bab_score_asset_class_neutral_observed|bab_score_asset_class_neutral_tradable|asset_class,2005-01-07,2006-02-10
data/02_layer1_signals/signal_breadth_confirmation.csv,5439.6435546875,.csv,2000.0,10.0,Date|Ticker|own_momentum_26_4w_observed|asset_class_breadth_confirmation_observed|breadth_confirmation_multiplier_observed|breadth_confirmed_momentum_observed|breadth_confirmed_momentum_tradable|breadth_confirmed_momentum_score_observed,2005-01-07,2006-02-10
data/02_layer1_signals/signal_carry.csv,5796.5849609375,.csv,2000.0,12.0,Date|Ticker|carry_yield_trailing_52w_observed|carry_yield_trailing_52w_tradable|carry_score_observed|carry_score_tradable|carry_score_asset_class_neutral_observed|carry_score_asset_class_neutral_tradable,2005-01-07,2006-02-10
data/02_layer1_signals/signal_contained_recovery.csv,6345.423828125,.csv,2000.0,11.0,Date|Ticker|recovery_momentum_13w_observed|recovery_vol_13w_observed|recovery_drawdown_26w_observed|contained_recovery_multiplier_observed|contained_recovery_quality_observed|contained_recovery_quality_tradable,2005-01-07,2006-02-10
data/02_layer1_signals/signal_eligibility_matrix.csv,3.2783203125,.csv,25.0,10.0,signal_name|equities|bonds|reits|commodities|fx|base_proxy_quality|notes,,
data/02_layer1_signals/signal_ic_by_horizon.csv,18.01171875,.csv,110.0,11.0,signal_name|evaluation_type|horizon_weeks|mean_ic|ic_std|ic_tstat|ic_tstat_nw|hit_rate,,
data/02_layer1_signals/signal_incremental_contribution.csv,6.421875,.csv,10.0,35.0,study|test_type|candidate_signal|signal_count|signal_names|ann_return|ann_vol|sharpe,,
data/02_layer1_signals/signal_manifest.json,15.8349609375,.json,,,,,
data/02_layer1_signals/signal_moving_average_distance.csv,5069.2265625,.csv,2000.0,9.0,Date|Ticker|ma_13w_observed|ma_52w_observed|moving_average_distance_observed|moving_average_distance_tradable|moving_average_distance_score_observed|moving_average_distance_score_tradable,2005-01-07,2006-02-10
data/02_layer1_signals/signal_multi_horizon_mom.csv,7866.5478515625,.csv,2000.0,13.0,Date|Ticker|mom_13_4w|mom_26_4w|mom_39_4w|mom_52_4w|multi_mom_equal_observed|multi_mom_equal_score_observed,2005-01-07,2006-02-10
data/02_layer1_signals/signal_quality.csv,6025.2666015625,.csv,2000.0,11.0,Date|Ticker|quality_realized_vol_ann_observed|quality_downside_semivol_ann_observed|quality_drawdown_frequency_observed|quality_drawdown_severity_observed|quality_score_observed|quality_score_tradable,2005-01-07,2006-02-10
data/02_layer1_signals/signal_redundancy_matrix.csv,10.1630859375,.csv,22.0,23.0,Unnamed: 0|bab_proxy|bab_proxy_asset_class_neutral|breadth_confirmed_momentum|carry_proxy|carry_proxy_asset_class_neutral|contained_recovery_quality|moving_average_distance,,
data/02_layer1_signals/signal_redundancy_pairs.csv,19.0419921875,.csv,231.0,4.0,left_signal|right_signal|avg_cs_corr|abs_avg_cs_corr,,
data/02_layer1_signals/signal_residual_momentum.csv,5222.4501953125,.csv,2000.0,9.0,Date|Ticker|residual_beta_used|residual_alpha_used|residual_log_return|residual_mom_52_4w_observed|residual_mom_score_observed|residual_mom_score_tradable,2005-01-07,2006-02-10
data/02_layer1_signals/signal_reversal.csv,7373.2197265625,.csv,2000.0,13.0,Date|Ticker|recent_return_1w|reversal_1w_score_observed|reversal_1w_score_tradable|reversal_1w_asset_class_neutral_observed|reversal_1w_asset_class_neutral_tradable|recent_return_4w,2005-01-07,2006-02-10
data/02_layer1_signals/signal_subset_comparison.csv,3.59375,.csv,7.0,23.0,combo_name|signal_count|signal_names|ann_return|ann_vol|sharpe|max_drawdown|calmar,,
data/02_layer1_signals/signal_summary_table.csv,6.974609375,.csv,22.0,21.0,signal_name|avg_mean_ic|avg_ic_tstat|avg_ic_tstat_nw|positive_horizon_share|avg_cross_coverage|avg_signed_strategy_mean|avg_signed_strategy_tstat,,
data/02_layer1_signals/signal_trend_quality.csv,4366.416015625,.csv,2000.0,8.0,Date|Ticker|trend_clarity_r2_observed|trend_clarity_momentum_raw_observed|trend_clarity_momentum_raw_tradable|trend_clarity_momentum_score_observed|trend_clarity_momentum_score_tradable|asset_class,2005-01-07,2006-02-10
data/02_layer1_signals/signal_tsmom.csv,5234.921875,.csv,2000.0,10.0,Date|Ticker|raw_tsmom_52_4w|realized_vol_ann_26w|tsmom_vol_scaled_observed|tsmom_score_observed|tsmom_bucket_observed|tsmom_vol_scaled_tradable,2005-01-07,2006-02-10
data/02_layer1_signals/signal_value.csv,5722.6904296875,.csv,2000.0,11.0,Date|Ticker|value_gap_5y_ma_over_price|value_price_vs_ma_z_observed|value_gap_score_observed|value_z_score_observed|value_score_observed|value_score_tradable,2005-01-07,2006-02-10
data/02_layer1_signals/signal_xsmom.csv,4357.01953125,.csv,2000.0,10.0,Date|Ticker|xsmom_raw_return_52_4w|xsmom_raw_rank|xsmom_score_observed|xsmom_score_tradable|xsmom_bucket_observed|xsmom_asset_class_neutral_observed,2005-01-07,2006-02-10
