alpha,full_sharpe,full_ret,maxdd,cvar5,holdout_sharpe,turnover,boot_p,roll_win,gates,fail
0.08,0.9482556438408293,0.07134169431933568,-0.1160345788576096,-0.024947928857399968,2.1785851785849784,0.06738780265652743,0.0,0.0,FAIL,full_sharpe_delta=+0.0000 (gate >= +0.01) | bootstrap_p=0.000 (gate >= 0.60) | rolling_win
0.12,0.953185092627834,0.07125647092626841,-0.11604381101972139,-0.024756051127026345,2.1903211480449873,0.07046506107537773,0.8705,0.7692307692307693,FAIL,full_sharpe_delta=+0.0049 (gate >= +0.01)
0.16,0.9565699668779707,0.07104986450589457,-0.11605304318183296,-0.024563559898049408,2.2011877155242305,0.07351916938128318,0.829,0.7435897435897436,FAIL,full_sharpe_delta=+0.0083 (gate >= +0.01)
0.2,0.9592949860222,0.07081565288849001,-0.11606227534394453,-0.02437116452097212,2.211485620336412,0.07659365154788711,0.8025,0.7307692307692307,PASS,
0.24,0.9614509337800842,0.07055918085273039,-0.11607303507432287,-0.02417559928186355,2.222675224476188,0.07971509825763219,0.7745,0.7051282051282052,PASS,
0.32,0.9666217035653837,0.07014523635946901,-0.11609528467347896,-0.02378636659681223,2.243252283565409,0.08600138163464204,0.7675,0.7307692307692307,PASS,
