variant,base,p_cand_gt_base,mean_sharpe_delta,ci_low,ci_high
m1_pbi__stacked,production_pin,0.7835,0.0013055447962476594,-0.0016965250181613406,0.004815099160193779
m2_knn__replace,production_pin,0.107,-0.010674039373550288,-0.027231624005952387,0.006214893240232393
m2_knn__stacked,production_pin,0.9465,0.0018578897034442318,-0.00037125447485427955,0.0042283432763584395
m3_kmeans__replace,production_pin,0.0705,-0.012782249674585796,-0.02937325755338047,0.004220770585874165
