dropped_group,full_sharpe_delta_vs_ggg,dev_rank_ic
trend,0.0023075401077371493,0.08824591899099846
breadth,0.001336994715057882,0.08493790426913603
credit,0.001887993203517846,0.04189616399581546
vol,0.0014354411235243392,0.06230866746278877
quality,0.0012453378265266934,0.03200134979692931
