episode_label,start,end,weeks,pin_total_return,spy_total_return,bil_total_return,ideal_bound_return,pin_minus_ideal,avg_offense_weight,avg_bil_weight,dominant_market_state
chop,2005-01-07,2005-05-13,19,0.0,0.009376403937966016,0.0,0.009376403937966016,-0.009376403937966016,0.0,1.0,neutral_mixed
bull_narrow,2005-05-20,2005-06-10,4,0.0,0.022776358609931435,0.0,0.022776358609931435,-0.022776358609931435,0.0,1.0,neutral_mixed
chop,2005-06-17,2005-06-24,2,0.0,-0.015285214376387857,0.0,0.0,0.0,0.0,1.0,neutral_mixed
bull_narrow,2005-07-01,2005-07-08,2,0.0,0.027500267086838948,0.0,0.027500267086838948,-0.027500267086838948,0.0,1.0,neutral_mixed
chop,2005-07-22,2005-08-05,3,0.0,-0.003912023612860915,0.0,0.0,0.0,0.0,1.0,neutral_mixed
bull_broad,2005-08-12,2005-10-07,9,0.0,-0.032576655441964864,0.0,0.0,0.0,0.0,1.0,calm_trend
chop,2005-10-14,2005-10-21,2,0.0,0.009413147885539708,0.0,0.009413147885539708,-0.009413147885539708,0.0,1.0,neutral_mixed
calm_weakening,2005-10-28,2005-11-04,2,0.0,0.03277676629193049,0.0,0.03277676629193049,-0.03277676629193049,0.0,1.0,neutral_mixed
chop,2005-11-11,2005-12-16,6,0.0,0.02944799664848352,0.0,0.02944799664848352,-0.02944799664848352,0.0,1.0,neutral_mixed
bull_broad,2005-12-23,2006-01-20,5,0.0,0.012959577040659198,0.0,0.012959577040659198,-0.012959577040659198,0.0,1.0,neutral_mixed
calm_weakening,2006-01-27,2006-02-10,3,0.0,0.001792327572884611,0.0,0.001792327572884611,-0.001792327572884611,0.0,1.0,neutral_mixed
bull_broad,2006-02-17,2006-02-24,2,0.0,-0.0004120185326347281,0.0,0.0,0.0,0.0,1.0,neutral_mixed
calm_weakening,2006-03-17,2006-03-24,2,0.0,-0.006057251425131582,0.0,0.0,0.0,0.0,1.0,neutral_mixed
chop,2006-03-31,2006-05-05,6,0.0,-0.005092564635724162,0.0,0.0,0.0,0.0,1.0,neutral_mixed
calm_weakening,2006-05-12,2006-06-02,4,0.0,-0.030702433014307418,0.0,0.0,0.0,0.0,1.0,neutral_mixed
chop,2006-06-09,2006-08-04,9,0.010036329535113353,0.016572327950286292,0.0,0.016572327950286292,-0.006535998415172939,0.2525758603433373,0.4666666666666667,neutral_mixed
chop,2006-08-18,2006-09-08,4,-0.010336506383907929,0.013871542643560941,0.0,0.013871542643560941,-0.02420804902746887,0.432601358366209,0.1999999999999999,recovery_fragile
calm_weakening,2006-09-15,2006-09-22,2,0.013105270058916485,0.012142654144090548,0.0,0.012142654144090548,0.0009626159148259372,0.451324237800177,0.19999999999999984,neutral_mixed
chop,2006-09-29,2006-11-24,9,0.062392449602721056,0.049281960990680274,0.0,0.049281960990680274,0.013110488612040783,0.5871273377751676,0.11086408866270712,neutral_mixed
