Date,multiplier
2008-02-29,1.15
2008-04-11,1.3
2008-04-25,1.15
2008-09-05,1.15
2009-01-02,1.15
2009-01-09,1.15
2009-01-16,1.15
2009-02-13,1.15
2009-04-10,1.15
2009-04-17,1.15
2009-04-24,1.15
2009-05-01,1.15
2009-05-15,1.15
2011-09-23,1.15
2011-10-28,1.3
2011-11-04,1.15
2011-11-11,1.15
2016-02-19,1.15
2018-12-21,1.15
2019-01-11,1.15
2019-01-18,1.15
2020-05-01,1.15
2020-05-08,1.15
2022-06-17,1.15
2022-09-02,1.15
2022-11-04,1.15
2022-11-11,1.15
2022-11-18,1.3
2022-12-23,1.15
