window_start,window_end,cand_sharpe,base_sharpe,beats
2005-01-07,2006-12-29,0.8721096406381464,0.8721096406381464,0.0
2005-04-08,2007-03-30,1.2125098244332202,1.2125098244332202,0.0
2005-07-08,2007-06-29,1.2286386537960612,1.2286386537960612,0.0
2005-10-07,2007-09-28,1.281629800566539,1.281629800566539,0.0
2006-01-06,2007-12-28,1.4620286105725981,1.4620286105725981,0.0
2006-04-07,2008-03-28,1.5136770355784088,1.5152929675391666,0.0
2006-07-07,2008-06-27,1.408773068418072,1.405869584959204,1.0
2006-10-06,2008-09-26,0.9988692662025068,0.9971298254795656,1.0
2007-01-05,2008-12-26,0.8557276584942288,0.8540293959004935,1.0
2007-04-06,2009-03-27,0.24538693828100738,0.2528833131680372,0.0
2007-07-06,2009-06-26,0.25580073167978196,0.2470552558960135,1.0
2007-10-05,2009-09-25,0.7103692299867717,0.7012580239675994,1.0
2008-01-04,2009-12-25,0.943989273509954,0.9359961034218166,1.0
2008-04-04,2010-03-26,1.0905613602364022,1.0822748878474504,1.0
2008-07-04,2010-06-25,0.6764597705126595,0.6728308459616492,1.0
2008-10-03,2010-09-24,1.3910060205595765,1.3864847281199117,1.0
2009-01-02,2010-12-24,1.3519247078960348,1.3474316582384964,1.0
2009-04-03,2011-03-25,1.6507821541136718,1.6385788788453075,1.0
2009-07-03,2011-06-24,1.5714867281013176,1.5714867281013176,0.0
2009-10-02,2011-09-23,0.9564717513775866,0.959210399288125,0.0
2010-01-01,2011-12-23,0.7144268015282261,0.7193271657196578,0.0
2010-04-02,2012-03-23,0.5962236936208023,0.6014866119843816,0.0
2010-07-02,2012-06-22,1.0796043042002914,1.0863226589442698,0.0
2010-10-01,2012-09-21,0.7716629960611242,0.7782819583838188,0.0
2010-12-31,2012-12-21,0.6647008679166634,0.6715914797793144,0.0
2011-04-01,2013-03-22,0.7147993103108139,0.7220894610687738,0.0
2011-07-01,2013-06-21,0.4813558857841363,0.48841808372950873,0.0
2011-09-30,2013-09-20,1.1493396206475095,1.152926268633788,0.0
2011-12-30,2013-12-20,1.2923581852004216,1.2923581852004216,0.0
2012-03-30,2014-03-21,1.2203605119269254,1.2203605119269254,0.0
2012-06-29,2014-06-20,1.415214906911957,1.415214906911957,0.0
2012-09-28,2014-09-19,1.001562154660535,1.001562154660535,0.0
2012-12-28,2014-12-19,1.460060662926917,1.460060662926917,0.0
2013-03-29,2015-03-20,1.1845120920633316,1.1845120920633316,0.0
2013-06-28,2015-06-19,1.093417873808822,1.093417873808822,0.0
2013-09-27,2015-09-18,0.5359844657473811,0.5359844657473811,0.0
2013-12-27,2015-12-18,0.35484008494519137,0.35484008494519137,0.0
2014-03-28,2016-03-18,0.2547635558914249,0.253845205718047,1.0
2014-06-27,2016-06-17,0.3904014922099246,0.38949850299086874,1.0
2014-09-26,2016-09-16,0.7000843260446695,0.6992123160202879,1.0
2014-12-26,2016-12-16,-0.22710173159708832,-0.22787592494699518,1.0
2015-03-27,2017-03-17,-0.14863927982334402,-0.14950474842089084,1.0
2015-06-26,2017-06-16,0.34198151976103497,0.34104464744094626,1.0
2015-09-25,2017-09-15,0.8529965012346933,0.851985684332929,1.0
2015-12-25,2017-12-15,1.0475605628854947,1.0465102592397886,1.0
2016-03-25,2018-03-16,0.9318200774738755,0.9318200774738755,0.0
2016-06-24,2018-06-15,0.6791704865648561,0.6791704865648561,0.0
2016-09-23,2018-09-14,0.49815914825917573,0.49815914825917573,0.0
2016-12-23,2018-12-14,0.7867204048382138,0.7867204048382138,0.0
2017-03-24,2019-03-15,0.8494800245543398,0.8455967206248852,1.0
2017-06-23,2019-06-14,0.8744257225203875,0.870573830290143,1.0
2017-09-22,2019-09-13,0.997817047857925,0.9941943455610275,1.0
2017-12-22,2019-12-13,0.7151939154204214,0.7118539812969494,1.0
2018-03-23,2020-03-13,0.0318391743050686,0.029308513340432794,1.0
2018-06-22,2020-06-12,0.4760397905585461,0.4737410954153609,1.0
2018-09-21,2020-09-11,0.4840244180578786,0.4817720102793155,1.0
2018-12-21,2020-12-11,0.9405860678002622,0.9382999025958452,1.0
2019-03-22,2021-03-12,0.8117796006265435,0.811707396967621,1.0
2019-06-21,2021-06-11,0.7713931240854989,0.7713234600420256,1.0
2019-09-20,2021-09-10,0.6354761825472633,0.6354108654664542,1.0
2019-12-20,2021-12-10,0.7431328159353027,0.7430622816347706,1.0
2020-03-20,2022-03-11,1.4288369131088916,1.4287099091694713,1.0
